#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 18:30:36,597000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 18:30:52,697000,-1000.000
10/22/2023 18:30:52,698000,-1000.000
10/22/2023 18:30:52,699000,-1000.000
10/22/2023 18:30:52,700000,-1000.000
10/22/2023 18:30:52,701000,-1000.000
10/22/2023 18:30:52,702000,-1000.000
10/22/2023 18:30:52,703000,-1000.000
10/22/2023 18:30:52,704000,-1000.000
10/22/2023 18:30:52,705000,-1000.000
10/22/2023 18:30:52,706000,-1000.000
10/22/2023 18:30:52,707000,-1000.000
10/22/2023 18:30:52,708000,-1000.000
10/22/2023 18:30:52,709000,-1000.000
10/22/2023 18:30:52,710000,-1000.000
10/22/2023 18:30:52,711000,-1000.000
10/22/2023 18:30:52,712000,-1000.000
10/22/2023 18:30:52,713000,-1000.000
10/22/2023 18:30:52,714000,-1000.000
10/22/2023 18:30:52,715000,-1000.000
10/22/2023 18:30:52,716000,-1000.000
10/22/2023 18:30:52,717000,-1000.000
10/22/2023 18:30:52,718000,-1000.000
10/22/2023 18:30:52,719000,-1000.000
10/22/2023 18:30:52,720000,-1000.000
10/22/2023 18:30:52,721000,-1000.000
10/22/2023 18:30:52,722000,-1000.000
10/22/2023 18:30:52,723000,-1000.000
10/22/2023 18:30:52,724000,-1000.000
10/22/2023 18:30:52,725000,-1000.000
10/22/2023 18:30:52,726000,-1000.000
10/22/2023 18:30:52,727000,-1000.000
10/22/2023 18:30:52,728000,-1000.000
10/22/2023 18:30:52,729000,-1000.000
10/22/2023 18:30:52,730000,-1000.000
10/22/2023 18:30:52,731000,-1000.000
10/22/2023 18:30:52,732000,-1000.000
10/22/2023 18:30:52,733000,-1000.000
10/22/2023 18:30:52,734000,-1000.000
10/22/2023 18:30:52,735000,-1000.000
10/22/2023 18:30:52,736000,-1000.000
10/22/2023 18:30:52,737000,-1000.000
10/22/2023 18:30:52,738000,-1000.000
10/22/2023 18:30:52,739000,-1000.000
10/22/2023 18:30:52,740000,-1000.000
10/22/2023 18:30:52,741000,-1000.000
10/22/2023 18:30:52,742000,-1000.000
10/22/2023 18:30:52,743000,-1000.000
10/22/2023 18:30:52,744000,-1000.000
10/22/2023 18:30:52,745000,-1000.000
10/22/2023 18:30:52,746000,-1000.000
10/22/2023 18:30:52,747000,-1000.000
10/22/2023 18:30:52,748000,-1000.000
10/22/2023 18:30:52,749000,-1000.000
10/22/2023 18:30:52,750000,-1000.000
10/22/2023 18:30:52,751000,-1000.000
10/22/2023 18:30:52,752000,-1000.000
10/22/2023 18:30:52,753000,-1000.000
10/22/2023 18:30:52,754000,-1000.000
10/22/2023 18:30:52,755000,-1000.000
10/22/2023 18:30:52,756000,-1000.000
10/22/2023 18:30:52,757000,-1000.000
10/22/2023 18:30:52,758000,-1000.000
10/22/2023 18:30:52,759000,-1000.000
10/22/2023 18:30:52,760000,-1000.000
10/22/2023 18:30:52,761000,-1000.000
10/22/2023 18:30:52,762000,-1000.000
10/22/2023 18:30:52,763000,-1000.000
10/22/2023 18:30:52,764000,-1000.000
10/22/2023 18:30:52,765000,-1000.000
10/22/2023 18:30:52,766000,-1000.000
10/22/2023 18:30:52,767000,-1000.000
10/22/2023 18:30:52,768000,-1000.000
10/22/2023 18:30:52,769000,-1000.000
10/22/2023 18:30:52,770000,-1000.000
10/22/2023 18:30:52,771000,-1000.000
10/22/2023 18:30:52,772000,-1000.000
10/22/2023 18:30:52,773000,-1000.000
10/22/2023 18:30:52,774000,-1000.000
10/22/2023 18:30:52,775000,-1000.000
10/22/2023 18:30:52,776000,-1000.000
10/22/2023 18:30:52,777000,-1000.000
10/22/2023 18:30:52,778000,-1000.000
10/22/2023 18:30:52,779000,-1000.000
10/22/2023 18:30:52,780000,-1000.000
10/22/2023 18:30:52,781000,-1000.000
10/22/2023 18:30:52,782000,-1000.000
10/22/2023 18:30:52,783000,-1000.000
10/22/2023 18:30:52,784000,-1000.000
10/22/2023 18:30:52,785000,-1000.000
10/22/2023 18:30:52,786000,-1000.000
10/22/2023 18:30:52,787000,-1000.000
10/22/2023 18:30:52,788000,-1000.000
10/22/2023 18:30:52,789000,-1000.000
10/22/2023 18:30:52,790000,-1000.000
10/22/2023 18:30:52,791000,-1000.000
10/22/2023 18:30:52,792000,-1000.000
10/22/2023 18:30:52,793000,-1000.000
10/22/2023 18:30:52,794000,-1000.000
10/22/2023 18:30:52,795000,-1000.000
10/22/2023 18:30:52,796000,-1000.000
10/22/2023 18:30:52,797000,-1000.000
10/22/2023 18:30:52,798000,-1000.000
10/22/2023 18:30:52,799000,-1000.000
10/22/2023 18:30:52,800000,-1000.000
10/22/2023 18:30:52,801000,-1000.000
10/22/2023 18:30:52,802000,-1000.000
10/22/2023 18:30:52,803000,-1000.000
10/22/2023 18:30:52,804000,-1000.000
10/22/2023 18:30:52,805000,-1000.000
