#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 19:04:11,380000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 19:04:20,280000,-1000.000
10/22/2023 19:04:20,281000,-1000.000
10/22/2023 19:04:20,282000,-1000.000
10/22/2023 19:04:20,283000,-1000.000
10/22/2023 19:04:20,284000,-1000.000
10/22/2023 19:04:20,285000,-1000.000
10/22/2023 19:04:20,286000,-1000.000
10/22/2023 19:04:20,287000,-1000.000
10/22/2023 19:04:20,288000,-1000.000
10/22/2023 19:04:20,289000,-1000.000
10/22/2023 19:04:20,290000,-1000.000
10/22/2023 19:04:20,291000,-1000.000
10/22/2023 19:04:20,292000,-1000.000
10/22/2023 19:04:20,293000,-1000.000
10/22/2023 19:04:20,294000,-1000.000
10/22/2023 19:04:20,295000,-1000.000
10/22/2023 19:04:20,296000,-1000.000
10/22/2023 19:04:20,297000,-1000.000
10/22/2023 19:04:20,298000,-1000.000
10/22/2023 19:04:20,299000,-1000.000
10/22/2023 19:04:20,300000,-1000.000
10/22/2023 19:04:20,301000,-1000.000
10/22/2023 19:04:20,302000,-1000.000
10/22/2023 19:04:20,303000,-1000.000
10/22/2023 19:04:20,304000,-1000.000
10/22/2023 19:04:20,305000,-1000.000
10/22/2023 19:04:20,306000,-1000.000
10/22/2023 19:04:20,307000,-1000.000
10/22/2023 19:04:20,308000,-1000.000
10/22/2023 19:04:20,309000,-1000.000
10/22/2023 19:04:20,310000,-1000.000
10/22/2023 19:04:20,311000,-1000.000
10/22/2023 19:04:20,312000,-1000.000
10/22/2023 19:04:20,313000,-1000.000
10/22/2023 19:04:20,314000,-1000.000
10/22/2023 19:04:20,315000,-1000.000
10/22/2023 19:04:20,316000,-1000.000
10/22/2023 19:04:20,317000,-1000.000
10/22/2023 19:04:20,318000,-1000.000
10/22/2023 19:04:20,319000,-1000.000
10/22/2023 19:04:20,320000,-1000.000
10/22/2023 19:04:20,321000,-1000.000
