#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 20:37:09,424000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 20:38:00,724000,-1000.000
10/22/2023 20:38:00,725000,-1000.000
10/22/2023 20:38:00,726000,-1000.000
10/22/2023 20:38:00,727000,-1000.000
10/22/2023 20:38:00,728000,-1000.000
10/22/2023 20:38:00,729000,-1000.000
10/22/2023 20:38:00,730000,-1000.000
10/22/2023 20:38:00,731000,-1000.000
10/22/2023 20:38:00,732000,-1000.000
10/22/2023 20:38:00,733000,-1000.000
10/22/2023 20:38:00,734000,-1000.000
10/22/2023 20:38:00,735000,-1000.000
10/22/2023 20:38:00,736000,-1000.000
10/22/2023 20:38:00,737000,-1000.000
10/22/2023 20:38:00,738000,-1000.000
10/22/2023 20:38:00,739000,-1000.000
10/22/2023 20:38:00,740000,-1000.000
10/22/2023 20:38:00,741000,-1000.000
10/22/2023 20:38:00,742000,-1000.000
10/22/2023 20:38:00,743000,-1000.000
10/22/2023 20:38:00,744000,-1000.000
10/22/2023 20:38:00,745000,-1000.000
10/22/2023 20:38:00,746000,-1000.000
10/22/2023 20:38:00,747000,-1000.000
10/22/2023 20:38:00,748000,-1000.000
10/22/2023 20:38:00,749000,-1000.000
10/22/2023 20:38:00,750000,-1000.000
10/22/2023 20:38:00,751000,-1000.000
10/22/2023 20:38:00,752000,-1000.000
10/22/2023 20:38:00,753000,-1000.000
10/22/2023 20:38:00,754000,-1000.000
10/22/2023 20:38:00,755000,-1000.000
10/22/2023 20:38:00,756000,-1000.000
10/22/2023 20:38:00,757000,-1000.000
10/22/2023 20:38:00,758000,-1000.000
10/22/2023 20:38:00,759000,-1000.000
10/22/2023 20:38:00,760000,-1000.000
10/22/2023 20:38:00,761000,-1000.000
10/22/2023 20:38:00,762000,-1000.000
10/22/2023 20:38:00,763000,-1000.000
10/22/2023 20:38:00,764000,-1000.000
