#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 19:38:49,907000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 19:39:09,207000,-1000.000
10/22/2023 19:39:09,208000,-1000.000
10/22/2023 19:39:09,209000,-1000.000
10/22/2023 19:39:09,210000,-1000.000
10/22/2023 19:39:09,211000,-1000.000
10/22/2023 19:39:09,212000,-1000.000
10/22/2023 19:39:09,213000,-1000.000
10/22/2023 19:39:09,214000,-1000.000
10/22/2023 19:39:09,215000,-1000.000
10/22/2023 19:39:09,216000,-1000.000
10/22/2023 19:39:09,217000,-1000.000
10/22/2023 19:39:09,218000,-1000.000
10/22/2023 19:39:09,219000,-1000.000
10/22/2023 19:39:09,220000,-1000.000
10/22/2023 19:39:09,221000,-1000.000
10/22/2023 19:39:09,222000,-1000.000
10/22/2023 19:39:09,223000,-1000.000
10/22/2023 19:39:09,224000,-1000.000
10/22/2023 19:39:09,225000,-1000.000
10/22/2023 19:39:09,226000,-1000.000
10/22/2023 19:39:09,227000,-1000.000
10/22/2023 19:39:09,228000,-1000.000
10/22/2023 19:39:09,229000,-1000.000
10/22/2023 19:39:09,230000,-1000.000
10/22/2023 19:39:09,231000,-1000.000
10/22/2023 19:39:09,232000,-1000.000
10/22/2023 19:39:09,233000,-1000.000
10/22/2023 19:39:09,234000,-1000.000
10/22/2023 19:39:09,235000,-1000.000
10/22/2023 19:39:09,236000,-1000.000
10/22/2023 19:39:09,237000,-1000.000
10/22/2023 19:39:09,238000,-1000.000
10/22/2023 19:39:09,239000,-1000.000
10/22/2023 19:39:09,240000,-1000.000
10/22/2023 19:39:09,241000,-1000.000
10/22/2023 19:39:09,242000,-1000.000
10/22/2023 19:39:09,243000,-1000.000
10/22/2023 19:39:09,244000,-1000.000
10/22/2023 19:39:09,245000,-1000.000
10/22/2023 19:39:09,246000,-1000.000
10/22/2023 19:39:09,247000,-1000.000
10/22/2023 19:39:09,248000,-1000.000
10/22/2023 19:39:09,249000,-1000.000
10/22/2023 19:39:09,250000,-1000.000
10/22/2023 19:39:09,251000,-1000.000
10/22/2023 19:39:09,252000,-1000.000
10/22/2023 19:39:09,253000,-1000.000
10/22/2023 19:39:09,254000,-1000.000
10/22/2023 19:39:09,255000,-1000.000
10/22/2023 19:39:09,256000,-1000.000
10/22/2023 19:39:09,257000,-1000.000
10/22/2023 19:39:09,258000,-1000.000
10/22/2023 19:39:09,259000,-1000.000
10/22/2023 19:39:09,260000,-1000.000
10/22/2023 19:39:09,261000,-1000.000
10/22/2023 19:39:09,262000,-1000.000
10/22/2023 19:39:09,263000,-1000.000
10/22/2023 19:39:09,264000,-1000.000
10/22/2023 19:39:09,265000,-1000.000
