#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 20:07:54,664000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 20:08:13,164000,-1000.000
10/22/2023 20:08:13,165000,-1000.000
10/22/2023 20:08:13,166000,-1000.000
10/22/2023 20:08:13,167000,-1000.000
10/22/2023 20:08:13,168000,-1000.000
10/22/2023 20:08:13,169000,-1000.000
10/22/2023 20:08:13,170000,-1000.000
10/22/2023 20:08:13,171000,-1000.000
10/22/2023 20:08:13,172000,-1000.000
10/22/2023 20:08:13,173000,-1000.000
10/22/2023 20:08:13,174000,-1000.000
10/22/2023 20:08:13,175000,-1000.000
10/22/2023 20:08:13,176000,-1000.000
10/22/2023 20:08:13,177000,-1000.000
10/22/2023 20:08:13,178000,-1000.000
10/22/2023 20:08:13,179000,-1000.000
10/22/2023 20:08:13,180000,-1000.000
10/22/2023 20:08:13,181000,-1000.000
10/22/2023 20:08:13,182000,-1000.000
10/22/2023 20:08:13,183000,-1000.000
10/22/2023 20:08:13,184000,-1000.000
10/22/2023 20:08:13,185000,-1000.000
10/22/2023 20:08:13,186000,-1000.000
10/22/2023 20:08:13,187000,-1000.000
10/22/2023 20:08:13,188000,-1000.000
10/22/2023 20:08:13,189000,-1000.000
10/22/2023 20:08:13,190000,-1000.000
10/22/2023 20:08:13,191000,-1000.000
10/22/2023 20:08:13,192000,-1000.000
10/22/2023 20:08:13,193000,-1000.000
10/22/2023 20:08:13,194000,-1000.000
10/22/2023 20:08:13,195000,-1000.000
10/22/2023 20:08:13,196000,-1000.000
10/22/2023 20:08:13,197000,-1000.000
10/22/2023 20:08:13,198000,-1000.000
10/22/2023 20:08:13,199000,-1000.000
10/22/2023 20:08:13,200000,-1000.000
10/22/2023 20:08:13,201000,-1000.000
10/22/2023 20:08:13,202000,-1000.000
10/22/2023 20:08:13,203000,-1000.000
10/22/2023 20:08:13,204000,-1000.000
10/22/2023 20:08:13,205000,-1000.000
10/22/2023 20:08:13,206000,-1000.000
10/22/2023 20:08:13,207000,-1000.000
10/22/2023 20:08:13,208000,-1000.000
10/22/2023 20:08:13,209000,-1000.000
10/22/2023 20:08:13,210000,-1000.000
10/22/2023 20:08:13,211000,-1000.000
10/22/2023 20:08:13,212000,-1000.000
10/22/2023 20:08:13,213000,-1000.000
10/22/2023 20:08:13,214000,-1000.000
10/22/2023 20:08:13,215000,-1000.000
10/22/2023 20:08:13,216000,-1000.000
10/22/2023 20:08:13,217000,-1000.000
10/22/2023 20:08:13,218000,-1000.000
10/22/2023 20:08:13,219000,-1000.000
10/22/2023 20:08:13,220000,-1000.000
10/22/2023 20:08:13,221000,-1000.000
10/22/2023 20:08:13,222000,-1000.000
10/22/2023 20:08:13,223000,-1000.000
10/22/2023 20:08:13,224000,-1000.000
10/22/2023 20:08:13,225000,-1000.000
10/22/2023 20:08:13,226000,-1000.000
10/22/2023 20:08:13,227000,-1000.000
10/22/2023 20:08:13,228000,-1000.000
10/22/2023 20:08:13,229000,-1000.000
10/22/2023 20:08:13,230000,-1000.000
10/22/2023 20:08:13,231000,-1000.000
10/22/2023 20:08:13,232000,-1000.000
10/22/2023 20:08:13,233000,-1000.000
10/22/2023 20:08:13,234000,-1000.000
10/22/2023 20:08:13,235000,-1000.000
10/22/2023 20:08:13,236000,-1000.000
10/22/2023 20:08:13,237000,-1000.000
10/22/2023 20:08:13,238000,-1000.000
10/22/2023 20:08:13,239000,-1000.000
10/22/2023 20:08:13,240000,-1000.000
10/22/2023 20:08:13,241000,-1000.000
10/22/2023 20:08:13,242000,-1000.000
10/22/2023 20:08:13,243000,-1000.000
10/22/2023 20:08:13,244000,-1000.000
10/22/2023 20:08:13,245000,-1000.000
10/22/2023 20:08:13,246000,-1000.000
10/22/2023 20:08:13,247000,-1000.000
10/22/2023 20:08:13,248000,-1000.000
10/22/2023 20:08:13,249000,-1000.000
10/22/2023 20:08:13,250000,-1000.000
10/22/2023 20:08:13,251000,-1000.000
10/22/2023 20:08:13,252000,-1000.000
10/22/2023 20:08:13,253000,-1000.000
10/22/2023 20:08:13,254000,-1000.000
10/22/2023 20:08:13,255000,-1000.000
10/22/2023 20:08:13,256000,-1000.000
10/22/2023 20:08:13,257000,-1000.000
10/22/2023 20:08:13,258000,-1000.000
10/22/2023 20:08:13,259000,-1000.000
10/22/2023 20:08:13,260000,-1000.000
10/22/2023 20:08:13,261000,-1000.000
10/22/2023 20:08:13,262000,-1000.000
10/22/2023 20:08:13,263000,-1000.000
10/22/2023 20:08:13,264000,-1000.000
10/22/2023 20:08:13,265000,-1000.000
10/22/2023 20:08:13,266000,-1000.000
10/22/2023 20:08:13,267000,-1000.000
10/22/2023 20:08:13,268000,-1000.000
10/22/2023 20:08:13,269000,-1000.000
10/22/2023 20:08:13,270000,-1000.000
10/22/2023 20:08:13,271000,-1000.000
10/22/2023 20:08:13,272000,-1000.000
10/22/2023 20:08:13,273000,-1000.000
10/22/2023 20:08:13,274000,-1000.000
10/22/2023 20:08:13,275000,-1000.000
10/22/2023 20:08:13,276000,-1000.000
10/22/2023 20:08:13,277000,-1000.000
10/22/2023 20:08:13,278000,-1000.000
10/22/2023 20:08:13,279000,-1000.000
10/22/2023 20:08:13,280000,-1000.000
10/22/2023 20:08:13,281000,-1000.000
10/22/2023 20:08:13,282000,-1000.000
10/22/2023 20:08:13,283000,-1000.000
10/22/2023 20:08:13,284000,-1000.000
10/22/2023 20:08:13,285000,-1000.000
10/22/2023 20:08:13,286000,-1000.000
10/22/2023 20:08:13,287000,-1000.000
10/22/2023 20:08:13,288000,-1000.000
10/22/2023 20:08:13,289000,-1000.000
10/22/2023 20:08:13,290000,-1000.000
10/22/2023 20:08:13,291000,-1000.000
10/22/2023 20:08:13,292000,-1000.000
10/22/2023 20:08:13,293000,-1000.000
10/22/2023 20:08:13,294000,-1000.000
10/22/2023 20:08:13,295000,-1000.000
10/22/2023 20:08:13,296000,-1000.000
10/22/2023 20:08:13,297000,-1000.000
10/22/2023 20:08:13,298000,-1000.000
10/22/2023 20:08:13,299000,-1000.000
10/22/2023 20:08:13,300000,-1000.000
10/22/2023 20:08:13,301000,-1000.000
10/22/2023 20:08:13,302000,-1000.000
10/22/2023 20:08:13,303000,-1000.000
10/22/2023 20:08:13,304000,-1000.000
10/22/2023 20:08:13,305000,-1000.000
10/22/2023 20:08:13,306000,-1000.000
10/22/2023 20:08:13,307000,-1000.000
10/22/2023 20:08:13,308000,-1000.000
10/22/2023 20:08:13,309000,-1000.000
10/22/2023 20:08:13,310000,-1000.000
10/22/2023 20:08:13,311000,-1000.000
10/22/2023 20:08:13,312000,-1000.000
10/22/2023 20:08:13,313000,-1000.000
10/22/2023 20:08:13,314000,-1000.000
10/22/2023 20:08:13,315000,-1000.000
10/22/2023 20:08:13,316000,-1000.000
10/22/2023 20:08:13,317000,-1000.000
10/22/2023 20:08:13,318000,-1000.000
10/22/2023 20:08:13,319000,-1000.000
10/22/2023 20:08:13,320000,-1000.000
10/22/2023 20:08:13,321000,-1000.000
10/22/2023 20:08:13,322000,-1000.000
10/22/2023 20:08:13,323000,-1000.000
10/22/2023 20:08:13,324000,-1000.000
10/22/2023 20:08:13,325000,-1000.000
10/22/2023 20:08:13,326000,-1000.000
10/22/2023 20:08:13,327000,-1000.000
10/22/2023 20:08:13,328000,-1000.000
10/22/2023 20:08:13,329000,-1000.000
10/22/2023 20:08:13,330000,-1000.000
10/22/2023 20:08:13,331000,-1000.000
10/22/2023 20:08:13,332000,-1000.000
10/22/2023 20:08:13,333000,-1000.000
10/22/2023 20:08:13,334000,-1000.000
10/22/2023 20:08:13,335000,-1000.000
10/22/2023 20:08:13,336000,-1000.000
10/22/2023 20:08:13,337000,-1000.000
10/22/2023 20:08:13,338000,-1000.000
10/22/2023 20:08:13,339000,-1000.000
10/22/2023 20:08:13,340000,-1000.000
10/22/2023 20:08:13,341000,-1000.000
10/22/2023 20:08:13,342000,-1000.000
10/22/2023 20:08:13,343000,-1000.000
10/22/2023 20:08:13,344000,-1000.000
10/22/2023 20:08:13,345000,-1000.000
10/22/2023 20:08:13,346000,-1000.000
10/22/2023 20:08:13,347000,-1000.000
10/22/2023 20:08:13,348000,-1000.000
10/22/2023 20:08:13,349000,-1000.000
10/22/2023 20:08:13,350000,-1000.000
10/22/2023 20:08:13,351000,-1000.000
10/22/2023 20:08:13,352000,-1000.000
