#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/04/2023 17:58:11,947000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/04/2023 17:58:14,047000,-1000.000
11/04/2023 17:58:14,048000,-1000.000
11/04/2023 17:58:14,049000,-1000.000
11/04/2023 17:58:14,050000,-1000.000
11/04/2023 17:58:14,051000,-1000.000
11/04/2023 17:58:14,052000,-1000.000
11/04/2023 17:58:14,053000,-1000.000
11/04/2023 17:58:14,054000,-1000.000
11/04/2023 17:58:14,055000,-1000.000
11/04/2023 17:58:14,056000,-1000.000
11/04/2023 17:58:14,057000,-1000.000
11/04/2023 17:58:14,058000,-1000.000
11/04/2023 17:58:14,059000,-1000.000
11/04/2023 17:58:14,060000,-1000.000
11/04/2023 17:58:14,061000,-1000.000
11/04/2023 17:58:14,062000,-1000.000
11/04/2023 17:58:14,063000,-1000.000
11/04/2023 17:58:14,064000,-1000.000
11/04/2023 17:58:14,065000,-1000.000
11/04/2023 17:58:14,066000,-1000.000
11/04/2023 17:58:14,067000,-1000.000
11/04/2023 17:58:14,068000,-1000.000
11/04/2023 17:58:14,069000,-1000.000
11/04/2023 17:58:14,070000,-1000.000
11/04/2023 17:58:14,071000,-1000.000
11/04/2023 17:58:14,072000,-1000.000
11/04/2023 17:58:14,073000,-1000.000
11/04/2023 17:58:14,074000,-1000.000
11/04/2023 17:58:14,075000,-1000.000
11/04/2023 17:58:14,076000,-1000.000
11/04/2023 17:58:14,077000,-1000.000
11/04/2023 17:58:14,078000,-1000.000
11/04/2023 17:58:14,079000,-1000.000
11/04/2023 17:58:14,080000,-1000.000
11/04/2023 17:58:14,081000,-1000.000
11/04/2023 17:58:14,082000,-1000.000
11/04/2023 17:58:14,083000,-1000.000
11/04/2023 17:58:14,084000,-1000.000
11/04/2023 17:58:14,085000,-1000.000
