#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 20:42:59,826000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 20:43:11,426000,-1000.000
10/22/2023 20:43:11,427000,-1000.000
10/22/2023 20:43:11,428000,-1000.000
10/22/2023 20:43:11,429000,-1000.000
10/22/2023 20:43:11,430000,-1000.000
10/22/2023 20:43:11,431000,-1000.000
10/22/2023 20:43:11,432000,-1000.000
10/22/2023 20:43:11,433000,-1000.000
10/22/2023 20:43:11,434000,-1000.000
10/22/2023 20:43:11,435000,-1000.000
10/22/2023 20:43:11,436000,-1000.000
10/22/2023 20:43:11,437000,-1000.000
10/22/2023 20:43:11,438000,-1000.000
10/22/2023 20:43:11,439000,-1000.000
10/22/2023 20:43:11,440000,-1000.000
10/22/2023 20:43:11,441000,-1000.000
10/22/2023 20:43:11,442000,-1000.000
10/22/2023 20:43:11,443000,-1000.000
10/22/2023 20:43:11,444000,-1000.000
10/22/2023 20:43:11,445000,-1000.000
10/22/2023 20:43:11,446000,-1000.000
10/22/2023 20:43:11,447000,-1000.000
10/22/2023 20:43:11,448000,-1000.000
10/22/2023 20:43:11,449000,-1000.000
10/22/2023 20:43:11,450000,-1000.000
10/22/2023 20:43:11,451000,-1000.000
10/22/2023 20:43:11,452000,-1000.000
10/22/2023 20:43:11,453000,-1000.000
10/22/2023 20:43:11,454000,-1000.000
10/22/2023 20:43:11,455000,-1000.000
10/22/2023 20:43:11,456000,-1000.000
10/22/2023 20:43:11,457000,-1000.000
10/22/2023 20:43:11,458000,-1000.000
10/22/2023 20:43:11,459000,-1000.000
10/22/2023 20:43:11,460000,-1000.000
10/22/2023 20:43:11,461000,-1000.000
10/22/2023 20:43:11,462000,-1000.000
10/22/2023 20:43:11,463000,-1000.000
10/22/2023 20:43:11,464000,-1000.000
10/22/2023 20:43:11,465000,-1000.000
10/22/2023 20:43:11,466000,-1000.000
10/22/2023 20:43:11,467000,-1000.000
10/22/2023 20:43:11,468000,-1000.000
10/22/2023 20:43:11,469000,-1000.000
10/22/2023 20:43:11,470000,-1000.000
10/22/2023 20:43:11,471000,-1000.000
10/22/2023 20:43:11,472000,-1000.000
10/22/2023 20:43:11,473000,-1000.000
10/22/2023 20:43:11,474000,-1000.000
10/22/2023 20:43:11,475000,-1000.000
10/22/2023 20:43:11,476000,-1000.000
10/22/2023 20:43:11,477000,-1000.000
10/22/2023 20:43:11,478000,-1000.000
10/22/2023 20:43:11,479000,-1000.000
10/22/2023 20:43:11,480000,-1000.000
10/22/2023 20:43:11,481000,-1000.000
10/22/2023 20:43:11,482000,-1000.000
10/22/2023 20:43:11,483000,-1000.000
10/22/2023 20:43:11,484000,-1000.000
10/22/2023 20:43:11,485000,-1000.000
10/22/2023 20:43:11,486000,-1000.000
10/22/2023 20:43:11,487000,-1000.000
10/22/2023 20:43:11,488000,-1000.000
10/22/2023 20:43:11,489000,-1000.000
10/22/2023 20:43:11,490000,-1000.000
10/22/2023 20:43:11,491000,-1000.000
10/22/2023 20:43:11,492000,-1000.000
10/22/2023 20:43:11,493000,-1000.000
10/22/2023 20:43:11,494000,-1000.000
10/22/2023 20:43:11,495000,-1000.000
10/22/2023 20:43:11,496000,-1000.000
10/22/2023 20:43:11,497000,-1000.000
10/22/2023 20:43:11,498000,-1000.000
10/22/2023 20:43:11,499000,-1000.000
10/22/2023 20:43:11,500000,-1000.000
10/22/2023 20:43:11,501000,-1000.000
10/22/2023 20:43:11,502000,-1000.000
10/22/2023 20:43:11,503000,-1000.000
10/22/2023 20:43:11,504000,-1000.000
10/22/2023 20:43:11,505000,-1000.000
10/22/2023 20:43:11,506000,-1000.000
10/22/2023 20:43:11,507000,-1000.000
10/22/2023 20:43:11,508000,-1000.000
10/22/2023 20:43:11,509000,-1000.000
10/22/2023 20:43:11,510000,-1000.000
10/22/2023 20:43:11,511000,-1000.000
10/22/2023 20:43:11,512000,-1000.000
10/22/2023 20:43:11,513000,-1000.000
10/22/2023 20:43:11,514000,-1000.000
10/22/2023 20:43:11,515000,-1000.000
10/22/2023 20:43:11,516000,-1000.000
10/22/2023 20:43:11,517000,-1000.000
10/22/2023 20:43:11,518000,-1000.000
10/22/2023 20:43:11,519000,-1000.000
10/22/2023 20:43:11,520000,-1000.000
10/22/2023 20:43:11,521000,-1000.000
10/22/2023 20:43:11,522000,-1000.000
10/22/2023 20:43:11,523000,-1000.000
10/22/2023 20:43:11,524000,-1000.000
10/22/2023 20:43:11,525000,-1000.000
10/22/2023 20:43:11,526000,-1000.000
10/22/2023 20:43:11,527000,-1000.000
10/22/2023 20:43:11,528000,-1000.000
10/22/2023 20:43:11,529000,-1000.000
10/22/2023 20:43:11,530000,-1000.000
10/22/2023 20:43:11,531000,-1000.000
10/22/2023 20:43:11,532000,-1000.000
10/22/2023 20:43:11,533000,-1000.000
10/22/2023 20:43:11,534000,-1000.000
10/22/2023 20:43:11,535000,-1000.000
10/22/2023 20:43:11,536000,-1000.000
10/22/2023 20:43:11,537000,-1000.000
10/22/2023 20:43:11,538000,-1000.000
10/22/2023 20:43:11,539000,-1000.000
10/22/2023 20:43:11,540000,-1000.000
10/22/2023 20:43:11,541000,-1000.000
10/22/2023 20:43:11,542000,-1000.000
10/22/2023 20:43:11,543000,-1000.000
10/22/2023 20:43:11,544000,-1000.000
10/22/2023 20:43:11,545000,-1000.000
10/22/2023 20:43:11,546000,-1000.000
10/22/2023 20:43:11,547000,-1000.000
10/22/2023 20:43:11,548000,-1000.000
10/22/2023 20:43:11,549000,-1000.000
10/22/2023 20:43:11,550000,-1000.000
10/22/2023 20:43:11,551000,-1000.000
10/22/2023 20:43:11,552000,-1000.000
10/22/2023 20:43:11,553000,-1000.000
10/22/2023 20:43:11,554000,-1000.000
10/22/2023 20:43:11,555000,-1000.000
10/22/2023 20:43:11,556000,-1000.000
10/22/2023 20:43:11,557000,-1000.000
10/22/2023 20:43:11,558000,-1000.000
10/22/2023 20:43:11,559000,-1000.000
10/22/2023 20:43:11,560000,-1000.000
10/22/2023 20:43:11,561000,-1000.000
10/22/2023 20:43:11,562000,-1000.000
10/22/2023 20:43:11,563000,-1000.000
10/22/2023 20:43:11,564000,-1000.000
10/22/2023 20:43:11,565000,-1000.000
10/22/2023 20:43:11,566000,-1000.000
10/22/2023 20:43:11,567000,-1000.000
10/22/2023 20:43:11,568000,-1000.000
10/22/2023 20:43:11,569000,-1000.000
10/22/2023 20:43:11,570000,-1000.000
10/22/2023 20:43:11,571000,-1000.000
10/22/2023 20:43:11,572000,-1000.000
10/22/2023 20:43:11,573000,-1000.000
10/22/2023 20:43:11,574000,-1000.000
10/22/2023 20:43:11,575000,-1000.000
10/22/2023 20:43:11,576000,-1000.000
10/22/2023 20:43:11,577000,-1000.000
10/22/2023 20:43:11,578000,-1000.000
10/22/2023 20:43:11,579000,-1000.000
10/22/2023 20:43:11,580000,-1000.000
10/22/2023 20:43:11,581000,-1000.000
10/22/2023 20:43:11,582000,-1000.000
10/22/2023 20:43:11,583000,-1000.000
10/22/2023 20:43:11,584000,-1000.000
10/22/2023 20:43:11,585000,-1000.000
10/22/2023 20:43:11,586000,-1000.000
10/22/2023 20:43:11,587000,-1000.000
10/22/2023 20:43:11,588000,-1000.000
10/22/2023 20:43:11,589000,-1000.000
10/22/2023 20:43:11,590000,-1000.000
10/22/2023 20:43:11,591000,-1000.000
10/22/2023 20:43:11,592000,-1000.000
10/22/2023 20:43:11,593000,-1000.000
10/22/2023 20:43:11,594000,-1000.000
10/22/2023 20:43:11,595000,-1000.000
10/22/2023 20:43:11,596000,-1000.000
10/22/2023 20:43:11,597000,-1000.000
10/22/2023 20:43:11,598000,-1000.000
10/22/2023 20:43:11,599000,-1000.000
10/22/2023 20:43:11,600000,-1000.000
10/22/2023 20:43:11,601000,-1000.000
10/22/2023 20:43:11,602000,-1000.000
10/22/2023 20:43:11,603000,-1000.000
10/22/2023 20:43:11,604000,-1000.000
10/22/2023 20:43:11,605000,-1000.000
10/22/2023 20:43:11,606000,-1000.000
10/22/2023 20:43:11,607000,-1000.000
10/22/2023 20:43:11,608000,-1000.000
10/22/2023 20:43:11,609000,-1000.000
10/22/2023 20:43:11,610000,-1000.000
10/22/2023 20:43:11,611000,-1000.000
10/22/2023 20:43:11,612000,-1000.000
10/22/2023 20:43:11,613000,-1000.000
10/22/2023 20:43:11,614000,-1000.000
10/22/2023 20:43:11,615000,-1000.000
10/22/2023 20:43:11,616000,-1000.000
10/22/2023 20:43:11,617000,-1000.000
10/22/2023 20:43:11,618000,-1000.000
10/22/2023 20:43:11,619000,-1000.000
10/22/2023 20:43:11,620000,-1000.000
10/22/2023 20:43:11,621000,-1000.000
10/22/2023 20:43:11,622000,-1000.000
10/22/2023 20:43:11,623000,-1000.000
10/22/2023 20:43:11,624000,-1000.000
10/22/2023 20:43:11,625000,-1000.000
10/22/2023 20:43:11,626000,-1000.000
10/22/2023 20:43:11,627000,-1000.000
10/22/2023 20:43:11,628000,-1000.000
10/22/2023 20:43:11,629000,-1000.000
10/22/2023 20:43:11,630000,-1000.000
10/22/2023 20:43:11,631000,-1000.000
10/22/2023 20:43:11,632000,-1000.000
10/22/2023 20:43:11,633000,-1000.000
10/22/2023 20:43:11,634000,-1000.000
10/22/2023 20:43:11,635000,-1000.000
10/22/2023 20:43:11,636000,-1000.000
10/22/2023 20:43:11,637000,-1000.000
10/22/2023 20:43:11,638000,-1000.000
10/22/2023 20:43:11,639000,-1000.000
10/22/2023 20:43:11,640000,-1000.000
10/22/2023 20:43:11,641000,-1000.000
10/22/2023 20:43:11,642000,-1000.000
10/22/2023 20:43:11,643000,-1000.000
10/22/2023 20:43:11,644000,-1000.000
10/22/2023 20:43:11,645000,-1000.000
10/22/2023 20:43:11,646000,-1000.000
10/22/2023 20:43:11,647000,-1000.000
10/22/2023 20:43:11,648000,-1000.000
10/22/2023 20:43:11,649000,-1000.000
