#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 19:56:31,033000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 19:56:45,133000,-1000.000
10/22/2023 19:56:45,134000,-1000.000
10/22/2023 19:56:45,135000,-1000.000
10/22/2023 19:56:45,136000,-1000.000
10/22/2023 19:56:45,137000,-1000.000
10/22/2023 19:56:45,138000,-1000.000
10/22/2023 19:56:45,139000,-1000.000
10/22/2023 19:56:45,140000,-1000.000
10/22/2023 19:56:45,141000,-1000.000
10/22/2023 19:56:45,142000,-1000.000
10/22/2023 19:56:45,143000,-1000.000
10/22/2023 19:56:45,144000,-1000.000
10/22/2023 19:56:45,145000,-1000.000
10/22/2023 19:56:45,146000,-1000.000
10/22/2023 19:56:45,147000,-1000.000
10/22/2023 19:56:45,148000,-1000.000
10/22/2023 19:56:45,149000,-1000.000
10/22/2023 19:56:45,150000,-1000.000
10/22/2023 19:56:45,151000,-1000.000
10/22/2023 19:56:45,152000,-1000.000
10/22/2023 19:56:45,153000,-1000.000
10/22/2023 19:56:45,154000,-1000.000
10/22/2023 19:56:45,155000,-1000.000
10/22/2023 19:56:45,156000,-1000.000
10/22/2023 19:56:45,157000,-1000.000
10/22/2023 19:56:45,158000,-1000.000
10/22/2023 19:56:45,159000,-1000.000
10/22/2023 19:56:45,160000,-1000.000
10/22/2023 19:56:45,161000,-1000.000
10/22/2023 19:56:45,162000,-1000.000
10/22/2023 19:56:45,163000,-1000.000
10/22/2023 19:56:45,164000,-1000.000
10/22/2023 19:56:45,165000,-1000.000
10/22/2023 19:56:45,166000,-1000.000
10/22/2023 19:56:45,167000,-1000.000
10/22/2023 19:56:45,168000,-1000.000
10/22/2023 19:56:45,169000,-1000.000
10/22/2023 19:56:45,170000,-1000.000
10/22/2023 19:56:45,171000,-1000.000
10/22/2023 19:56:45,172000,-1000.000
10/22/2023 19:56:45,173000,-1000.000
10/22/2023 19:56:45,174000,-1000.000
10/22/2023 19:56:45,175000,-1000.000
10/22/2023 19:56:45,176000,-1000.000
10/22/2023 19:56:45,177000,-1000.000
10/22/2023 19:56:45,178000,-1000.000
10/22/2023 19:56:45,179000,-1000.000
10/22/2023 19:56:45,180000,-1000.000
10/22/2023 19:56:45,181000,-1000.000
10/22/2023 19:56:45,182000,-1000.000
10/22/2023 19:56:45,183000,-1000.000
10/22/2023 19:56:45,184000,-1000.000
10/22/2023 19:56:45,185000,-1000.000
10/22/2023 19:56:45,186000,-1000.000
10/22/2023 19:56:45,187000,-1000.000
10/22/2023 19:56:45,188000,-1000.000
10/22/2023 19:56:45,189000,-1000.000
10/22/2023 19:56:45,190000,-1000.000
10/22/2023 19:56:45,191000,-1000.000
10/22/2023 19:56:45,192000,-1000.000
10/22/2023 19:56:45,193000,-1000.000
10/22/2023 19:56:45,194000,-1000.000
10/22/2023 19:56:45,195000,-1000.000
10/22/2023 19:56:45,196000,-1000.000
10/22/2023 19:56:45,197000,-1000.000
10/22/2023 19:56:45,198000,-1000.000
10/22/2023 19:56:45,199000,-1000.000
10/22/2023 19:56:45,200000,-1000.000
10/22/2023 19:56:45,201000,-1000.000
10/22/2023 19:56:45,202000,-1000.000
10/22/2023 19:56:45,203000,-1000.000
10/22/2023 19:56:45,204000,-1000.000
10/22/2023 19:56:45,205000,-1000.000
10/22/2023 19:56:45,206000,-1000.000
10/22/2023 19:56:45,207000,-1000.000
10/22/2023 19:56:45,208000,-1000.000
10/22/2023 19:56:45,209000,-1000.000
10/22/2023 19:56:45,210000,-1000.000
10/22/2023 19:56:45,211000,-1000.000
10/22/2023 19:56:45,212000,-1000.000
10/22/2023 19:56:45,213000,-1000.000
10/22/2023 19:56:45,214000,-1000.000
10/22/2023 19:56:45,215000,-1000.000
10/22/2023 19:56:45,216000,-1000.000
10/22/2023 19:56:45,217000,-1000.000
10/22/2023 19:56:45,218000,-1000.000
10/22/2023 19:56:45,219000,-1000.000
10/22/2023 19:56:45,220000,-1000.000
10/22/2023 19:56:45,221000,-1000.000
10/22/2023 19:56:45,222000,-1000.000
10/22/2023 19:56:45,223000,-1000.000
10/22/2023 19:56:45,224000,-1000.000
10/22/2023 19:56:45,225000,-1000.000
10/22/2023 19:56:45,226000,-1000.000
10/22/2023 19:56:45,227000,-1000.000
