#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,10/22/2023 18:29:46,521000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
10/22/2023 18:30:02,121000,-1000.000
10/22/2023 18:30:02,122000,-1000.000
10/22/2023 18:30:02,123000,-1000.000
10/22/2023 18:30:02,124000,-1000.000
10/22/2023 18:30:02,125000,-1000.000
10/22/2023 18:30:02,126000,-1000.000
10/22/2023 18:30:02,127000,-1000.000
10/22/2023 18:30:02,128000,-1000.000
10/22/2023 18:30:02,129000,-1000.000
10/22/2023 18:30:02,130000,-1000.000
10/22/2023 18:30:02,131000,-1000.000
10/22/2023 18:30:02,132000,-1000.000
10/22/2023 18:30:02,133000,-1000.000
10/22/2023 18:30:02,134000,-1000.000
10/22/2023 18:30:02,135000,-1000.000
10/22/2023 18:30:02,136000,-1000.000
10/22/2023 18:30:02,137000,-1000.000
10/22/2023 18:30:02,138000,-1000.000
10/22/2023 18:30:02,139000,-1000.000
10/22/2023 18:30:02,140000,-1000.000
10/22/2023 18:30:02,141000,-1000.000
10/22/2023 18:30:02,142000,-1000.000
10/22/2023 18:30:02,143000,-1000.000
10/22/2023 18:30:02,144000,-1000.000
10/22/2023 18:30:02,145000,-1000.000
10/22/2023 18:30:02,146000,-1000.000
10/22/2023 18:30:02,147000,-1000.000
10/22/2023 18:30:02,148000,-1000.000
10/22/2023 18:30:02,149000,-1000.000
10/22/2023 18:30:02,150000,-1000.000
10/22/2023 18:30:02,151000,-1000.000
10/22/2023 18:30:02,152000,-1000.000
10/22/2023 18:30:02,153000,-1000.000
10/22/2023 18:30:02,154000,-1000.000
10/22/2023 18:30:02,155000,-1000.000
10/22/2023 18:30:02,156000,-1000.000
10/22/2023 18:30:02,157000,-1000.000
10/22/2023 18:30:02,158000,-1000.000
10/22/2023 18:30:02,159000,-1000.000
10/22/2023 18:30:02,160000,-1000.000
10/22/2023 18:30:02,161000,-1000.000
10/22/2023 18:30:02,162000,-1000.000
10/22/2023 18:30:02,163000,-1000.000
10/22/2023 18:30:02,164000,-1000.000
10/22/2023 18:30:02,165000,-1000.000
10/22/2023 18:30:02,166000,-1000.000
10/22/2023 18:30:02,167000,-1000.000
10/22/2023 18:30:02,168000,-1000.000
10/22/2023 18:30:02,169000,-1000.000
10/22/2023 18:30:02,170000,-1000.000
10/22/2023 18:30:02,171000,-1000.000
10/22/2023 18:30:02,172000,-1000.000
10/22/2023 18:30:02,173000,-1000.000
10/22/2023 18:30:02,174000,-1000.000
10/22/2023 18:30:02,175000,-1000.000
10/22/2023 18:30:02,176000,-1000.000
10/22/2023 18:30:02,177000,-1000.000
10/22/2023 18:30:02,178000,-1000.000
10/22/2023 18:30:02,179000,-1000.000
10/22/2023 18:30:02,180000,-1000.000
10/22/2023 18:30:02,181000,-1000.000
10/22/2023 18:30:02,182000,-1000.000
10/22/2023 18:30:02,183000,-1000.000
10/22/2023 18:30:02,184000,-1000.000
10/22/2023 18:30:02,185000,-1000.000
10/22/2023 18:30:02,186000,-1000.000
10/22/2023 18:30:02,187000,-1000.000
10/22/2023 18:30:02,188000,-1000.000
10/22/2023 18:30:02,189000,-1000.000
10/22/2023 18:30:02,190000,-1000.000
10/22/2023 18:30:02,191000,-1000.000
10/22/2023 18:30:02,192000,-1000.000
10/22/2023 18:30:02,193000,-1000.000
10/22/2023 18:30:02,194000,-1000.000
10/22/2023 18:30:02,195000,-1000.000
10/22/2023 18:30:02,196000,-1000.000
10/22/2023 18:30:02,197000,-1000.000
10/22/2023 18:30:02,198000,-1000.000
10/22/2023 18:30:02,199000,-1000.000
10/22/2023 18:30:02,200000,-1000.000
10/22/2023 18:30:02,201000,-1000.000
10/22/2023 18:30:02,202000,-1000.000
10/22/2023 18:30:02,203000,-1000.000
10/22/2023 18:30:02,204000,-1000.000
10/22/2023 18:30:02,205000,-1000.000
10/22/2023 18:30:02,206000,-1000.000
10/22/2023 18:30:02,207000,-1000.000
10/22/2023 18:30:02,208000,-1000.000
10/22/2023 18:30:02,209000,-1000.000
10/22/2023 18:30:02,210000,-1000.000
10/22/2023 18:30:02,211000,-1000.000
10/22/2023 18:30:02,212000,-1000.000
10/22/2023 18:30:02,213000,-1000.000
10/22/2023 18:30:02,214000,-1000.000
10/22/2023 18:30:02,215000,-1000.000
10/22/2023 18:30:02,216000,-1000.000
10/22/2023 18:30:02,217000,-1000.000
10/22/2023 18:30:02,218000,-1000.000
10/22/2023 18:30:02,219000,-1000.000
10/22/2023 18:30:02,220000,-1000.000
10/22/2023 18:30:02,221000,-1000.000
10/22/2023 18:30:02,222000,-1000.000
10/22/2023 18:30:02,223000,-1000.000
10/22/2023 18:30:02,224000,-1000.000
10/22/2023 18:30:02,225000,-1000.000
10/22/2023 18:30:02,226000,-1000.000
10/22/2023 18:30:02,227000,-1000.000
10/22/2023 18:30:02,228000,-1000.000
10/22/2023 18:30:02,229000,-1000.000
10/22/2023 18:30:02,230000,-1000.000
10/22/2023 18:30:02,231000,-1000.000
10/22/2023 18:30:02,232000,-1000.000
10/22/2023 18:30:02,233000,-1000.000
10/22/2023 18:30:02,234000,-1000.000
10/22/2023 18:30:02,235000,-1000.000
10/22/2023 18:30:02,236000,-1000.000
10/22/2023 18:30:02,237000,-1000.000
10/22/2023 18:30:02,238000,-1000.000
10/22/2023 18:30:02,239000,-1000.000
10/22/2023 18:30:02,240000,-1000.000
10/22/2023 18:30:02,241000,-1000.000
10/22/2023 18:30:02,242000,-1000.000
10/22/2023 18:30:02,243000,-1000.000
10/22/2023 18:30:02,244000,-1000.000
10/22/2023 18:30:02,245000,-1000.000
10/22/2023 18:30:02,246000,-1000.000
10/22/2023 18:30:02,247000,-1000.000
10/22/2023 18:30:02,248000,-1000.000
10/22/2023 18:30:02,249000,-1000.000
10/22/2023 18:30:02,250000,-1000.000
10/22/2023 18:30:02,251000,-1000.000
10/22/2023 18:30:02,252000,-1000.000
10/22/2023 18:30:02,253000,-1000.000
10/22/2023 18:30:02,254000,-1000.000
10/22/2023 18:30:02,255000,-1000.000
10/22/2023 18:30:02,256000,-1000.000
10/22/2023 18:30:02,257000,-1000.000
10/22/2023 18:30:02,258000,-1000.000
10/22/2023 18:30:02,259000,-1000.000
10/22/2023 18:30:02,260000,-1000.000
10/22/2023 18:30:02,261000,-1000.000
10/22/2023 18:30:02,262000,-1000.000
10/22/2023 18:30:02,263000,-1000.000
10/22/2023 18:30:02,264000,-1000.000
10/22/2023 18:30:02,265000,-1000.000
10/22/2023 18:30:02,266000,-1000.000
10/22/2023 18:30:02,267000,-1000.000
10/22/2023 18:30:02,268000,-1000.000
10/22/2023 18:30:02,269000,-1000.000
10/22/2023 18:30:02,270000,-1000.000
10/22/2023 18:30:02,271000,-1000.000
10/22/2023 18:30:02,272000,-1000.000
10/22/2023 18:30:02,273000,-1000.000
10/22/2023 18:30:02,274000,-1000.000
10/22/2023 18:30:02,275000,-1000.000
10/22/2023 18:30:02,276000,-1000.000
10/22/2023 18:30:02,277000,-1000.000
10/22/2023 18:30:02,278000,-1000.000
10/22/2023 18:30:02,279000,-1000.000
10/22/2023 18:30:02,280000,-1000.000
10/22/2023 18:30:02,281000,-1000.000
10/22/2023 18:30:02,282000,-1000.000
10/22/2023 18:30:02,283000,-1000.000
10/22/2023 18:30:02,284000,-1000.000
10/22/2023 18:30:02,285000,-1000.000
10/22/2023 18:30:02,286000,-1000.000
10/22/2023 18:30:02,287000,-1000.000
10/22/2023 18:30:02,288000,-1000.000
10/22/2023 18:30:02,289000,-1000.000
10/22/2023 18:30:02,290000,-1000.000
10/22/2023 18:30:02,291000,-1000.000
10/22/2023 18:30:02,292000,-1000.000
10/22/2023 18:30:02,293000,-1000.000
10/22/2023 18:30:02,294000,-1000.000
10/22/2023 18:30:02,295000,-1000.000
10/22/2023 18:30:02,296000,-1000.000
10/22/2023 18:30:02,297000,-1000.000
10/22/2023 18:30:02,298000,-1000.000
10/22/2023 18:30:02,299000,-1000.000
10/22/2023 18:30:02,300000,-1000.000
10/22/2023 18:30:02,301000,-1000.000
10/22/2023 18:30:02,302000,-1000.000
10/22/2023 18:30:02,303000,-1000.000
10/22/2023 18:30:02,304000,-1000.000
10/22/2023 18:30:02,305000,-1000.000
10/22/2023 18:30:02,306000,-1000.000
10/22/2023 18:30:02,307000,-1000.000
10/22/2023 18:30:02,308000,-1000.000
10/22/2023 18:30:02,309000,-1000.000
10/22/2023 18:30:02,310000,-1000.000
10/22/2023 18:30:02,311000,-1000.000
10/22/2023 18:30:02,312000,-1000.000
10/22/2023 18:30:02,313000,-1000.000
10/22/2023 18:30:02,314000,-1000.000
10/22/2023 18:30:02,315000,-1000.000
10/22/2023 18:30:02,316000,-1000.000
10/22/2023 18:30:02,317000,-1000.000
10/22/2023 18:30:02,318000,-1000.000
10/22/2023 18:30:02,319000,-1000.000
10/22/2023 18:30:02,320000,-1000.000
10/22/2023 18:30:02,321000,-1000.000
10/22/2023 18:30:02,322000,-1000.000
10/22/2023 18:30:02,323000,-1000.000
10/22/2023 18:30:02,324000,-1000.000
10/22/2023 18:30:02,325000,-1000.000
10/22/2023 18:30:02,326000,-1000.000
10/22/2023 18:30:02,327000,-1000.000
10/22/2023 18:30:02,328000,-1000.000
10/22/2023 18:30:02,329000,-1000.000
10/22/2023 18:30:02,330000,-1000.000
10/22/2023 18:30:02,331000,-1000.000
10/22/2023 18:30:02,332000,-1000.000
10/22/2023 18:30:02,333000,-1000.000
10/22/2023 18:30:02,334000,-1000.000
10/22/2023 18:30:02,335000,-1000.000
10/22/2023 18:30:02,336000,-1000.000
10/22/2023 18:30:02,337000,-1000.000
10/22/2023 18:30:02,338000,-1000.000
10/22/2023 18:30:02,339000,-1000.000
10/22/2023 18:30:02,340000,-1000.000
10/22/2023 18:30:02,341000,-1000.000
10/22/2023 18:30:02,342000,-1000.000
10/22/2023 18:30:02,343000,-1000.000
10/22/2023 18:30:02,344000,-1000.000
10/22/2023 18:30:02,345000,-1000.000
10/22/2023 18:30:02,346000,-1000.000
10/22/2023 18:30:02,347000,-1000.000
10/22/2023 18:30:02,348000,-1000.000
10/22/2023 18:30:02,349000,-1000.000
10/22/2023 18:30:02,350000,-1000.000
10/22/2023 18:30:02,351000,-1000.000
10/22/2023 18:30:02,352000,-1000.000
10/22/2023 18:30:02,353000,-1000.000
10/22/2023 18:30:02,354000,-1000.000
10/22/2023 18:30:02,355000,-1000.000
10/22/2023 18:30:02,356000,-1000.000
10/22/2023 18:30:02,357000,-1000.000
10/22/2023 18:30:02,358000,-1000.000
10/22/2023 18:30:02,359000,-1000.000
10/22/2023 18:30:02,360000,-1000.000
10/22/2023 18:30:02,361000,-1000.000
10/22/2023 18:30:02,362000,-1000.000
10/22/2023 18:30:02,363000,-1000.000
10/22/2023 18:30:02,364000,-1000.000
10/22/2023 18:30:02,365000,-1000.000
10/22/2023 18:30:02,366000,-1000.000
10/22/2023 18:30:02,367000,-1000.000
10/22/2023 18:30:02,368000,-1000.000
10/22/2023 18:30:02,369000,-1000.000
10/22/2023 18:30:02,370000,-1000.000
10/22/2023 18:30:02,371000,-1000.000
10/22/2023 18:30:02,372000,-1000.000
10/22/2023 18:30:02,373000,-1000.000
10/22/2023 18:30:02,374000,-1000.000
10/22/2023 18:30:02,375000,-1000.000
10/22/2023 18:30:02,376000,-1000.000
10/22/2023 18:30:02,377000,-1000.000
10/22/2023 18:30:02,378000,-1000.000
10/22/2023 18:30:02,379000,-1000.000
10/22/2023 18:30:02,380000,-1000.000
10/22/2023 18:30:02,381000,-1000.000
10/22/2023 18:30:02,382000,-1000.000
10/22/2023 18:30:02,383000,-1000.000
10/22/2023 18:30:02,384000,-1000.000
10/22/2023 18:30:02,385000,-1000.000
10/22/2023 18:30:02,386000,-1000.000
10/22/2023 18:30:02,387000,-1000.000
10/22/2023 18:30:02,388000,-1000.000
10/22/2023 18:30:02,389000,-1000.000
10/22/2023 18:30:02,390000,-1000.000
10/22/2023 18:30:02,391000,-1000.000
10/22/2023 18:30:02,392000,-1000.000
10/22/2023 18:30:02,393000,-1000.000
10/22/2023 18:30:02,394000,-1000.000
10/22/2023 18:30:02,395000,-1000.000
10/22/2023 18:30:02,396000,-1000.000
10/22/2023 18:30:02,397000,-1000.000
10/22/2023 18:30:02,398000,-1000.000
10/22/2023 18:30:02,399000,-1000.000
10/22/2023 18:30:02,400000,-1000.000
10/22/2023 18:30:02,401000,-1000.000
10/22/2023 18:30:02,402000,-1000.000
10/22/2023 18:30:02,403000,-1000.000
10/22/2023 18:30:02,404000,-1000.000
10/22/2023 18:30:02,405000,-1000.000
10/22/2023 18:30:02,406000,-1000.000
10/22/2023 18:30:02,407000,-1000.000
10/22/2023 18:30:02,408000,-1000.000
10/22/2023 18:30:02,409000,-1000.000
10/22/2023 18:30:02,410000,-1000.000
10/22/2023 18:30:02,411000,-1000.000
10/22/2023 18:30:02,412000,-1000.000
10/22/2023 18:30:02,413000,-1000.000
10/22/2023 18:30:02,414000,-1000.000
10/22/2023 18:30:02,415000,-1000.000
10/22/2023 18:30:02,416000,-1000.000
10/22/2023 18:30:02,417000,-1000.000
10/22/2023 18:30:02,418000,-1000.000
10/22/2023 18:30:02,419000,-1000.000
10/22/2023 18:30:02,420000,-1000.000
10/22/2023 18:30:02,421000,-1000.000
10/22/2023 18:30:02,422000,-1000.000
10/22/2023 18:30:02,423000,-1000.000
10/22/2023 18:30:02,424000,-1000.000
10/22/2023 18:30:02,425000,-1000.000
10/22/2023 18:30:02,426000,-1000.000
10/22/2023 18:30:02,427000,-1000.000
10/22/2023 18:30:02,428000,-1000.000
10/22/2023 18:30:02,429000,-1000.000
10/22/2023 18:30:02,430000,-1000.000
10/22/2023 18:30:02,431000,-1000.000
10/22/2023 18:30:02,432000,-1000.000
10/22/2023 18:30:02,433000,-1000.000
10/22/2023 18:30:02,434000,-1000.000
10/22/2023 18:30:02,435000,-1000.000
10/22/2023 18:30:02,436000,-1000.000
10/22/2023 18:30:02,437000,-1000.000
10/22/2023 18:30:02,438000,-1000.000
10/22/2023 18:30:02,439000,-1000.000
10/22/2023 18:30:02,440000,-1000.000
10/22/2023 18:30:02,441000,-1000.000
10/22/2023 18:30:02,442000,-1000.000
10/22/2023 18:30:02,443000,-1000.000
10/22/2023 18:30:02,444000,-1000.000
10/22/2023 18:30:02,445000,-1000.000
10/22/2023 18:30:02,446000,-1000.000
10/22/2023 18:30:02,447000,-1000.000
10/22/2023 18:30:02,448000,-1000.000
