#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/10/2023 11:09:02,949000
Sampling Rate,1ms
Data amount,20000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/10/2023 11:09:16,549000,-1000.000
11/10/2023 11:09:16,550000,-1000.000
11/10/2023 11:09:16,551000,-1000.000
11/10/2023 11:09:16,552000,-1000.000
11/10/2023 11:09:16,553000,-1000.000
11/10/2023 11:09:16,554000,-1000.000
11/10/2023 11:09:16,555000,-1000.000
11/10/2023 11:09:16,556000,-1000.000
11/10/2023 11:09:16,557000,-1000.000
11/10/2023 11:09:16,558000,-1000.000
11/10/2023 11:09:16,559000,-1000.000
11/10/2023 11:09:16,560000,-1000.000
11/10/2023 11:09:16,561000,-1000.000
11/10/2023 11:09:16,562000,-1000.000
11/10/2023 11:09:16,563000,-1000.000
11/10/2023 11:09:16,564000,-1000.000
11/10/2023 11:09:16,565000,-1000.000
11/10/2023 11:09:16,566000,-1000.000
11/10/2023 11:09:16,567000,-1000.000
11/10/2023 11:09:16,568000,-1000.000
11/10/2023 11:09:16,569000,-1000.000
11/10/2023 11:09:16,570000,-1000.000
11/10/2023 11:09:16,571000,-1000.000
11/10/2023 11:09:16,572000,-1000.000
11/10/2023 11:09:16,573000,-1000.000
11/10/2023 11:09:16,574000,-1000.000
11/10/2023 11:09:16,575000,-1000.000
11/10/2023 11:09:16,576000,-1000.000
11/10/2023 11:09:16,577000,-1000.000
11/10/2023 11:09:16,578000,-1000.000
11/10/2023 11:09:16,579000,-1000.000
11/10/2023 11:09:16,580000,-1000.000
11/10/2023 11:09:16,581000,-1000.000
11/10/2023 11:09:16,582000,-1000.000
11/10/2023 11:09:16,583000,-1000.000
11/10/2023 11:09:16,584000,-1000.000
11/10/2023 11:09:16,585000,-1000.000
11/10/2023 11:09:16,586000,-1000.000
11/10/2023 11:09:16,587000,-1000.000
11/10/2023 11:09:16,588000,-1000.000
11/10/2023 11:09:16,589000,-1000.000
11/10/2023 11:09:16,590000,-1000.000
11/10/2023 11:09:16,591000,-1000.000
11/10/2023 11:09:16,592000,-1000.000
11/10/2023 11:09:16,593000,-1000.000
