#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/10/2023 11:07:17,278000
Sampling Rate,1ms
Data amount,20000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/10/2023 11:07:38,778000,-1000.000
11/10/2023 11:07:38,779000,-1000.000
11/10/2023 11:07:38,780000,-1000.000
11/10/2023 11:07:38,781000,-1000.000
11/10/2023 11:07:38,782000,-1000.000
11/10/2023 11:07:38,783000,-1000.000
11/10/2023 11:07:38,784000,-1000.000
11/10/2023 11:07:38,785000,-1000.000
11/10/2023 11:07:38,786000,-1000.000
11/10/2023 11:07:38,787000,-1000.000
11/10/2023 11:07:38,788000,-1000.000
11/10/2023 11:07:38,789000,-1000.000
11/10/2023 11:07:38,790000,-1000.000
11/10/2023 11:07:38,791000,-1000.000
11/10/2023 11:07:38,792000,-1000.000
11/10/2023 11:07:38,793000,-1000.000
11/10/2023 11:07:38,794000,-1000.000
11/10/2023 11:07:38,795000,-1000.000
11/10/2023 11:07:38,796000,-1000.000
11/10/2023 11:07:38,797000,-1000.000
11/10/2023 11:07:38,798000,-1000.000
11/10/2023 11:07:38,799000,-1000.000
11/10/2023 11:07:38,800000,-1000.000
11/10/2023 11:07:38,801000,-1000.000
11/10/2023 11:07:38,802000,-1000.000
11/10/2023 11:07:38,803000,-1000.000
11/10/2023 11:07:38,804000,-1000.000
11/10/2023 11:07:38,805000,-1000.000
11/10/2023 11:07:38,806000,-1000.000
11/10/2023 11:07:38,807000,-1000.000
11/10/2023 11:07:38,808000,-1000.000
11/10/2023 11:07:38,809000,-1000.000
11/10/2023 11:07:38,810000,-1000.000
11/10/2023 11:07:38,811000,-1000.000
11/10/2023 11:07:38,812000,-1000.000
11/10/2023 11:07:38,813000,-1000.000
11/10/2023 11:07:38,814000,-1000.000
11/10/2023 11:07:38,815000,-1000.000
11/10/2023 11:07:38,816000,-1000.000
11/10/2023 11:07:38,817000,-1000.000
11/10/2023 11:07:38,818000,-1000.000
11/10/2023 11:07:38,819000,-1000.000
11/10/2023 11:07:38,820000,-1000.000
11/10/2023 11:07:38,821000,-1000.000
11/10/2023 11:07:38,822000,-1000.000
11/10/2023 11:07:38,823000,-1000.000
11/10/2023 11:07:38,824000,-1000.000
11/10/2023 11:07:38,825000,-1000.000
11/10/2023 11:07:38,826000,-1000.000
11/10/2023 11:07:38,827000,-1000.000
11/10/2023 11:07:38,828000,-1000.000
11/10/2023 11:07:38,829000,-1000.000
11/10/2023 11:07:38,830000,-1000.000
11/10/2023 11:07:38,831000,-1000.000
11/10/2023 11:07:38,832000,-1000.000
11/10/2023 11:07:38,833000,-1000.000
11/10/2023 11:07:38,834000,-1000.000
11/10/2023 11:07:38,835000,-1000.000
11/10/2023 11:07:38,836000,-1000.000
11/10/2023 11:07:38,837000,-1000.000
11/10/2023 11:07:38,838000,-1000.000
11/10/2023 11:07:38,839000,-1000.000
11/10/2023 11:07:38,840000,-1000.000
