#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/04/2023 17:57:06,312000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/04/2023 17:57:09,812000,-1000.000
11/04/2023 17:57:09,813000,-1000.000
11/04/2023 17:57:09,814000,-1000.000
11/04/2023 17:57:09,815000,-1000.000
11/04/2023 17:57:09,816000,-1000.000
11/04/2023 17:57:09,817000,-1000.000
11/04/2023 17:57:09,818000,-1000.000
11/04/2023 17:57:09,819000,-1000.000
11/04/2023 17:57:09,820000,-1000.000
11/04/2023 17:57:09,821000,-1000.000
11/04/2023 17:57:09,822000,-1000.000
11/04/2023 17:57:09,823000,-1000.000
11/04/2023 17:57:09,824000,-1000.000
11/04/2023 17:57:09,825000,-1000.000
11/04/2023 17:57:09,826000,-1000.000
11/04/2023 17:57:09,827000,-1000.000
11/04/2023 17:57:09,828000,-1000.000
11/04/2023 17:57:09,829000,-1000.000
11/04/2023 17:57:09,830000,-1000.000
11/04/2023 17:57:09,831000,-1000.000
11/04/2023 17:57:09,832000,-1000.000
11/04/2023 17:57:09,833000,-1000.000
11/04/2023 17:57:09,834000,-1000.000
11/04/2023 17:57:09,835000,-1000.000
11/04/2023 17:57:09,836000,-1000.000
11/04/2023 17:57:09,837000,-1000.000
11/04/2023 17:57:09,838000,-1000.000
11/04/2023 17:57:09,839000,-1000.000
11/04/2023 17:57:09,840000,-1000.000
11/04/2023 17:57:09,841000,-1000.000
11/04/2023 17:57:09,842000,-1000.000
11/04/2023 17:57:09,843000,-1000.000
11/04/2023 17:57:09,844000,-1000.000
11/04/2023 17:57:09,845000,-1000.000
11/04/2023 17:57:09,846000,-1000.000
11/04/2023 17:57:09,847000,-1000.000
11/04/2023 17:57:09,848000,-1000.000
11/04/2023 17:57:09,849000,-1000.000
11/04/2023 17:57:09,850000,-1000.000
11/04/2023 17:57:09,851000,-1000.000
11/04/2023 17:57:09,852000,-1000.000
11/04/2023 17:57:09,853000,-1000.000
11/04/2023 17:57:09,854000,-1000.000
11/04/2023 17:57:09,855000,-1000.000
11/04/2023 17:57:09,856000,-1000.000
11/04/2023 17:57:09,857000,-1000.000
11/04/2023 17:57:09,858000,-1000.000
11/04/2023 17:57:09,859000,-1000.000
11/04/2023 17:57:09,860000,-1000.000
11/04/2023 17:57:09,861000,-1000.000
11/04/2023 17:57:09,862000,-1000.000
11/04/2023 17:57:09,863000,-1000.000
11/04/2023 17:57:09,864000,-1000.000
11/04/2023 17:57:09,865000,-1000.000
11/04/2023 17:57:09,866000,-1000.000
11/04/2023 17:57:09,867000,-1000.000
11/04/2023 17:57:09,868000,-1000.000
11/04/2023 17:57:09,869000,-1000.000
11/04/2023 17:57:09,870000,-1000.000
11/04/2023 17:57:09,871000,-1000.000
11/04/2023 17:57:09,872000,-1000.000
11/04/2023 17:57:09,873000,-1000.000
11/04/2023 17:57:09,874000,-1000.000
11/04/2023 17:57:09,875000,-1000.000
11/04/2023 17:57:09,876000,-1000.000
11/04/2023 17:57:09,877000,-1000.000
11/04/2023 17:57:09,878000,-1000.000
11/04/2023 17:57:09,879000,-1000.000
11/04/2023 17:57:09,880000,-1000.000
11/04/2023 17:57:09,881000,-1000.000
11/04/2023 17:57:09,882000,-1000.000
11/04/2023 17:57:09,883000,-1000.000
11/04/2023 17:57:09,884000,-1000.000
11/04/2023 17:57:09,885000,-1000.000
11/04/2023 17:57:09,886000,-1000.000
11/04/2023 17:57:09,887000,-1000.000
11/04/2023 17:57:09,888000,-1000.000
11/04/2023 17:57:09,889000,-1000.000
11/04/2023 17:57:09,890000,-1000.000
11/04/2023 17:57:09,891000,-1000.000
11/04/2023 17:57:09,892000,-1000.000
11/04/2023 17:57:09,893000,-1000.000
11/04/2023 17:57:09,894000,-1000.000
