#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,09/23/2023 01:19:13,089000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01,(1)EN-CH02,(1)EN-CH03
Waveform Name,,"LK-G5000 series","LK-G5000 series","LK-G5000 series"
Input,,LK-G5000 series,LK-G5000 series,LK-G5000 series
Unit,,"mm","mm/s","mm/s^2"
Function,,,,
Hold,,***,***,***
Edge Trigger,,Not Used,Not Used,Not Used
Trig level,,,,
Hysteresis,,,,
Smoothing,,OFF,OFF,OFF
No. of Points,,,,
Scaling,,OFF,OFF,OFF
Acquired value 1,,,,
Acquired value 2,,,,
Displayed value 1,,,,
Displayed value 2,,,,
Coupling,,,,
SensorType,,,,
Low-pass filter,,,,
High-pass filter,,,,
Sensitive,,,,
Basic unit,,,,
Polarity,,,,
Threshold,,,,
Hysteresis,,,,
Divider,,,,

#EndHeader,Date/Time (µs),(1)EN-CH01,(1)EN-CH02,(1)EN-CH03
09/23/2023 01:19:15,089000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,090000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,091000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,092000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,093000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,094000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,095000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,096000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,097000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,098000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,099000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,100000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,101000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,102000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,103000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,104000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,105000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,106000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,107000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,108000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,109000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,110000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,111000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,112000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,113000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,114000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,115000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,116000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,117000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,118000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,119000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,120000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,121000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,122000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,123000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,124000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,125000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,126000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,127000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,128000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,129000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,130000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,131000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,132000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,133000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,134000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,135000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,136000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,137000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,138000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,139000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,140000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,141000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,142000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,143000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,144000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,145000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,146000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,147000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,148000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,149000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,150000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,151000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,152000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,153000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,154000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,155000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,156000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,157000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,158000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,159000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,160000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,161000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,162000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,163000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,164000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,165000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,166000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,167000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,168000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,169000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,170000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,171000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,172000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,173000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,174000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,175000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,176000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,177000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,178000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,179000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,180000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,181000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,182000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,183000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,184000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,185000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,186000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,187000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,188000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,189000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,190000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,191000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,192000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,193000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,194000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,195000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,196000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,197000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,198000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,199000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,200000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,201000,-1000.000,-100000.0,-1000.000
09/23/2023 01:19:15,202000,-1000.000,-100000.0,-1000.000
