#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/04/2023 10:19:12,242000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/04/2023 10:19:20,442000,-1000.000
12/04/2023 10:19:20,443000,-1000.000
12/04/2023 10:19:20,444000,-1000.000
12/04/2023 10:19:20,445000,-1000.000
12/04/2023 10:19:20,446000,-1000.000
12/04/2023 10:19:20,447000,-1000.000
12/04/2023 10:19:20,448000,-1000.000
12/04/2023 10:19:20,449000,-1000.000
12/04/2023 10:19:20,450000,-1000.000
12/04/2023 10:19:20,451000,-1000.000
12/04/2023 10:19:20,452000,-1000.000
12/04/2023 10:19:20,453000,-1000.000
12/04/2023 10:19:20,454000,-1000.000
12/04/2023 10:19:20,455000,-1000.000
12/04/2023 10:19:20,456000,-1000.000
12/04/2023 10:19:20,457000,-1000.000
12/04/2023 10:19:20,458000,-1000.000
12/04/2023 10:19:20,459000,-1000.000
12/04/2023 10:19:20,460000,-1000.000
12/04/2023 10:19:20,461000,-1000.000
12/04/2023 10:19:20,462000,-1000.000
12/04/2023 10:19:20,463000,-1000.000
12/04/2023 10:19:20,464000,-1000.000
12/04/2023 10:19:20,465000,-1000.000
12/04/2023 10:19:20,466000,-1000.000
12/04/2023 10:19:20,467000,-1000.000
12/04/2023 10:19:20,468000,-1000.000
12/04/2023 10:19:20,469000,-1000.000
12/04/2023 10:19:20,470000,-1000.000
12/04/2023 10:19:20,471000,-1000.000
12/04/2023 10:19:20,472000,-1000.000
12/04/2023 10:19:20,473000,-1000.000
12/04/2023 10:19:20,474000,-1000.000
12/04/2023 10:19:20,475000,-1000.000
12/04/2023 10:19:20,476000,-1000.000
12/04/2023 10:19:20,477000,-1000.000
12/04/2023 10:19:20,478000,-1000.000
12/04/2023 10:19:20,479000,-1000.000
12/04/2023 10:19:20,480000,-1000.000
12/04/2023 10:19:20,481000,-1000.000
12/04/2023 10:19:20,482000,-1000.000
12/04/2023 10:19:20,483000,-1000.000
12/04/2023 10:19:20,484000,-1000.000
12/04/2023 10:19:20,485000,-1000.000
12/04/2023 10:19:20,486000,-1000.000
12/04/2023 10:19:20,487000,-1000.000
12/04/2023 10:19:20,488000,-1000.000
12/04/2023 10:19:20,489000,-1000.000
12/04/2023 10:19:20,490000,-1000.000
12/04/2023 10:19:20,491000,-1000.000
12/04/2023 10:19:20,492000,-1000.000
12/04/2023 10:19:20,493000,-1000.000
12/04/2023 10:19:20,494000,-1000.000
12/04/2023 10:19:20,495000,-1000.000
12/04/2023 10:19:20,496000,-1000.000
12/04/2023 10:19:20,497000,-1000.000
12/04/2023 10:19:20,498000,-1000.000
12/04/2023 10:19:20,499000,-1000.000
12/04/2023 10:19:20,500000,-1000.000
12/04/2023 10:19:20,501000,-1000.000
12/04/2023 10:19:20,502000,-1000.000
12/04/2023 10:19:20,503000,-1000.000
12/04/2023 10:19:20,504000,-1000.000
12/04/2023 10:19:20,505000,-1000.000
12/04/2023 10:19:20,506000,-1000.000
12/04/2023 10:19:20,507000,-1000.000
12/04/2023 10:19:20,508000,-1000.000
12/04/2023 10:19:20,509000,-1000.000
12/04/2023 10:19:20,510000,-1000.000
12/04/2023 10:19:20,511000,-1000.000
12/04/2023 10:19:20,512000,-1000.000
12/04/2023 10:19:20,513000,-1000.000
12/04/2023 10:19:20,514000,-1000.000
12/04/2023 10:19:20,515000,-1000.000
12/04/2023 10:19:20,516000,-1000.000
12/04/2023 10:19:20,517000,-1000.000
12/04/2023 10:19:20,518000,-1000.000
12/04/2023 10:19:20,519000,-1000.000
12/04/2023 10:19:20,520000,-1000.000
12/04/2023 10:19:20,521000,-1000.000
12/04/2023 10:19:20,522000,-1000.000
12/04/2023 10:19:20,523000,-1000.000
12/04/2023 10:19:20,524000,-1000.000
12/04/2023 10:19:20,525000,-1000.000
12/04/2023 10:19:20,526000,-1000.000
12/04/2023 10:19:20,527000,-1000.000
12/04/2023 10:19:20,528000,-1000.000
12/04/2023 10:19:20,529000,-1000.000
12/04/2023 10:19:20,530000,-1000.000
12/04/2023 10:19:20,531000,-1000.000
12/04/2023 10:19:20,532000,-1000.000
12/04/2023 10:19:20,533000,-1000.000
12/04/2023 10:19:20,534000,-1000.000
12/04/2023 10:19:20,535000,-1000.000
12/04/2023 10:19:20,536000,-1000.000
12/04/2023 10:19:20,537000,-1000.000
12/04/2023 10:19:20,538000,-1000.000
12/04/2023 10:19:20,539000,-1000.000
12/04/2023 10:19:20,540000,-1000.000
12/04/2023 10:19:20,541000,-1000.000
12/04/2023 10:19:20,542000,-1000.000
12/04/2023 10:19:20,543000,-1000.000
12/04/2023 10:19:20,544000,-1000.000
12/04/2023 10:19:20,545000,-1000.000
12/04/2023 10:19:20,546000,-1000.000
12/04/2023 10:19:20,547000,-1000.000
12/04/2023 10:19:20,548000,-1000.000
12/04/2023 10:19:20,549000,-1000.000
12/04/2023 10:19:20,550000,-1000.000
12/04/2023 10:19:20,551000,-1000.000
12/04/2023 10:19:20,552000,-1000.000
12/04/2023 10:19:20,553000,-1000.000
12/04/2023 10:19:20,554000,-1000.000
12/04/2023 10:19:20,555000,-1000.000
12/04/2023 10:19:20,556000,-1000.000
12/04/2023 10:19:20,557000,-1000.000
12/04/2023 10:19:20,558000,-1000.000
12/04/2023 10:19:20,559000,-1000.000
12/04/2023 10:19:20,560000,-1000.000
12/04/2023 10:19:20,561000,-1000.000
12/04/2023 10:19:20,562000,-1000.000
12/04/2023 10:19:20,563000,-1000.000
12/04/2023 10:19:20,564000,-1000.000
12/04/2023 10:19:20,565000,-1000.000
12/04/2023 10:19:20,566000,-1000.000
12/04/2023 10:19:20,567000,-1000.000
12/04/2023 10:19:20,568000,-1000.000
12/04/2023 10:19:20,569000,-1000.000
12/04/2023 10:19:20,570000,-1000.000
12/04/2023 10:19:20,571000,-1000.000
12/04/2023 10:19:20,572000,-1000.000
12/04/2023 10:19:20,573000,-1000.000
12/04/2023 10:19:20,574000,-1000.000
12/04/2023 10:19:20,575000,-1000.000
12/04/2023 10:19:20,576000,-1000.000
12/04/2023 10:19:20,577000,-1000.000
12/04/2023 10:19:20,578000,-1000.000
12/04/2023 10:19:20,579000,-1000.000
12/04/2023 10:19:20,580000,-1000.000
12/04/2023 10:19:20,581000,-1000.000
12/04/2023 10:19:20,582000,-1000.000
12/04/2023 10:19:20,583000,-1000.000
12/04/2023 10:19:20,584000,-1000.000
12/04/2023 10:19:20,585000,-1000.000
12/04/2023 10:19:20,586000,-1000.000
12/04/2023 10:19:20,587000,-1000.000
12/04/2023 10:19:20,588000,-1000.000
12/04/2023 10:19:20,589000,-1000.000
12/04/2023 10:19:20,590000,-1000.000
12/04/2023 10:19:20,591000,-1000.000
12/04/2023 10:19:20,592000,-1000.000
12/04/2023 10:19:20,593000,-1000.000
12/04/2023 10:19:20,594000,-1000.000
12/04/2023 10:19:20,595000,-1000.000
12/04/2023 10:19:20,596000,-1000.000
12/04/2023 10:19:20,597000,-1000.000
12/04/2023 10:19:20,598000,-1000.000
12/04/2023 10:19:20,599000,-1000.000
12/04/2023 10:19:20,600000,-1000.000
12/04/2023 10:19:20,601000,-1000.000
12/04/2023 10:19:20,602000,-1000.000
12/04/2023 10:19:20,603000,-1000.000
12/04/2023 10:19:20,604000,-1000.000
12/04/2023 10:19:20,605000,-1000.000
12/04/2023 10:19:20,606000,-1000.000
12/04/2023 10:19:20,607000,-1000.000
12/04/2023 10:19:20,608000,-1000.000
12/04/2023 10:19:20,609000,-1000.000
12/04/2023 10:19:20,610000,-1000.000
12/04/2023 10:19:20,611000,-1000.000
12/04/2023 10:19:20,612000,-1000.000
12/04/2023 10:19:20,613000,-1000.000
12/04/2023 10:19:20,614000,-1000.000
12/04/2023 10:19:20,615000,-1000.000
12/04/2023 10:19:20,616000,-1000.000
12/04/2023 10:19:20,617000,-1000.000
12/04/2023 10:19:20,618000,-1000.000
12/04/2023 10:19:20,619000,-1000.000
12/04/2023 10:19:20,620000,-1000.000
12/04/2023 10:19:20,621000,-1000.000
12/04/2023 10:19:20,622000,-1000.000
12/04/2023 10:19:20,623000,-1000.000
12/04/2023 10:19:20,624000,-1000.000
12/04/2023 10:19:20,625000,-1000.000
12/04/2023 10:19:20,626000,-1000.000
12/04/2023 10:19:20,627000,-1000.000
12/04/2023 10:19:20,628000,-1000.000
12/04/2023 10:19:20,629000,-1000.000
12/04/2023 10:19:20,630000,-1000.000
12/04/2023 10:19:20,631000,-1000.000
12/04/2023 10:19:20,632000,-1000.000
12/04/2023 10:19:20,633000,-1000.000
12/04/2023 10:19:20,634000,-1000.000
12/04/2023 10:19:20,635000,-1000.000
12/04/2023 10:19:20,636000,-1000.000
12/04/2023 10:19:20,637000,-1000.000
12/04/2023 10:19:20,638000,-1000.000
12/04/2023 10:19:20,639000,-1000.000
12/04/2023 10:19:20,640000,-1000.000
12/04/2023 10:19:20,641000,-1000.000
12/04/2023 10:19:20,642000,-1000.000
12/04/2023 10:19:20,643000,-1000.000
12/04/2023 10:19:20,644000,-1000.000
12/04/2023 10:19:20,645000,-1000.000
12/04/2023 10:19:20,646000,-1000.000
12/04/2023 10:19:20,647000,-1000.000
12/04/2023 10:19:20,648000,-1000.000
12/04/2023 10:19:20,649000,-1000.000
12/04/2023 10:19:20,650000,-1000.000
12/04/2023 10:19:20,651000,-1000.000
12/04/2023 10:19:20,652000,-1000.000
12/04/2023 10:19:20,653000,-1000.000
12/04/2023 10:19:20,654000,-1000.000
12/04/2023 10:19:20,655000,-1000.000
12/04/2023 10:19:20,656000,-1000.000
12/04/2023 10:19:20,657000,-1000.000
12/04/2023 10:19:20,658000,-1000.000
12/04/2023 10:19:20,659000,-1000.000
12/04/2023 10:19:20,660000,-1000.000
12/04/2023 10:19:20,661000,-1000.000
12/04/2023 10:19:20,662000,-1000.000
12/04/2023 10:19:20,663000,-1000.000
12/04/2023 10:19:20,664000,-1000.000
12/04/2023 10:19:20,665000,-1000.000
12/04/2023 10:19:20,666000,-1000.000
12/04/2023 10:19:20,667000,-1000.000
12/04/2023 10:19:20,668000,-1000.000
12/04/2023 10:19:20,669000,-1000.000
12/04/2023 10:19:20,670000,-1000.000
12/04/2023 10:19:20,671000,-1000.000
12/04/2023 10:19:20,672000,-1000.000
12/04/2023 10:19:20,673000,-1000.000
12/04/2023 10:19:20,674000,-1000.000
12/04/2023 10:19:20,675000,-1000.000
12/04/2023 10:19:20,676000,-1000.000
12/04/2023 10:19:20,677000,-1000.000
12/04/2023 10:19:20,678000,-1000.000
12/04/2023 10:19:20,679000,-1000.000
12/04/2023 10:19:20,680000,-1000.000
12/04/2023 10:19:20,681000,-1000.000
12/04/2023 10:19:20,682000,-1000.000
12/04/2023 10:19:20,683000,-1000.000
12/04/2023 10:19:20,684000,-1000.000
12/04/2023 10:19:20,685000,-1000.000
12/04/2023 10:19:20,686000,-1000.000
12/04/2023 10:19:20,687000,-1000.000
12/04/2023 10:19:20,688000,-1000.000
12/04/2023 10:19:20,689000,-1000.000
12/04/2023 10:19:20,690000,-1000.000
12/04/2023 10:19:20,691000,-1000.000
12/04/2023 10:19:20,692000,-1000.000
12/04/2023 10:19:20,693000,-1000.000
12/04/2023 10:19:20,694000,-1000.000
12/04/2023 10:19:20,695000,-1000.000
12/04/2023 10:19:20,696000,-1000.000
12/04/2023 10:19:20,697000,-1000.000
12/04/2023 10:19:20,698000,-1000.000
12/04/2023 10:19:20,699000,-1000.000
12/04/2023 10:19:20,700000,-1000.000
12/04/2023 10:19:20,701000,-1000.000
12/04/2023 10:19:20,702000,-1000.000
12/04/2023 10:19:20,703000,-1000.000
12/04/2023 10:19:20,704000,-1000.000
12/04/2023 10:19:20,705000,-1000.000
12/04/2023 10:19:20,706000,-1000.000
12/04/2023 10:19:20,707000,-1000.000
12/04/2023 10:19:20,708000,-1000.000
12/04/2023 10:19:20,709000,-1000.000
12/04/2023 10:19:20,710000,-1000.000
12/04/2023 10:19:20,711000,-1000.000
12/04/2023 10:19:20,712000,-1000.000
12/04/2023 10:19:20,713000,-1000.000
12/04/2023 10:19:20,714000,-1000.000
12/04/2023 10:19:20,715000,-1000.000
12/04/2023 10:19:20,716000,-1000.000
12/04/2023 10:19:20,717000,-1000.000
12/04/2023 10:19:20,718000,-1000.000
12/04/2023 10:19:20,719000,-1000.000
12/04/2023 10:19:20,720000,-1000.000
12/04/2023 10:19:20,721000,-1000.000
12/04/2023 10:19:20,722000,-1000.000
12/04/2023 10:19:20,723000,-1000.000
12/04/2023 10:19:20,724000,-1000.000
12/04/2023 10:19:20,725000,-1000.000
12/04/2023 10:19:20,726000,-1000.000
12/04/2023 10:19:20,727000,-1000.000
12/04/2023 10:19:20,728000,-1000.000
12/04/2023 10:19:20,729000,-1000.000
