#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/26/2023 19:36:53,063000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/26/2023 19:37:12,963000,-1000.000
11/26/2023 19:37:12,964000,-1000.000
11/26/2023 19:37:12,965000,-1000.000
11/26/2023 19:37:12,966000,-1000.000
11/26/2023 19:37:12,967000,-1000.000
11/26/2023 19:37:12,968000,-1000.000
11/26/2023 19:37:12,969000,-1000.000
11/26/2023 19:37:12,970000,-1000.000
11/26/2023 19:37:12,971000,-1000.000
11/26/2023 19:37:12,972000,-1000.000
11/26/2023 19:37:12,973000,-1000.000
11/26/2023 19:37:12,974000,-1000.000
11/26/2023 19:37:12,975000,-1000.000
11/26/2023 19:37:12,976000,-1000.000
11/26/2023 19:37:12,977000,-1000.000
11/26/2023 19:37:12,978000,-1000.000
11/26/2023 19:37:12,979000,-1000.000
11/26/2023 19:37:12,980000,-1000.000
11/26/2023 19:37:12,981000,-1000.000
11/26/2023 19:37:12,982000,-1000.000
11/26/2023 19:37:12,983000,-1000.000
11/26/2023 19:37:12,984000,-1000.000
11/26/2023 19:37:12,985000,-1000.000
11/26/2023 19:37:12,986000,-1000.000
11/26/2023 19:37:12,987000,-1000.000
11/26/2023 19:37:12,988000,-1000.000
11/26/2023 19:37:12,989000,-1000.000
11/26/2023 19:37:12,990000,-1000.000
11/26/2023 19:37:12,991000,-1000.000
11/26/2023 19:37:12,992000,-1000.000
11/26/2023 19:37:12,993000,-1000.000
11/26/2023 19:37:12,994000,-1000.000
11/26/2023 19:37:12,995000,-1000.000
11/26/2023 19:37:12,996000,-1000.000
11/26/2023 19:37:12,997000,-1000.000
11/26/2023 19:37:12,998000,-1000.000
11/26/2023 19:37:12,999000,-1000.000
11/26/2023 19:37:13,000000,-1000.000
11/26/2023 19:37:13,001000,-1000.000
11/26/2023 19:37:13,002000,-1000.000
11/26/2023 19:37:13,003000,-1000.000
11/26/2023 19:37:13,004000,-1000.000
11/26/2023 19:37:13,005000,-1000.000
11/26/2023 19:37:13,006000,-1000.000
11/26/2023 19:37:13,007000,-1000.000
11/26/2023 19:37:13,008000,-1000.000
11/26/2023 19:37:13,009000,-1000.000
11/26/2023 19:37:13,010000,-1000.000
11/26/2023 19:37:13,011000,-1000.000
11/26/2023 19:37:13,012000,-1000.000
11/26/2023 19:37:13,013000,-1000.000
11/26/2023 19:37:13,014000,-1000.000
11/26/2023 19:37:13,015000,-1000.000
11/26/2023 19:37:13,016000,-1000.000
11/26/2023 19:37:13,017000,-1000.000
11/26/2023 19:37:13,018000,-1000.000
11/26/2023 19:37:13,019000,-1000.000
11/26/2023 19:37:13,020000,-1000.000
11/26/2023 19:37:13,021000,-1000.000
11/26/2023 19:37:13,022000,-1000.000
11/26/2023 19:37:13,023000,-1000.000
11/26/2023 19:37:13,024000,-1000.000
11/26/2023 19:37:13,025000,-1000.000
11/26/2023 19:37:13,026000,-1000.000
