#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/19/2023 12:10:23,539000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/19/2023 12:10:41,639000,-1000.000
11/19/2023 12:10:41,640000,-1000.000
11/19/2023 12:10:41,641000,-1000.000
11/19/2023 12:10:41,642000,-1000.000
11/19/2023 12:10:41,643000,-1000.000
11/19/2023 12:10:41,644000,-1000.000
11/19/2023 12:10:41,645000,-1000.000
11/19/2023 12:10:41,646000,-1000.000
11/19/2023 12:10:41,647000,-1000.000
11/19/2023 12:10:41,648000,-1000.000
11/19/2023 12:10:41,649000,-1000.000
11/19/2023 12:10:41,650000,-1000.000
11/19/2023 12:10:41,651000,-1000.000
11/19/2023 12:10:41,652000,-1000.000
11/19/2023 12:10:41,653000,-1000.000
11/19/2023 12:10:41,654000,-1000.000
11/19/2023 12:10:41,655000,-1000.000
11/19/2023 12:10:41,656000,-1000.000
11/19/2023 12:10:41,657000,-1000.000
11/19/2023 12:10:41,658000,-1000.000
11/19/2023 12:10:41,659000,-1000.000
11/19/2023 12:10:41,660000,-1000.000
11/19/2023 12:10:41,661000,-1000.000
11/19/2023 12:10:41,662000,-1000.000
11/19/2023 12:10:41,663000,-1000.000
11/19/2023 12:10:41,664000,-1000.000
11/19/2023 12:10:41,665000,-1000.000
11/19/2023 12:10:41,666000,-1000.000
11/19/2023 12:10:41,667000,-1000.000
11/19/2023 12:10:41,668000,-1000.000
11/19/2023 12:10:41,669000,-1000.000
11/19/2023 12:10:41,670000,-1000.000
11/19/2023 12:10:41,671000,-1000.000
11/19/2023 12:10:41,672000,-1000.000
11/19/2023 12:10:41,673000,-1000.000
11/19/2023 12:10:41,674000,-1000.000
11/19/2023 12:10:41,675000,-1000.000
11/19/2023 12:10:41,676000,-1000.000
11/19/2023 12:10:41,677000,-1000.000
11/19/2023 12:10:41,678000,-1000.000
11/19/2023 12:10:41,679000,-1000.000
11/19/2023 12:10:41,680000,-1000.000
11/19/2023 12:10:41,681000,-1000.000
11/19/2023 12:10:41,682000,-1000.000
11/19/2023 12:10:41,683000,-1000.000
11/19/2023 12:10:41,684000,-1000.000
11/19/2023 12:10:41,685000,-1000.000
11/19/2023 12:10:41,686000,-1000.000
11/19/2023 12:10:41,687000,-1000.000
11/19/2023 12:10:41,688000,-1000.000
11/19/2023 12:10:41,689000,-1000.000
11/19/2023 12:10:41,690000,-1000.000
11/19/2023 12:10:41,691000,-1000.000
11/19/2023 12:10:41,692000,-1000.000
11/19/2023 12:10:41,693000,-1000.000
11/19/2023 12:10:41,694000,-1000.000
11/19/2023 12:10:41,695000,-1000.000
11/19/2023 12:10:41,696000,-1000.000
11/19/2023 12:10:41,697000,-1000.000
11/19/2023 12:10:41,698000,-1000.000
11/19/2023 12:10:41,699000,-1000.000
11/19/2023 12:10:41,700000,-1000.000
11/19/2023 12:10:41,701000,-1000.000
11/19/2023 12:10:41,702000,-1000.000
11/19/2023 12:10:41,703000,-1000.000
11/19/2023 12:10:41,704000,-1000.000
11/19/2023 12:10:41,705000,-1000.000
11/19/2023 12:10:41,706000,-1000.000
11/19/2023 12:10:41,707000,-1000.000
11/19/2023 12:10:41,708000,-1000.000
11/19/2023 12:10:41,709000,-1000.000
11/19/2023 12:10:41,710000,-1000.000
11/19/2023 12:10:41,711000,-1000.000
11/19/2023 12:10:41,712000,-1000.000
11/19/2023 12:10:41,713000,-1000.000
11/19/2023 12:10:41,714000,-1000.000
11/19/2023 12:10:41,715000,-1000.000
11/19/2023 12:10:41,716000,-1000.000
11/19/2023 12:10:41,717000,-1000.000
11/19/2023 12:10:41,718000,-1000.000
11/19/2023 12:10:41,719000,-1000.000
11/19/2023 12:10:41,720000,-1000.000
11/19/2023 12:10:41,721000,-1000.000
11/19/2023 12:10:41,722000,-1000.000
11/19/2023 12:10:41,723000,-1000.000
11/19/2023 12:10:41,724000,-1000.000
11/19/2023 12:10:41,725000,-1000.000
11/19/2023 12:10:41,726000,-1000.000
11/19/2023 12:10:41,727000,-1000.000
11/19/2023 12:10:41,728000,-1000.000
11/19/2023 12:10:41,729000,-1000.000
11/19/2023 12:10:41,730000,-1000.000
11/19/2023 12:10:41,731000,-1000.000
11/19/2023 12:10:41,732000,-1000.000
11/19/2023 12:10:41,733000,-1000.000
11/19/2023 12:10:41,734000,-1000.000
11/19/2023 12:10:41,735000,-1000.000
11/19/2023 12:10:41,736000,-1000.000
11/19/2023 12:10:41,737000,-1000.000
