#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/19/2023 12:03:52,881000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/19/2023 12:04:04,081000,-1000.000
11/19/2023 12:04:04,082000,-1000.000
11/19/2023 12:04:04,083000,-1000.000
11/19/2023 12:04:04,084000,-1000.000
11/19/2023 12:04:04,085000,-1000.000
11/19/2023 12:04:04,086000,-1000.000
11/19/2023 12:04:04,087000,-1000.000
11/19/2023 12:04:04,088000,-1000.000
11/19/2023 12:04:04,089000,-1000.000
11/19/2023 12:04:04,090000,-1000.000
11/19/2023 12:04:04,091000,-1000.000
11/19/2023 12:04:04,092000,-1000.000
11/19/2023 12:04:04,093000,-1000.000
11/19/2023 12:04:04,094000,-1000.000
11/19/2023 12:04:04,095000,-1000.000
11/19/2023 12:04:04,096000,-1000.000
11/19/2023 12:04:04,097000,-1000.000
11/19/2023 12:04:04,098000,-1000.000
11/19/2023 12:04:04,099000,-1000.000
11/19/2023 12:04:04,100000,-1000.000
11/19/2023 12:04:04,101000,-1000.000
11/19/2023 12:04:04,102000,-1000.000
11/19/2023 12:04:04,103000,-1000.000
11/19/2023 12:04:04,104000,-1000.000
11/19/2023 12:04:04,105000,-1000.000
11/19/2023 12:04:04,106000,-1000.000
11/19/2023 12:04:04,107000,-1000.000
11/19/2023 12:04:04,108000,-1000.000
11/19/2023 12:04:04,109000,-1000.000
11/19/2023 12:04:04,110000,-1000.000
11/19/2023 12:04:04,111000,-1000.000
11/19/2023 12:04:04,112000,-1000.000
11/19/2023 12:04:04,113000,-1000.000
11/19/2023 12:04:04,114000,-1000.000
11/19/2023 12:04:04,115000,-1000.000
11/19/2023 12:04:04,116000,-1000.000
11/19/2023 12:04:04,117000,-1000.000
11/19/2023 12:04:04,118000,-1000.000
11/19/2023 12:04:04,119000,-1000.000
11/19/2023 12:04:04,120000,-1000.000
11/19/2023 12:04:04,121000,-1000.000
11/19/2023 12:04:04,122000,-1000.000
11/19/2023 12:04:04,123000,-1000.000
11/19/2023 12:04:04,124000,-1000.000
11/19/2023 12:04:04,125000,-1000.000
11/19/2023 12:04:04,126000,-1000.000
11/19/2023 12:04:04,127000,-1000.000
11/19/2023 12:04:04,128000,-1000.000
11/19/2023 12:04:04,129000,-1000.000
11/19/2023 12:04:04,130000,-1000.000
11/19/2023 12:04:04,131000,-1000.000
11/19/2023 12:04:04,132000,-1000.000
11/19/2023 12:04:04,133000,-1000.000
11/19/2023 12:04:04,134000,-1000.000
11/19/2023 12:04:04,135000,-1000.000
11/19/2023 12:04:04,136000,-1000.000
11/19/2023 12:04:04,137000,-1000.000
11/19/2023 12:04:04,138000,-1000.000
11/19/2023 12:04:04,139000,-1000.000
11/19/2023 12:04:04,140000,-1000.000
