#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/19/2023 17:03:08,525000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/19/2023 17:03:27,825000,-1000.000
11/19/2023 17:03:27,826000,-1000.000
11/19/2023 17:03:27,827000,-1000.000
11/19/2023 17:03:27,828000,-1000.000
11/19/2023 17:03:27,829000,-1000.000
11/19/2023 17:03:27,830000,-1000.000
11/19/2023 17:03:27,831000,-1000.000
11/19/2023 17:03:27,832000,-1000.000
11/19/2023 17:03:27,833000,-1000.000
11/19/2023 17:03:27,834000,-1000.000
11/19/2023 17:03:27,835000,-1000.000
11/19/2023 17:03:27,836000,-1000.000
11/19/2023 17:03:27,837000,-1000.000
11/19/2023 17:03:27,838000,-1000.000
11/19/2023 17:03:27,839000,-1000.000
11/19/2023 17:03:27,840000,-1000.000
11/19/2023 17:03:27,841000,-1000.000
11/19/2023 17:03:27,842000,-1000.000
11/19/2023 17:03:27,843000,-1000.000
11/19/2023 17:03:27,844000,-1000.000
11/19/2023 17:03:27,845000,-1000.000
11/19/2023 17:03:27,846000,-1000.000
11/19/2023 17:03:27,847000,-1000.000
11/19/2023 17:03:27,848000,-1000.000
11/19/2023 17:03:27,849000,-1000.000
11/19/2023 17:03:27,850000,-1000.000
11/19/2023 17:03:27,851000,-1000.000
11/19/2023 17:03:27,852000,-1000.000
11/19/2023 17:03:27,853000,-1000.000
11/19/2023 17:03:27,854000,-1000.000
11/19/2023 17:03:27,855000,-1000.000
11/19/2023 17:03:27,856000,-1000.000
11/19/2023 17:03:27,857000,-1000.000
11/19/2023 17:03:27,858000,-1000.000
11/19/2023 17:03:27,859000,-1000.000
11/19/2023 17:03:27,860000,-1000.000
11/19/2023 17:03:27,861000,-1000.000
11/19/2023 17:03:27,862000,-1000.000
11/19/2023 17:03:27,863000,-1000.000
11/19/2023 17:03:27,864000,-1000.000
11/19/2023 17:03:27,865000,-1000.000
11/19/2023 17:03:27,866000,-1000.000
11/19/2023 17:03:27,867000,-1000.000
11/19/2023 17:03:27,868000,-1000.000
11/19/2023 17:03:27,869000,-1000.000
11/19/2023 17:03:27,870000,-1000.000
