#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/06/2023 15:07:02,355000
Sampling Rate,1ms
Data amount,7036
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,***
External trigger input,***
Edge Trigger,***
Edge Trigger target unit,***
Pre/Post Trigger,***
No. of Points,***

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,***
Trig level,,***
Hysteresis,,***
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/06/2023 15:07:02,355000,-0.175
12/06/2023 15:07:02,356000,-0.175
12/06/2023 15:07:02,357000,-0.175
12/06/2023 15:07:02,358000,-0.175
12/06/2023 15:07:02,359000,-0.175
12/06/2023 15:07:02,360000,-0.175
12/06/2023 15:07:02,361000,-0.175
12/06/2023 15:07:02,362000,-0.175
12/06/2023 15:07:02,363000,-0.175
12/06/2023 15:07:02,364000,-0.175
12/06/2023 15:07:02,365000,-0.175
12/06/2023 15:07:02,366000,-0.175
12/06/2023 15:07:02,367000,-0.175
12/06/2023 15:07:02,368000,-0.175
12/06/2023 15:07:02,369000,-0.175
12/06/2023 15:07:02,370000,-0.175
12/06/2023 15:07:02,371000,-0.175
12/06/2023 15:07:02,372000,-0.175
12/06/2023 15:07:02,373000,-0.175
12/06/2023 15:07:02,374000,-0.175
12/06/2023 15:07:02,375000,-0.175
12/06/2023 15:07:02,376000,-0.175
12/06/2023 15:07:02,377000,-0.175
12/06/2023 15:07:02,378000,-0.175
12/06/2023 15:07:02,379000,-0.175
12/06/2023 15:07:02,380000,-0.175
12/06/2023 15:07:02,381000,-0.175
12/06/2023 15:07:02,382000,-0.175
12/06/2023 15:07:02,383000,-0.175
12/06/2023 15:07:02,384000,-0.175
12/06/2023 15:07:02,385000,-0.175
12/06/2023 15:07:02,386000,-0.175
12/06/2023 15:07:02,387000,-0.175
12/06/2023 15:07:02,388000,-0.175
12/06/2023 15:07:02,389000,-0.175
12/06/2023 15:07:02,390000,-0.175
12/06/2023 15:07:02,391000,-0.175
12/06/2023 15:07:02,392000,-0.175
12/06/2023 15:07:02,393000,-0.175
12/06/2023 15:07:02,394000,-0.175
12/06/2023 15:07:02,395000,-0.175
12/06/2023 15:07:02,396000,-0.175
12/06/2023 15:07:02,397000,-0.175
12/06/2023 15:07:02,398000,-0.175
12/06/2023 15:07:02,399000,-0.175
12/06/2023 15:07:02,400000,-0.175
12/06/2023 15:07:02,401000,-0.175
12/06/2023 15:07:02,402000,-0.175
12/06/2023 15:07:02,403000,-0.175
12/06/2023 15:07:02,404000,-0.175
12/06/2023 15:07:02,405000,-0.175
12/06/2023 15:07:02,406000,-0.175
12/06/2023 15:07:02,407000,-0.175
12/06/2023 15:07:02,408000,-0.175
12/06/2023 15:07:02,409000,-0.175
12/06/2023 15:07:02,410000,-0.175
12/06/2023 15:07:02,411000,-0.175
12/06/2023 15:07:02,412000,-0.175
12/06/2023 15:07:02,413000,-0.175
12/06/2023 15:07:02,414000,-0.175
12/06/2023 15:07:02,415000,-0.175
12/06/2023 15:07:02,416000,-0.175
12/06/2023 15:07:02,417000,-0.175
12/06/2023 15:07:02,418000,-0.175
12/06/2023 15:07:02,419000,-0.175
12/06/2023 15:07:02,420000,-0.175
12/06/2023 15:07:02,421000,-0.175
12/06/2023 15:07:02,422000,-0.175
12/06/2023 15:07:02,423000,-0.175
12/06/2023 15:07:02,424000,-0.175
12/06/2023 15:07:02,425000,-0.175
12/06/2023 15:07:02,426000,-0.175
12/06/2023 15:07:02,427000,-0.175
12/06/2023 15:07:02,428000,-0.175
12/06/2023 15:07:02,429000,-0.175
12/06/2023 15:07:02,430000,-0.175
12/06/2023 15:07:02,431000,-0.175
12/06/2023 15:07:02,432000,-0.175
12/06/2023 15:07:02,433000,-0.175
12/06/2023 15:07:02,434000,-0.175
12/06/2023 15:07:02,435000,-0.175
12/06/2023 15:07:02,436000,-0.175
12/06/2023 15:07:02,437000,-0.175
12/06/2023 15:07:02,438000,-0.175
12/06/2023 15:07:02,439000,-0.175
12/06/2023 15:07:02,440000,-0.175
12/06/2023 15:07:02,441000,-0.175
12/06/2023 15:07:02,442000,-0.175
12/06/2023 15:07:02,443000,-0.175
12/06/2023 15:07:02,444000,-0.175
12/06/2023 15:07:02,445000,-0.175
12/06/2023 15:07:02,446000,-0.175
12/06/2023 15:07:02,447000,-0.175
12/06/2023 15:07:02,448000,-0.175
12/06/2023 15:07:02,449000,-0.175
12/06/2023 15:07:02,450000,-0.175
12/06/2023 15:07:02,451000,-0.175
12/06/2023 15:07:02,452000,-0.175
12/06/2023 15:07:02,453000,-0.175
12/06/2023 15:07:02,454000,-0.175
12/06/2023 15:07:02,455000,-0.175
12/06/2023 15:07:02,456000,-0.175
12/06/2023 15:07:02,457000,-0.175
12/06/2023 15:07:02,458000,-0.175
12/06/2023 15:07:02,459000,-0.175
12/06/2023 15:07:02,460000,-0.175
