#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/06/2023 14:17:15,597000
Sampling Rate,1ms
Data amount,7967
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,***
External trigger input,***
Edge Trigger,***
Edge Trigger target unit,***
Pre/Post Trigger,***
No. of Points,***

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,***
Trig level,,***
Hysteresis,,***
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/06/2023 14:17:15,597000,0.339
12/06/2023 14:17:15,598000,0.339
12/06/2023 14:17:15,599000,0.339
12/06/2023 14:17:15,600000,0.339
12/06/2023 14:17:15,601000,0.339
12/06/2023 14:17:15,602000,0.339
12/06/2023 14:17:15,603000,0.339
12/06/2023 14:17:15,604000,0.339
12/06/2023 14:17:15,605000,0.339
12/06/2023 14:17:15,606000,0.339
12/06/2023 14:17:15,607000,0.339
12/06/2023 14:17:15,608000,0.339
12/06/2023 14:17:15,609000,0.339
12/06/2023 14:17:15,610000,0.339
12/06/2023 14:17:15,611000,0.339
12/06/2023 14:17:15,612000,0.339
12/06/2023 14:17:15,613000,0.339
12/06/2023 14:17:15,614000,0.339
12/06/2023 14:17:15,615000,0.339
12/06/2023 14:17:15,616000,0.339
12/06/2023 14:17:15,617000,0.339
12/06/2023 14:17:15,618000,0.339
12/06/2023 14:17:15,619000,0.339
12/06/2023 14:17:15,620000,0.339
12/06/2023 14:17:15,621000,0.339
12/06/2023 14:17:15,622000,0.339
12/06/2023 14:17:15,623000,0.339
12/06/2023 14:17:15,624000,0.339
12/06/2023 14:17:15,625000,0.339
12/06/2023 14:17:15,626000,0.339
12/06/2023 14:17:15,627000,0.339
12/06/2023 14:17:15,628000,0.339
12/06/2023 14:17:15,629000,0.339
12/06/2023 14:17:15,630000,0.339
12/06/2023 14:17:15,631000,0.339
12/06/2023 14:17:15,632000,0.339
12/06/2023 14:17:15,633000,0.339
12/06/2023 14:17:15,634000,0.339
12/06/2023 14:17:15,635000,0.339
12/06/2023 14:17:15,636000,0.339
12/06/2023 14:17:15,637000,0.339
12/06/2023 14:17:15,638000,0.339
12/06/2023 14:17:15,639000,0.339
12/06/2023 14:17:15,640000,0.339
12/06/2023 14:17:15,641000,0.339
12/06/2023 14:17:15,642000,0.339
12/06/2023 14:17:15,643000,0.339
12/06/2023 14:17:15,644000,0.339
12/06/2023 14:17:15,645000,0.339
12/06/2023 14:17:15,646000,0.339
12/06/2023 14:17:15,647000,0.339
12/06/2023 14:17:15,648000,0.339
12/06/2023 14:17:15,649000,0.339
12/06/2023 14:17:15,650000,0.339
12/06/2023 14:17:15,651000,0.339
12/06/2023 14:17:15,652000,0.339
12/06/2023 14:17:15,653000,0.339
12/06/2023 14:17:15,654000,0.339
12/06/2023 14:17:15,655000,0.339
12/06/2023 14:17:15,656000,0.339
12/06/2023 14:17:15,657000,0.339
12/06/2023 14:17:15,658000,0.339
12/06/2023 14:17:15,659000,0.339
12/06/2023 14:17:15,660000,0.339
12/06/2023 14:17:15,661000,0.339
12/06/2023 14:17:15,662000,0.339
12/06/2023 14:17:15,663000,0.339
12/06/2023 14:17:15,664000,0.339
12/06/2023 14:17:15,665000,0.339
12/06/2023 14:17:15,666000,0.339
12/06/2023 14:17:15,667000,0.339
12/06/2023 14:17:15,668000,0.339
12/06/2023 14:17:15,669000,0.339
12/06/2023 14:17:15,670000,0.339
12/06/2023 14:17:15,671000,0.339
12/06/2023 14:17:15,672000,0.339
12/06/2023 14:17:15,673000,0.339
12/06/2023 14:17:15,674000,0.339
12/06/2023 14:17:15,675000,0.339
12/06/2023 14:17:15,676000,0.339
12/06/2023 14:17:15,677000,0.339
12/06/2023 14:17:15,678000,0.339
12/06/2023 14:17:15,679000,0.339
