#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,01/30/2024 17:50:13,063000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
01/30/2024 17:50:14,463000,-1000.000
01/30/2024 17:50:14,464000,-1000.000
01/30/2024 17:50:14,465000,-1000.000
01/30/2024 17:50:14,466000,-1000.000
01/30/2024 17:50:14,467000,-1000.000
01/30/2024 17:50:14,468000,-1000.000
01/30/2024 17:50:14,469000,-1000.000
01/30/2024 17:50:14,470000,-1000.000
01/30/2024 17:50:14,471000,-1000.000
01/30/2024 17:50:14,472000,-1000.000
01/30/2024 17:50:14,473000,-1000.000
01/30/2024 17:50:14,474000,-1000.000
01/30/2024 17:50:14,475000,-1000.000
01/30/2024 17:50:14,476000,-1000.000
01/30/2024 17:50:14,477000,-1000.000
01/30/2024 17:50:14,478000,-1000.000
01/30/2024 17:50:14,479000,-1000.000
01/30/2024 17:50:14,480000,-1000.000
01/30/2024 17:50:14,481000,-1000.000
01/30/2024 17:50:14,482000,-1000.000
01/30/2024 17:50:14,483000,-1000.000
01/30/2024 17:50:14,484000,-1000.000
01/30/2024 17:50:14,485000,-1000.000
01/30/2024 17:50:14,486000,-1000.000
