#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/19/2023 16:23:33,365000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/19/2023 16:23:42,065000,9.146
12/19/2023 16:23:42,066000,9.146
12/19/2023 16:23:42,067000,9.146
12/19/2023 16:23:42,068000,9.146
12/19/2023 16:23:42,069000,9.146
12/19/2023 16:23:42,070000,9.146
12/19/2023 16:23:42,071000,9.146
12/19/2023 16:23:42,072000,9.146
12/19/2023 16:23:42,073000,9.146
12/19/2023 16:23:42,074000,9.146
12/19/2023 16:23:42,075000,9.146
12/19/2023 16:23:42,076000,9.146
12/19/2023 16:23:42,077000,9.146
12/19/2023 16:23:42,078000,9.146
12/19/2023 16:23:42,079000,9.146
12/19/2023 16:23:42,080000,9.146
12/19/2023 16:23:42,081000,9.146
12/19/2023 16:23:42,082000,9.146
12/19/2023 16:23:42,083000,9.146
12/19/2023 16:23:42,084000,9.146
12/19/2023 16:23:42,085000,9.146
12/19/2023 16:23:42,086000,9.146
12/19/2023 16:23:42,087000,9.146
12/19/2023 16:23:42,088000,9.146
12/19/2023 16:23:42,089000,9.146
12/19/2023 16:23:42,090000,9.146
12/19/2023 16:23:42,091000,9.146
12/19/2023 16:23:42,092000,9.146
12/19/2023 16:23:42,093000,9.146
12/19/2023 16:23:42,094000,9.146
12/19/2023 16:23:42,095000,9.146
12/19/2023 16:23:42,096000,9.146
12/19/2023 16:23:42,097000,9.146
12/19/2023 16:23:42,098000,9.146
12/19/2023 16:23:42,099000,9.146
12/19/2023 16:23:42,100000,9.146
12/19/2023 16:23:42,101000,9.146
12/19/2023 16:23:42,102000,9.146
12/19/2023 16:23:42,103000,9.146
12/19/2023 16:23:42,104000,9.146
12/19/2023 16:23:42,105000,9.146
12/19/2023 16:23:42,106000,9.146
12/19/2023 16:23:42,107000,9.146
12/19/2023 16:23:42,108000,9.146
12/19/2023 16:23:42,109000,9.146
12/19/2023 16:23:42,110000,9.145
12/19/2023 16:23:42,111000,9.145
12/19/2023 16:23:42,112000,9.145
12/19/2023 16:23:42,113000,9.145
12/19/2023 16:23:42,114000,9.145
12/19/2023 16:23:42,115000,9.145
12/19/2023 16:23:42,116000,9.145
12/19/2023 16:23:42,117000,9.145
12/19/2023 16:23:42,118000,9.145
12/19/2023 16:23:42,119000,9.144
12/19/2023 16:23:42,120000,9.144
12/19/2023 16:23:42,121000,9.143
12/19/2023 16:23:42,122000,9.143
12/19/2023 16:23:42,123000,9.142
12/19/2023 16:23:42,124000,9.142
12/19/2023 16:23:42,125000,9.141
12/19/2023 16:23:42,126000,9.141
12/19/2023 16:23:42,127000,9.139
12/19/2023 16:23:42,128000,9.139
12/19/2023 16:23:42,129000,9.137
12/19/2023 16:23:42,130000,9.137
12/19/2023 16:23:42,131000,9.134
12/19/2023 16:23:42,132000,9.134
12/19/2023 16:23:42,133000,9.130
12/19/2023 16:23:42,134000,9.130
12/19/2023 16:23:42,135000,9.126
12/19/2023 16:23:42,136000,9.126
12/19/2023 16:23:42,137000,9.121
12/19/2023 16:23:42,138000,9.121
12/19/2023 16:23:42,139000,9.115
12/19/2023 16:23:42,140000,9.115
