#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/19/2023 03:37:40,693000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/19/2023 03:37:43,193000,9.12699986
12/19/2023 03:37:43,194000,9.12699986
12/19/2023 03:37:43,195000,9.12699986
12/19/2023 03:37:43,196000,9.12699986
12/19/2023 03:37:43,197000,9.12699986
12/19/2023 03:37:43,198000,9.12699986
12/19/2023 03:37:43,199000,9.12699986
12/19/2023 03:37:43,200000,9.12699986
12/19/2023 03:37:43,201000,9.12699986
12/19/2023 03:37:43,202000,9.12699986
12/19/2023 03:37:43,203000,9.12699986
12/19/2023 03:37:43,204000,9.12699986
12/19/2023 03:37:43,205000,9.12699986
12/19/2023 03:37:43,206000,9.12699986
12/19/2023 03:37:43,207000,9.12699986
12/19/2023 03:37:43,208000,9.12699986
12/19/2023 03:37:43,209000,9.12699986
12/19/2023 03:37:43,210000,9.12699986
12/19/2023 03:37:43,211000,9.12699986
12/19/2023 03:37:43,212000,9.12699986
12/19/2023 03:37:43,213000,9.12699986
12/19/2023 03:37:43,214000,9.12699986
12/19/2023 03:37:43,215000,9.12699986
12/19/2023 03:37:43,216000,9.12699986
12/19/2023 03:37:43,217000,9.12699986
12/19/2023 03:37:43,218000,9.12699986
12/19/2023 03:37:43,219000,9.12699986
12/19/2023 03:37:43,220000,9.12699986
12/19/2023 03:37:43,221000,9.12699986
12/19/2023 03:37:43,222000,9.12699986
12/19/2023 03:37:43,223000,9.12699986
12/19/2023 03:37:43,224000,9.12699986
12/19/2023 03:37:43,225000,9.12699986
12/19/2023 03:37:43,226000,9.12699986
12/19/2023 03:37:43,227000,9.12699986
12/19/2023 03:37:43,228000,9.12699986
12/19/2023 03:37:43,229000,9.12699986
12/19/2023 03:37:43,230000,9.12699986
12/19/2023 03:37:43,231000,9.12699986
12/19/2023 03:37:43,232000,9.12699986
12/19/2023 03:37:43,233000,9.12699986
12/19/2023 03:37:43,234000,9.12699986
12/19/2023 03:37:43,235000,9.12699986
12/19/2023 03:37:43,236000,9.12699986
12/19/2023 03:37:43,237000,9.12699986
12/19/2023 03:37:43,238000,9.12699986
12/19/2023 03:37:43,239000,9.12699986
12/19/2023 03:37:43,240000,9.12699986
12/19/2023 03:37:43,241000,9.12699986
12/19/2023 03:37:43,242000,9.12699986
12/19/2023 03:37:43,243000,9.12699986
12/19/2023 03:37:43,244000,9.12699986
12/19/2023 03:37:43,245000,9.12600040
12/19/2023 03:37:43,246000,9.12600040
12/19/2023 03:37:43,247000,9.12600040
12/19/2023 03:37:43,248000,9.12600040
12/19/2023 03:37:43,249000,9.12600040
12/19/2023 03:37:43,250000,9.12600040
12/19/2023 03:37:43,251000,9.12500000
12/19/2023 03:37:43,252000,9.12500000
12/19/2023 03:37:43,253000,9.12399960
12/19/2023 03:37:43,254000,9.12399960
12/19/2023 03:37:43,255000,9.12300014
12/19/2023 03:37:43,256000,9.12300014
12/19/2023 03:37:43,257000,9.12199974
12/19/2023 03:37:43,258000,9.12199974
12/19/2023 03:37:43,259000,9.11999989
12/19/2023 03:37:43,260000,9.11999989
12/19/2023 03:37:43,261000,9.11800003
12/19/2023 03:37:43,262000,9.11800003
12/19/2023 03:37:43,263000,9.11499977
12/19/2023 03:37:43,264000,9.11499977
12/19/2023 03:37:43,265000,9.11100006
12/19/2023 03:37:43,266000,9.11100006
12/19/2023 03:37:43,267000,9.10599995
12/19/2023 03:37:43,268000,9.10599995
12/19/2023 03:37:43,269000,9.10099983
12/19/2023 03:37:43,270000,9.10099983
12/19/2023 03:37:43,271000,9.09399986
12/19/2023 03:37:43,272000,9.09399986
12/19/2023 03:37:43,273000,9.08699989
12/19/2023 03:37:43,274000,9.08699989
12/19/2023 03:37:43,275000,9.07699966
12/19/2023 03:37:43,276000,9.07699966
12/19/2023 03:37:43,277000,9.06599998
12/19/2023 03:37:43,278000,9.06599998
12/19/2023 03:37:43,279000,9.05399990
12/19/2023 03:37:43,280000,9.05399990
12/19/2023 03:37:43,281000,9.03899956
12/19/2023 03:37:43,282000,9.03899956
12/19/2023 03:37:43,283000,9.02099991
12/19/2023 03:37:43,284000,9.02099991
12/19/2023 03:37:43,285000,9.00399971
12/19/2023 03:37:43,286000,9.00399971
12/19/2023 03:37:43,287000,8.98200035
12/19/2023 03:37:43,288000,8.98200035
12/19/2023 03:37:43,289000,8.95800018
12/19/2023 03:37:43,290000,8.95800018
12/19/2023 03:37:43,291000,8.93099976
12/19/2023 03:37:43,292000,8.93099976
12/19/2023 03:37:43,293000,8.90100002
12/19/2023 03:37:43,294000,8.90100002
12/19/2023 03:37:43,295000,8.86800003
12/19/2023 03:37:43,296000,8.86800003
12/19/2023 03:37:43,297000,8.83100033
12/19/2023 03:37:43,298000,8.83100033
12/19/2023 03:37:43,299000,8.79100037
12/19/2023 03:37:43,300000,8.79100037
12/19/2023 03:37:43,301000,8.74699974
