#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/20/2023 22:52:25,934000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/20/2023 22:52:27,434000,-1000.000
12/20/2023 22:52:27,435000,-1000.000
12/20/2023 22:52:27,436000,-1000.000
12/20/2023 22:52:27,437000,-1000.000
12/20/2023 22:52:27,438000,-1000.000
12/20/2023 22:52:27,439000,-1000.000
12/20/2023 22:52:27,440000,-1000.000
12/20/2023 22:52:27,441000,-1000.000
12/20/2023 22:52:27,442000,-1000.000
12/20/2023 22:52:27,443000,-1000.000
12/20/2023 22:52:27,444000,-1000.000
12/20/2023 22:52:27,445000,-1000.000
12/20/2023 22:52:27,446000,-1000.000
12/20/2023 22:52:27,447000,-1000.000
12/20/2023 22:52:27,448000,-1000.000
12/20/2023 22:52:27,449000,-1000.000
12/20/2023 22:52:27,450000,-1000.000
12/20/2023 22:52:27,451000,-1000.000
12/20/2023 22:52:27,452000,-1000.000
12/20/2023 22:52:27,453000,-1000.000
12/20/2023 22:52:27,454000,-1000.000
12/20/2023 22:52:27,455000,-1000.000
12/20/2023 22:52:27,456000,-1000.000
12/20/2023 22:52:27,457000,-1000.000
12/20/2023 22:52:27,458000,-1000.000
12/20/2023 22:52:27,459000,-1000.000
12/20/2023 22:52:27,460000,-1000.000
12/20/2023 22:52:27,461000,-1000.000
12/20/2023 22:52:27,462000,-1000.000
12/20/2023 22:52:27,463000,-1000.000
12/20/2023 22:52:27,464000,-1000.000
12/20/2023 22:52:27,465000,-1000.000
12/20/2023 22:52:27,466000,-1000.000
12/20/2023 22:52:27,467000,-1000.000
12/20/2023 22:52:27,468000,-1000.000
12/20/2023 22:52:27,469000,-1000.000
12/20/2023 22:52:27,470000,-1000.000
12/20/2023 22:52:27,471000,-1000.000
12/20/2023 22:52:27,472000,-1000.000
12/20/2023 22:52:27,473000,-1000.000
12/20/2023 22:52:27,474000,-1000.000
12/20/2023 22:52:27,475000,-1000.000
12/20/2023 22:52:27,476000,-1000.000
12/20/2023 22:52:27,477000,-1000.000
12/20/2023 22:52:27,478000,-1000.000
12/20/2023 22:52:27,479000,-1000.000
12/20/2023 22:52:27,480000,-1000.000
12/20/2023 22:52:27,481000,-1000.000
12/20/2023 22:52:27,482000,-1000.000
12/20/2023 22:52:27,483000,-1000.000
12/20/2023 22:52:27,484000,-1000.000
12/20/2023 22:52:27,485000,-1000.000
12/20/2023 22:52:27,486000,-1000.000
12/20/2023 22:52:27,487000,-1000.000
12/20/2023 22:52:27,488000,-1000.000
12/20/2023 22:52:27,489000,-1000.000
12/20/2023 22:52:27,490000,-1000.000
12/20/2023 22:52:27,491000,-1000.000
12/20/2023 22:52:27,492000,-1000.000
12/20/2023 22:52:27,493000,-1000.000
12/20/2023 22:52:27,494000,-1000.000
12/20/2023 22:52:27,495000,-1000.000
12/20/2023 22:52:27,496000,-1000.000
12/20/2023 22:52:27,497000,-1000.000
12/20/2023 22:52:27,498000,-1000.000
12/20/2023 22:52:27,499000,-1000.000
12/20/2023 22:52:27,500000,-1000.000
12/20/2023 22:52:27,501000,-1000.000
12/20/2023 22:52:27,502000,-1000.000
12/20/2023 22:52:27,503000,-1000.000
12/20/2023 22:52:27,504000,-1000.000
12/20/2023 22:52:27,505000,-1000.000
12/20/2023 22:52:27,506000,-1000.000
12/20/2023 22:52:27,507000,-1000.000
12/20/2023 22:52:27,508000,-1000.000
12/20/2023 22:52:27,509000,-1000.000
12/20/2023 22:52:27,510000,-1000.000
12/20/2023 22:52:27,511000,-1000.000
12/20/2023 22:52:27,512000,-1000.000
12/20/2023 22:52:27,513000,-1000.000
12/20/2023 22:52:27,514000,-1000.000
12/20/2023 22:52:27,515000,-1000.000
12/20/2023 22:52:27,516000,-1000.000
12/20/2023 22:52:27,517000,-1000.000
12/20/2023 22:52:27,518000,-1000.000
12/20/2023 22:52:27,519000,-1000.000
12/20/2023 22:52:27,520000,-1000.000
12/20/2023 22:52:27,521000,-1000.000
12/20/2023 22:52:27,522000,-1000.000
12/20/2023 22:52:27,523000,-1000.000
12/20/2023 22:52:27,524000,-1000.000
12/20/2023 22:52:27,525000,-1000.000
12/20/2023 22:52:27,526000,-1000.000
12/20/2023 22:52:27,527000,-1000.000
12/20/2023 22:52:27,528000,-1000.000
12/20/2023 22:52:27,529000,-1000.000
12/20/2023 22:52:27,530000,-1000.000
12/20/2023 22:52:27,531000,-1000.000
12/20/2023 22:52:27,532000,-1000.000
12/20/2023 22:52:27,533000,-1000.000
12/20/2023 22:52:27,534000,-1000.000
12/20/2023 22:52:27,535000,-1000.000
12/20/2023 22:52:27,536000,-1000.000
12/20/2023 22:52:27,537000,-1000.000
12/20/2023 22:52:27,538000,-1000.000
12/20/2023 22:52:27,539000,-1000.000
12/20/2023 22:52:27,540000,-1000.000
12/20/2023 22:52:27,541000,-1000.000
12/20/2023 22:52:27,542000,-1000.000
12/20/2023 22:52:27,543000,-1000.000
12/20/2023 22:52:27,544000,-1000.000
12/20/2023 22:52:27,545000,-1000.000
12/20/2023 22:52:27,546000,-1000.000
12/20/2023 22:52:27,547000,-1000.000
12/20/2023 22:52:27,548000,-1000.000
12/20/2023 22:52:27,549000,-1000.000
12/20/2023 22:52:27,550000,-1000.000
12/20/2023 22:52:27,551000,-1000.000
12/20/2023 22:52:27,552000,-1000.000
12/20/2023 22:52:27,553000,-1000.000
12/20/2023 22:52:27,554000,-1000.000
12/20/2023 22:52:27,555000,-1000.000
12/20/2023 22:52:27,556000,-1000.000
12/20/2023 22:52:27,557000,-1000.000
12/20/2023 22:52:27,558000,-1000.000
12/20/2023 22:52:27,559000,-1000.000
12/20/2023 22:52:27,560000,-1000.000
12/20/2023 22:52:27,561000,-1000.000
12/20/2023 22:52:27,562000,-1000.000
12/20/2023 22:52:27,563000,-1000.000
12/20/2023 22:52:27,564000,-1000.000
12/20/2023 22:52:27,565000,-1000.000
12/20/2023 22:52:27,566000,-1000.000
12/20/2023 22:52:27,567000,-1000.000
12/20/2023 22:52:27,568000,-1000.000
12/20/2023 22:52:27,569000,-1000.000
12/20/2023 22:52:27,570000,-1000.000
12/20/2023 22:52:27,571000,-1000.000
12/20/2023 22:52:27,572000,-1000.000
12/20/2023 22:52:27,573000,-1000.000
12/20/2023 22:52:27,574000,-1000.000
12/20/2023 22:52:27,575000,-1000.000
12/20/2023 22:52:27,576000,-1000.000
12/20/2023 22:52:27,577000,-1000.000
12/20/2023 22:52:27,578000,-1000.000
12/20/2023 22:52:27,579000,-1000.000
12/20/2023 22:52:27,580000,-1000.000
12/20/2023 22:52:27,581000,-1000.000
12/20/2023 22:52:27,582000,-1000.000
12/20/2023 22:52:27,583000,-1000.000
12/20/2023 22:52:27,584000,-1000.000
12/20/2023 22:52:27,585000,-1000.000
12/20/2023 22:52:27,586000,-1000.000
12/20/2023 22:52:27,587000,-1000.000
12/20/2023 22:52:27,588000,-1000.000
12/20/2023 22:52:27,589000,-1000.000
12/20/2023 22:52:27,590000,-1000.000
12/20/2023 22:52:27,591000,-1000.000
12/20/2023 22:52:27,592000,-1000.000
12/20/2023 22:52:27,593000,-1000.000
12/20/2023 22:52:27,594000,-1000.000
12/20/2023 22:52:27,595000,-1000.000
12/20/2023 22:52:27,596000,-1000.000
12/20/2023 22:52:27,597000,-1000.000
12/20/2023 22:52:27,598000,-1000.000
12/20/2023 22:52:27,599000,-1000.000
12/20/2023 22:52:27,600000,-1000.000
12/20/2023 22:52:27,601000,-1000.000
