#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/20/2023 23:19:22,890000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/20/2023 23:19:32,190000,-1000.000
12/20/2023 23:19:32,191000,-1000.000
12/20/2023 23:19:32,192000,-1000.000
12/20/2023 23:19:32,193000,-1000.000
12/20/2023 23:19:32,194000,-1000.000
12/20/2023 23:19:32,195000,-1000.000
12/20/2023 23:19:32,196000,-1000.000
12/20/2023 23:19:32,197000,-1000.000
12/20/2023 23:19:32,198000,-1000.000
12/20/2023 23:19:32,199000,-1000.000
12/20/2023 23:19:32,200000,-1000.000
12/20/2023 23:19:32,201000,-1000.000
12/20/2023 23:19:32,202000,-1000.000
12/20/2023 23:19:32,203000,-1000.000
12/20/2023 23:19:32,204000,-1000.000
12/20/2023 23:19:32,205000,-1000.000
12/20/2023 23:19:32,206000,-1000.000
12/20/2023 23:19:32,207000,-1000.000
12/20/2023 23:19:32,208000,-1000.000
12/20/2023 23:19:32,209000,-1000.000
12/20/2023 23:19:32,210000,-1000.000
12/20/2023 23:19:32,211000,-1000.000
12/20/2023 23:19:32,212000,-1000.000
12/20/2023 23:19:32,213000,-1000.000
12/20/2023 23:19:32,214000,-1000.000
12/20/2023 23:19:32,215000,-1000.000
12/20/2023 23:19:32,216000,-1000.000
12/20/2023 23:19:32,217000,-1000.000
12/20/2023 23:19:32,218000,-1000.000
12/20/2023 23:19:32,219000,-1000.000
12/20/2023 23:19:32,220000,-1000.000
12/20/2023 23:19:32,221000,-1000.000
12/20/2023 23:19:32,222000,-1000.000
12/20/2023 23:19:32,223000,-1000.000
12/20/2023 23:19:32,224000,-1000.000
12/20/2023 23:19:32,225000,-1000.000
12/20/2023 23:19:32,226000,-1000.000
12/20/2023 23:19:32,227000,-1000.000
12/20/2023 23:19:32,228000,-1000.000
12/20/2023 23:19:32,229000,-1000.000
12/20/2023 23:19:32,230000,-1000.000
12/20/2023 23:19:32,231000,-1000.000
12/20/2023 23:19:32,232000,-1000.000
12/20/2023 23:19:32,233000,-1000.000
12/20/2023 23:19:32,234000,-1000.000
12/20/2023 23:19:32,235000,-1000.000
12/20/2023 23:19:32,236000,-1000.000
12/20/2023 23:19:32,237000,-1000.000
12/20/2023 23:19:32,238000,-1000.000
12/20/2023 23:19:32,239000,-1000.000
12/20/2023 23:19:32,240000,-1000.000
