#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/20/2023 23:08:51,603000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/20/2023 23:08:53,903000,-1000.000
12/20/2023 23:08:53,904000,-1000.000
12/20/2023 23:08:53,905000,-1000.000
12/20/2023 23:08:53,906000,-1000.000
12/20/2023 23:08:53,907000,-1000.000
12/20/2023 23:08:53,908000,-1000.000
12/20/2023 23:08:53,909000,-1000.000
12/20/2023 23:08:53,910000,-1000.000
12/20/2023 23:08:53,911000,-1000.000
12/20/2023 23:08:53,912000,-1000.000
12/20/2023 23:08:53,913000,-1000.000
12/20/2023 23:08:53,914000,-1000.000
12/20/2023 23:08:53,915000,-1000.000
12/20/2023 23:08:53,916000,-1000.000
12/20/2023 23:08:53,917000,-1000.000
12/20/2023 23:08:53,918000,-1000.000
12/20/2023 23:08:53,919000,-1000.000
12/20/2023 23:08:53,920000,-1000.000
12/20/2023 23:08:53,921000,-1000.000
12/20/2023 23:08:53,922000,-1000.000
12/20/2023 23:08:53,923000,-1000.000
12/20/2023 23:08:53,924000,-1000.000
12/20/2023 23:08:53,925000,-1000.000
12/20/2023 23:08:53,926000,-1000.000
12/20/2023 23:08:53,927000,-1000.000
12/20/2023 23:08:53,928000,-1000.000
12/20/2023 23:08:53,929000,-1000.000
12/20/2023 23:08:53,930000,-1000.000
12/20/2023 23:08:53,931000,-1000.000
12/20/2023 23:08:53,932000,-1000.000
12/20/2023 23:08:53,933000,-1000.000
12/20/2023 23:08:53,934000,-1000.000
12/20/2023 23:08:53,935000,-1000.000
12/20/2023 23:08:53,936000,-1000.000
12/20/2023 23:08:53,937000,-1000.000
12/20/2023 23:08:53,938000,-1000.000
12/20/2023 23:08:53,939000,-1000.000
12/20/2023 23:08:53,940000,-1000.000
12/20/2023 23:08:53,941000,-1000.000
12/20/2023 23:08:53,942000,-1000.000
12/20/2023 23:08:53,943000,-1000.000
12/20/2023 23:08:53,944000,-1000.000
12/20/2023 23:08:53,945000,-1000.000
12/20/2023 23:08:53,946000,-1000.000
12/20/2023 23:08:53,947000,-1000.000
12/20/2023 23:08:53,948000,-1000.000
12/20/2023 23:08:53,949000,-1000.000
12/20/2023 23:08:53,950000,-1000.000
12/20/2023 23:08:53,951000,-1000.000
12/20/2023 23:08:53,952000,-1000.000
12/20/2023 23:08:53,953000,-1000.000
12/20/2023 23:08:53,954000,-1000.000
12/20/2023 23:08:53,955000,-1000.000
12/20/2023 23:08:53,956000,-1000.000
12/20/2023 23:08:53,957000,-1000.000
12/20/2023 23:08:53,958000,-1000.000
12/20/2023 23:08:53,959000,-1000.000
12/20/2023 23:08:53,960000,-1000.000
12/20/2023 23:08:53,961000,-1000.000
12/20/2023 23:08:53,962000,-1000.000
12/20/2023 23:08:53,963000,-1000.000
12/20/2023 23:08:53,964000,-1000.000
12/20/2023 23:08:53,965000,-1000.000
12/20/2023 23:08:53,966000,-1000.000
12/20/2023 23:08:53,967000,-1000.000
12/20/2023 23:08:53,968000,-1000.000
12/20/2023 23:08:53,969000,-1000.000
12/20/2023 23:08:53,970000,-1000.000
12/20/2023 23:08:53,971000,-1000.000
12/20/2023 23:08:53,972000,-1000.000
12/20/2023 23:08:53,973000,-1000.000
12/20/2023 23:08:53,974000,-1000.000
12/20/2023 23:08:53,975000,-1000.000
12/20/2023 23:08:53,976000,-1000.000
12/20/2023 23:08:53,977000,-1000.000
12/20/2023 23:08:53,978000,-1000.000
12/20/2023 23:08:53,979000,-1000.000
12/20/2023 23:08:53,980000,-1000.000
12/20/2023 23:08:53,981000,-1000.000
12/20/2023 23:08:53,982000,-1000.000
12/20/2023 23:08:53,983000,-1000.000
12/20/2023 23:08:53,984000,-1000.000
12/20/2023 23:08:53,985000,-1000.000
12/20/2023 23:08:53,986000,-1000.000
12/20/2023 23:08:53,987000,-1000.000
12/20/2023 23:08:53,988000,-1000.000
12/20/2023 23:08:53,989000,-1000.000
12/20/2023 23:08:53,990000,-1000.000
12/20/2023 23:08:53,991000,-1000.000
12/20/2023 23:08:53,992000,-1000.000
12/20/2023 23:08:53,993000,-1000.000
12/20/2023 23:08:53,994000,-1000.000
12/20/2023 23:08:53,995000,-1000.000
12/20/2023 23:08:53,996000,-1000.000
12/20/2023 23:08:53,997000,-1000.000
12/20/2023 23:08:53,998000,-1000.000
12/20/2023 23:08:53,999000,-1000.000
12/20/2023 23:08:54,000000,-1000.000
12/20/2023 23:08:54,001000,-1000.000
12/20/2023 23:08:54,002000,-1000.000
12/20/2023 23:08:54,003000,-1000.000
12/20/2023 23:08:54,004000,-1000.000
12/20/2023 23:08:54,005000,-1000.000
12/20/2023 23:08:54,006000,-1000.000
12/20/2023 23:08:54,007000,-1000.000
12/20/2023 23:08:54,008000,-1000.000
12/20/2023 23:08:54,009000,-1000.000
12/20/2023 23:08:54,010000,-1000.000
12/20/2023 23:08:54,011000,-1000.000
12/20/2023 23:08:54,012000,-1000.000
12/20/2023 23:08:54,013000,-1000.000
12/20/2023 23:08:54,014000,-1000.000
12/20/2023 23:08:54,015000,-1000.000
12/20/2023 23:08:54,016000,-1000.000
12/20/2023 23:08:54,017000,-1000.000
12/20/2023 23:08:54,018000,-1000.000
12/20/2023 23:08:54,019000,-1000.000
12/20/2023 23:08:54,020000,-1000.000
12/20/2023 23:08:54,021000,-1000.000
12/20/2023 23:08:54,022000,-1000.000
12/20/2023 23:08:54,023000,-1000.000
12/20/2023 23:08:54,024000,-1000.000
12/20/2023 23:08:54,025000,-1000.000
12/20/2023 23:08:54,026000,-1000.000
12/20/2023 23:08:54,027000,-1000.000
12/20/2023 23:08:54,028000,-1000.000
12/20/2023 23:08:54,029000,-1000.000
12/20/2023 23:08:54,030000,-1000.000
12/20/2023 23:08:54,031000,-1000.000
12/20/2023 23:08:54,032000,-1000.000
12/20/2023 23:08:54,033000,-1000.000
12/20/2023 23:08:54,034000,-1000.000
12/20/2023 23:08:54,035000,-1000.000
12/20/2023 23:08:54,036000,-1000.000
12/20/2023 23:08:54,037000,-1000.000
12/20/2023 23:08:54,038000,-1000.000
12/20/2023 23:08:54,039000,-1000.000
12/20/2023 23:08:54,040000,-1000.000
