#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 00:03:45,254000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 00:03:47,154000,-1000.000
12/21/2023 00:03:47,155000,-1000.000
12/21/2023 00:03:47,156000,-1000.000
12/21/2023 00:03:47,157000,-1000.000
12/21/2023 00:03:47,158000,-1000.000
12/21/2023 00:03:47,159000,-1000.000
12/21/2023 00:03:47,160000,-1000.000
12/21/2023 00:03:47,161000,-1000.000
12/21/2023 00:03:47,162000,-1000.000
12/21/2023 00:03:47,163000,-1000.000
12/21/2023 00:03:47,164000,-1000.000
12/21/2023 00:03:47,165000,-1000.000
12/21/2023 00:03:47,166000,-1000.000
12/21/2023 00:03:47,167000,-1000.000
12/21/2023 00:03:47,168000,-1000.000
12/21/2023 00:03:47,169000,-1000.000
12/21/2023 00:03:47,170000,-1000.000
12/21/2023 00:03:47,171000,-1000.000
12/21/2023 00:03:47,172000,-1000.000
12/21/2023 00:03:47,173000,-1000.000
12/21/2023 00:03:47,174000,-1000.000
12/21/2023 00:03:47,175000,-1000.000
12/21/2023 00:03:47,176000,-1000.000
12/21/2023 00:03:47,177000,-1000.000
12/21/2023 00:03:47,178000,-1000.000
12/21/2023 00:03:47,179000,-1000.000
12/21/2023 00:03:47,180000,-1000.000
12/21/2023 00:03:47,181000,-1000.000
12/21/2023 00:03:47,182000,-1000.000
12/21/2023 00:03:47,183000,-1000.000
12/21/2023 00:03:47,184000,-1000.000
12/21/2023 00:03:47,185000,-1000.000
12/21/2023 00:03:47,186000,-1000.000
12/21/2023 00:03:47,187000,-1000.000
12/21/2023 00:03:47,188000,-1000.000
12/21/2023 00:03:47,189000,-1000.000
12/21/2023 00:03:47,190000,-1000.000
12/21/2023 00:03:47,191000,-1000.000
12/21/2023 00:03:47,192000,-1000.000
12/21/2023 00:03:47,193000,-1000.000
12/21/2023 00:03:47,194000,-1000.000
12/21/2023 00:03:47,195000,-1000.000
12/21/2023 00:03:47,196000,-1000.000
12/21/2023 00:03:47,197000,-1000.000
12/21/2023 00:03:47,198000,-1000.000
12/21/2023 00:03:47,199000,-1000.000
12/21/2023 00:03:47,200000,-1000.000
12/21/2023 00:03:47,201000,-1000.000
12/21/2023 00:03:47,202000,-1000.000
12/21/2023 00:03:47,203000,-1000.000
12/21/2023 00:03:47,204000,-1000.000
12/21/2023 00:03:47,205000,-1000.000
12/21/2023 00:03:47,206000,-1000.000
12/21/2023 00:03:47,207000,-1000.000
12/21/2023 00:03:47,208000,-1000.000
12/21/2023 00:03:47,209000,-1000.000
12/21/2023 00:03:47,210000,-1000.000
12/21/2023 00:03:47,211000,-1000.000
12/21/2023 00:03:47,212000,-1000.000
12/21/2023 00:03:47,213000,-1000.000
12/21/2023 00:03:47,214000,-1000.000
12/21/2023 00:03:47,215000,-1000.000
12/21/2023 00:03:47,216000,-1000.000
12/21/2023 00:03:47,217000,-1000.000
12/21/2023 00:03:47,218000,-1000.000
12/21/2023 00:03:47,219000,-1000.000
12/21/2023 00:03:47,220000,-1000.000
12/21/2023 00:03:47,221000,-1000.000
12/21/2023 00:03:47,222000,-1000.000
12/21/2023 00:03:47,223000,-1000.000
12/21/2023 00:03:47,224000,-1000.000
12/21/2023 00:03:47,225000,-1000.000
12/21/2023 00:03:47,226000,-1000.000
12/21/2023 00:03:47,227000,-1000.000
12/21/2023 00:03:47,228000,-1000.000
12/21/2023 00:03:47,229000,-1000.000
12/21/2023 00:03:47,230000,-1000.000
12/21/2023 00:03:47,231000,-1000.000
12/21/2023 00:03:47,232000,-1000.000
12/21/2023 00:03:47,233000,-1000.000
12/21/2023 00:03:47,234000,-1000.000
12/21/2023 00:03:47,235000,-1000.000
12/21/2023 00:03:47,236000,-1000.000
12/21/2023 00:03:47,237000,-1000.000
12/21/2023 00:03:47,238000,-1000.000
12/21/2023 00:03:47,239000,-1000.000
12/21/2023 00:03:47,240000,-1000.000
12/21/2023 00:03:47,241000,-1000.000
12/21/2023 00:03:47,242000,-1000.000
12/21/2023 00:03:47,243000,-1000.000
12/21/2023 00:03:47,244000,-1000.000
12/21/2023 00:03:47,245000,-1000.000
12/21/2023 00:03:47,246000,-1000.000
12/21/2023 00:03:47,247000,-1000.000
12/21/2023 00:03:47,248000,-1000.000
12/21/2023 00:03:47,249000,-1000.000
12/21/2023 00:03:47,250000,-1000.000
12/21/2023 00:03:47,251000,-1000.000
12/21/2023 00:03:47,252000,-1000.000
12/21/2023 00:03:47,253000,-1000.000
12/21/2023 00:03:47,254000,-1000.000
12/21/2023 00:03:47,255000,-1000.000
12/21/2023 00:03:47,256000,-1000.000
12/21/2023 00:03:47,257000,-1000.000
12/21/2023 00:03:47,258000,-1000.000
12/21/2023 00:03:47,259000,-1000.000
12/21/2023 00:03:47,260000,-1000.000
12/21/2023 00:03:47,261000,-1000.000
12/21/2023 00:03:47,262000,-1000.000
12/21/2023 00:03:47,263000,-1000.000
12/21/2023 00:03:47,264000,-1000.000
12/21/2023 00:03:47,265000,-1000.000
12/21/2023 00:03:47,266000,-1000.000
12/21/2023 00:03:47,267000,-1000.000
12/21/2023 00:03:47,268000,-1000.000
12/21/2023 00:03:47,269000,-1000.000
12/21/2023 00:03:47,270000,-1000.000
12/21/2023 00:03:47,271000,-1000.000
12/21/2023 00:03:47,272000,-1000.000
12/21/2023 00:03:47,273000,-1000.000
12/21/2023 00:03:47,274000,-1000.000
12/21/2023 00:03:47,275000,-1000.000
12/21/2023 00:03:47,276000,-1000.000
12/21/2023 00:03:47,277000,-1000.000
12/21/2023 00:03:47,278000,-1000.000
12/21/2023 00:03:47,279000,-1000.000
12/21/2023 00:03:47,280000,-1000.000
12/21/2023 00:03:47,281000,-1000.000
12/21/2023 00:03:47,282000,-1000.000
12/21/2023 00:03:47,283000,-1000.000
12/21/2023 00:03:47,284000,-1000.000
12/21/2023 00:03:47,285000,-1000.000
12/21/2023 00:03:47,286000,-1000.000
12/21/2023 00:03:47,287000,-1000.000
12/21/2023 00:03:47,288000,-1000.000
12/21/2023 00:03:47,289000,-1000.000
12/21/2023 00:03:47,290000,-1000.000
12/21/2023 00:03:47,291000,-1000.000
12/21/2023 00:03:47,292000,-1000.000
12/21/2023 00:03:47,293000,-1000.000
12/21/2023 00:03:47,294000,-1000.000
12/21/2023 00:03:47,295000,-1000.000
12/21/2023 00:03:47,296000,-1000.000
12/21/2023 00:03:47,297000,-1000.000
12/21/2023 00:03:47,298000,-1000.000
12/21/2023 00:03:47,299000,-1000.000
12/21/2023 00:03:47,300000,-1000.000
12/21/2023 00:03:47,301000,-1000.000
12/21/2023 00:03:47,302000,-1000.000
12/21/2023 00:03:47,303000,-1000.000
12/21/2023 00:03:47,304000,-1000.000
12/21/2023 00:03:47,305000,-1000.000
12/21/2023 00:03:47,306000,-1000.000
12/21/2023 00:03:47,307000,-1000.000
12/21/2023 00:03:47,308000,-1000.000
12/21/2023 00:03:47,309000,-1000.000
12/21/2023 00:03:47,310000,-1000.000
12/21/2023 00:03:47,311000,-1000.000
12/21/2023 00:03:47,312000,-1000.000
12/21/2023 00:03:47,313000,-1000.000
12/21/2023 00:03:47,314000,-1000.000
12/21/2023 00:03:47,315000,-1000.000
12/21/2023 00:03:47,316000,-1000.000
12/21/2023 00:03:47,317000,-1000.000
12/21/2023 00:03:47,318000,-1000.000
12/21/2023 00:03:47,319000,-1000.000
12/21/2023 00:03:47,320000,-1000.000
12/21/2023 00:03:47,321000,-1000.000
12/21/2023 00:03:47,322000,-1000.000
12/21/2023 00:03:47,323000,-1000.000
12/21/2023 00:03:47,324000,-1000.000
12/21/2023 00:03:47,325000,-1000.000
12/21/2023 00:03:47,326000,-1000.000
12/21/2023 00:03:47,327000,-1000.000
12/21/2023 00:03:47,328000,-1000.000
12/21/2023 00:03:47,329000,-1000.000
12/21/2023 00:03:47,330000,-1000.000
12/21/2023 00:03:47,331000,-1000.000
12/21/2023 00:03:47,332000,-1000.000
12/21/2023 00:03:47,333000,-1000.000
