#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/20/2023 23:48:19,289000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/20/2023 23:48:21,689000,-1000.000
12/20/2023 23:48:21,690000,-1000.000
12/20/2023 23:48:21,691000,-1000.000
12/20/2023 23:48:21,692000,-1000.000
12/20/2023 23:48:21,693000,-1000.000
12/20/2023 23:48:21,694000,-1000.000
12/20/2023 23:48:21,695000,-1000.000
12/20/2023 23:48:21,696000,-1000.000
12/20/2023 23:48:21,697000,-1000.000
12/20/2023 23:48:21,698000,-1000.000
12/20/2023 23:48:21,699000,-1000.000
12/20/2023 23:48:21,700000,-1000.000
12/20/2023 23:48:21,701000,-1000.000
12/20/2023 23:48:21,702000,-1000.000
12/20/2023 23:48:21,703000,-1000.000
12/20/2023 23:48:21,704000,-1000.000
12/20/2023 23:48:21,705000,-1000.000
12/20/2023 23:48:21,706000,-1000.000
12/20/2023 23:48:21,707000,-1000.000
12/20/2023 23:48:21,708000,-1000.000
12/20/2023 23:48:21,709000,-1000.000
12/20/2023 23:48:21,710000,-1000.000
12/20/2023 23:48:21,711000,-1000.000
12/20/2023 23:48:21,712000,-1000.000
12/20/2023 23:48:21,713000,-1000.000
12/20/2023 23:48:21,714000,-1000.000
12/20/2023 23:48:21,715000,-1000.000
12/20/2023 23:48:21,716000,-1000.000
12/20/2023 23:48:21,717000,-1000.000
12/20/2023 23:48:21,718000,-1000.000
12/20/2023 23:48:21,719000,-1000.000
12/20/2023 23:48:21,720000,-1000.000
12/20/2023 23:48:21,721000,-1000.000
12/20/2023 23:48:21,722000,-1000.000
12/20/2023 23:48:21,723000,-1000.000
12/20/2023 23:48:21,724000,-1000.000
12/20/2023 23:48:21,725000,-1000.000
12/20/2023 23:48:21,726000,-1000.000
12/20/2023 23:48:21,727000,-1000.000
12/20/2023 23:48:21,728000,-1000.000
12/20/2023 23:48:21,729000,-1000.000
12/20/2023 23:48:21,730000,-1000.000
12/20/2023 23:48:21,731000,-1000.000
12/20/2023 23:48:21,732000,-1000.000
12/20/2023 23:48:21,733000,-1000.000
12/20/2023 23:48:21,734000,-1000.000
12/20/2023 23:48:21,735000,-1000.000
12/20/2023 23:48:21,736000,-1000.000
12/20/2023 23:48:21,737000,-1000.000
12/20/2023 23:48:21,738000,-1000.000
12/20/2023 23:48:21,739000,-1000.000
12/20/2023 23:48:21,740000,-1000.000
12/20/2023 23:48:21,741000,-1000.000
12/20/2023 23:48:21,742000,-1000.000
12/20/2023 23:48:21,743000,-1000.000
12/20/2023 23:48:21,744000,-1000.000
12/20/2023 23:48:21,745000,-1000.000
12/20/2023 23:48:21,746000,-1000.000
12/20/2023 23:48:21,747000,-1000.000
12/20/2023 23:48:21,748000,-1000.000
12/20/2023 23:48:21,749000,-1000.000
12/20/2023 23:48:21,750000,-1000.000
12/20/2023 23:48:21,751000,-1000.000
12/20/2023 23:48:21,752000,-1000.000
12/20/2023 23:48:21,753000,-1000.000
12/20/2023 23:48:21,754000,-1000.000
12/20/2023 23:48:21,755000,-1000.000
12/20/2023 23:48:21,756000,-1000.000
12/20/2023 23:48:21,757000,-1000.000
12/20/2023 23:48:21,758000,-1000.000
12/20/2023 23:48:21,759000,-1000.000
12/20/2023 23:48:21,760000,-1000.000
12/20/2023 23:48:21,761000,-1000.000
12/20/2023 23:48:21,762000,-1000.000
12/20/2023 23:48:21,763000,-1000.000
12/20/2023 23:48:21,764000,-1000.000
12/20/2023 23:48:21,765000,-1000.000
12/20/2023 23:48:21,766000,-1000.000
12/20/2023 23:48:21,767000,-1000.000
12/20/2023 23:48:21,768000,-1000.000
12/20/2023 23:48:21,769000,-1000.000
12/20/2023 23:48:21,770000,-1000.000
12/20/2023 23:48:21,771000,-1000.000
12/20/2023 23:48:21,772000,-1000.000
12/20/2023 23:48:21,773000,-1000.000
12/20/2023 23:48:21,774000,-1000.000
12/20/2023 23:48:21,775000,-1000.000
12/20/2023 23:48:21,776000,-1000.000
12/20/2023 23:48:21,777000,-1000.000
12/20/2023 23:48:21,778000,-1000.000
12/20/2023 23:48:21,779000,-1000.000
12/20/2023 23:48:21,780000,-1000.000
12/20/2023 23:48:21,781000,-1000.000
12/20/2023 23:48:21,782000,-1000.000
12/20/2023 23:48:21,783000,-1000.000
12/20/2023 23:48:21,784000,-1000.000
12/20/2023 23:48:21,785000,-1000.000
12/20/2023 23:48:21,786000,-1000.000
12/20/2023 23:48:21,787000,-1000.000
12/20/2023 23:48:21,788000,-1000.000
12/20/2023 23:48:21,789000,-1000.000
12/20/2023 23:48:21,790000,-1000.000
12/20/2023 23:48:21,791000,-1000.000
12/20/2023 23:48:21,792000,-1000.000
12/20/2023 23:48:21,793000,-1000.000
12/20/2023 23:48:21,794000,-1000.000
12/20/2023 23:48:21,795000,-1000.000
12/20/2023 23:48:21,796000,-1000.000
12/20/2023 23:48:21,797000,-1000.000
12/20/2023 23:48:21,798000,-1000.000
12/20/2023 23:48:21,799000,-1000.000
12/20/2023 23:48:21,800000,-1000.000
12/20/2023 23:48:21,801000,-1000.000
12/20/2023 23:48:21,802000,-1000.000
12/20/2023 23:48:21,803000,-1000.000
12/20/2023 23:48:21,804000,-1000.000
12/20/2023 23:48:21,805000,-1000.000
12/20/2023 23:48:21,806000,-1000.000
12/20/2023 23:48:21,807000,-1000.000
12/20/2023 23:48:21,808000,-1000.000
12/20/2023 23:48:21,809000,-1000.000
12/20/2023 23:48:21,810000,-1000.000
12/20/2023 23:48:21,811000,-1000.000
12/20/2023 23:48:21,812000,-1000.000
12/20/2023 23:48:21,813000,-1000.000
12/20/2023 23:48:21,814000,-1000.000
12/20/2023 23:48:21,815000,-1000.000
12/20/2023 23:48:21,816000,-1000.000
12/20/2023 23:48:21,817000,-1000.000
12/20/2023 23:48:21,818000,-1000.000
12/20/2023 23:48:21,819000,-1000.000
12/20/2023 23:48:21,820000,-1000.000
12/20/2023 23:48:21,821000,-1000.000
12/20/2023 23:48:21,822000,-1000.000
12/20/2023 23:48:21,823000,-1000.000
12/20/2023 23:48:21,824000,-1000.000
12/20/2023 23:48:21,825000,-1000.000
12/20/2023 23:48:21,826000,-1000.000
12/20/2023 23:48:21,827000,-1000.000
12/20/2023 23:48:21,828000,-1000.000
12/20/2023 23:48:21,829000,-1000.000
12/20/2023 23:48:21,830000,-1000.000
12/20/2023 23:48:21,831000,-1000.000
12/20/2023 23:48:21,832000,-1000.000
12/20/2023 23:48:21,833000,-1000.000
12/20/2023 23:48:21,834000,-1000.000
12/20/2023 23:48:21,835000,-1000.000
12/20/2023 23:48:21,836000,-1000.000
12/20/2023 23:48:21,837000,-1000.000
12/20/2023 23:48:21,838000,-1000.000
12/20/2023 23:48:21,839000,-1000.000
12/20/2023 23:48:21,840000,-1000.000
12/20/2023 23:48:21,841000,-1000.000
12/20/2023 23:48:21,842000,-1000.000
12/20/2023 23:48:21,843000,-1000.000
12/20/2023 23:48:21,844000,-1000.000
12/20/2023 23:48:21,845000,-1000.000
12/20/2023 23:48:21,846000,-1000.000
12/20/2023 23:48:21,847000,-1000.000
12/20/2023 23:48:21,848000,-1000.000
12/20/2023 23:48:21,849000,-1000.000
12/20/2023 23:48:21,850000,-1000.000
12/20/2023 23:48:21,851000,-1000.000
12/20/2023 23:48:21,852000,-1000.000
12/20/2023 23:48:21,853000,-1000.000
12/20/2023 23:48:21,854000,-1000.000
12/20/2023 23:48:21,855000,-1000.000
12/20/2023 23:48:21,856000,-1000.000
12/20/2023 23:48:21,857000,-1000.000
12/20/2023 23:48:21,858000,-1000.000
12/20/2023 23:48:21,859000,-1000.000
12/20/2023 23:48:21,860000,-1000.000
12/20/2023 23:48:21,861000,-1000.000
12/20/2023 23:48:21,862000,-1000.000
12/20/2023 23:48:21,863000,-1000.000
12/20/2023 23:48:21,864000,-1000.000
12/20/2023 23:48:21,865000,-1000.000
12/20/2023 23:48:21,866000,-1000.000
12/20/2023 23:48:21,867000,-1000.000
12/20/2023 23:48:21,868000,-1000.000
12/20/2023 23:48:21,869000,-1000.000
12/20/2023 23:48:21,870000,-1000.000
12/20/2023 23:48:21,871000,-1000.000
12/20/2023 23:48:21,872000,-1000.000
12/20/2023 23:48:21,873000,-1000.000
12/20/2023 23:48:21,874000,-1000.000
12/20/2023 23:48:21,875000,-1000.000
12/20/2023 23:48:21,876000,-1000.000
12/20/2023 23:48:21,877000,-1000.000
12/20/2023 23:48:21,878000,-1000.000
12/20/2023 23:48:21,879000,-1000.000
12/20/2023 23:48:21,880000,-1000.000
12/20/2023 23:48:21,881000,-1000.000
12/20/2023 23:48:21,882000,-1000.000
12/20/2023 23:48:21,883000,-1000.000
12/20/2023 23:48:21,884000,-1000.000
12/20/2023 23:48:21,885000,-1000.000
12/20/2023 23:48:21,886000,-1000.000
12/20/2023 23:48:21,887000,-1000.000
12/20/2023 23:48:21,888000,-1000.000
12/20/2023 23:48:21,889000,-1000.000
12/20/2023 23:48:21,890000,-1000.000
12/20/2023 23:48:21,891000,-1000.000
12/20/2023 23:48:21,892000,-1000.000
12/20/2023 23:48:21,893000,-1000.000
12/20/2023 23:48:21,894000,-1000.000
12/20/2023 23:48:21,895000,-1000.000
12/20/2023 23:48:21,896000,-1000.000
12/20/2023 23:48:21,897000,-1000.000
12/20/2023 23:48:21,898000,-1000.000
12/20/2023 23:48:21,899000,-1000.000
12/20/2023 23:48:21,900000,-1000.000
12/20/2023 23:48:21,901000,-1000.000
12/20/2023 23:48:21,902000,-1000.000
12/20/2023 23:48:21,903000,-1000.000
12/20/2023 23:48:21,904000,-1000.000
12/20/2023 23:48:21,905000,-1000.000
12/20/2023 23:48:21,906000,-1000.000
12/20/2023 23:48:21,907000,-1000.000
12/20/2023 23:48:21,908000,-1000.000
12/20/2023 23:48:21,909000,-1000.000
12/20/2023 23:48:21,910000,-1000.000
12/20/2023 23:48:21,911000,-1000.000
12/20/2023 23:48:21,912000,-1000.000
12/20/2023 23:48:21,913000,-1000.000
12/20/2023 23:48:21,914000,-1000.000
12/20/2023 23:48:21,915000,-1000.000
12/20/2023 23:48:21,916000,-1000.000
12/20/2023 23:48:21,917000,-1000.000
12/20/2023 23:48:21,918000,-1000.000
12/20/2023 23:48:21,919000,-1000.000
12/20/2023 23:48:21,920000,-1000.000
12/20/2023 23:48:21,921000,-1000.000
12/20/2023 23:48:21,922000,-1000.000
12/20/2023 23:48:21,923000,-1000.000
12/20/2023 23:48:21,924000,-1000.000
12/20/2023 23:48:21,925000,-1000.000
12/20/2023 23:48:21,926000,-1000.000
12/20/2023 23:48:21,927000,-1000.000
12/20/2023 23:48:21,928000,-1000.000
12/20/2023 23:48:21,929000,-1000.000
12/20/2023 23:48:21,930000,-1000.000
12/20/2023 23:48:21,931000,-1000.000
12/20/2023 23:48:21,932000,-1000.000
12/20/2023 23:48:21,933000,-1000.000
12/20/2023 23:48:21,934000,-1000.000
12/20/2023 23:48:21,935000,-1000.000
12/20/2023 23:48:21,936000,-1000.000
12/20/2023 23:48:21,937000,-1000.000
12/20/2023 23:48:21,938000,-1000.000
12/20/2023 23:48:21,939000,-1000.000
12/20/2023 23:48:21,940000,-1000.000
12/20/2023 23:48:21,941000,-1000.000
12/20/2023 23:48:21,942000,-1000.000
12/20/2023 23:48:21,943000,-1000.000
12/20/2023 23:48:21,944000,-1000.000
12/20/2023 23:48:21,945000,-1000.000
12/20/2023 23:48:21,946000,-1000.000
12/20/2023 23:48:21,947000,-1000.000
12/20/2023 23:48:21,948000,-1000.000
12/20/2023 23:48:21,949000,-1000.000
12/20/2023 23:48:21,950000,-1000.000
12/20/2023 23:48:21,951000,-1000.000
12/20/2023 23:48:21,952000,-1000.000
12/20/2023 23:48:21,953000,-1000.000
12/20/2023 23:48:21,954000,-1000.000
12/20/2023 23:48:21,955000,-1000.000
12/20/2023 23:48:21,956000,-1000.000
12/20/2023 23:48:21,957000,-1000.000
12/20/2023 23:48:21,958000,-1000.000
12/20/2023 23:48:21,959000,-1000.000
12/20/2023 23:48:21,960000,-1000.000
12/20/2023 23:48:21,961000,-1000.000
12/20/2023 23:48:21,962000,-1000.000
12/20/2023 23:48:21,963000,-1000.000
12/20/2023 23:48:21,964000,-1000.000
12/20/2023 23:48:21,965000,-1000.000
12/20/2023 23:48:21,966000,-1000.000
12/20/2023 23:48:21,967000,-1000.000
12/20/2023 23:48:21,968000,-1000.000
12/20/2023 23:48:21,969000,-1000.000
12/20/2023 23:48:21,970000,-1000.000
12/20/2023 23:48:21,971000,-1000.000
12/20/2023 23:48:21,972000,-1000.000
12/20/2023 23:48:21,973000,-1000.000
12/20/2023 23:48:21,974000,-1000.000
12/20/2023 23:48:21,975000,-1000.000
12/20/2023 23:48:21,976000,-1000.000
12/20/2023 23:48:21,977000,-1000.000
12/20/2023 23:48:21,978000,-1000.000
12/20/2023 23:48:21,979000,-1000.000
12/20/2023 23:48:21,980000,-1000.000
12/20/2023 23:48:21,981000,-1000.000
12/20/2023 23:48:21,982000,-1000.000
12/20/2023 23:48:21,983000,-1000.000
12/20/2023 23:48:21,984000,-1000.000
12/20/2023 23:48:21,985000,-1000.000
12/20/2023 23:48:21,986000,-1000.000
12/20/2023 23:48:21,987000,-1000.000
12/20/2023 23:48:21,988000,-1000.000
12/20/2023 23:48:21,989000,-1000.000
12/20/2023 23:48:21,990000,-1000.000
12/20/2023 23:48:21,991000,-1000.000
12/20/2023 23:48:21,992000,-1000.000
12/20/2023 23:48:21,993000,-1000.000
12/20/2023 23:48:21,994000,-1000.000
12/20/2023 23:48:21,995000,-1000.000
12/20/2023 23:48:21,996000,-1000.000
12/20/2023 23:48:21,997000,-1000.000
12/20/2023 23:48:21,998000,-1000.000
12/20/2023 23:48:21,999000,-1000.000
12/20/2023 23:48:22,000000,-1000.000
12/20/2023 23:48:22,001000,-1000.000
12/20/2023 23:48:22,002000,-1000.000
