#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 01:26:51,647000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 01:26:53,147000,-1000.000
12/21/2023 01:26:53,148000,-1000.000
12/21/2023 01:26:53,149000,-1000.000
12/21/2023 01:26:53,150000,-1000.000
12/21/2023 01:26:53,151000,-1000.000
12/21/2023 01:26:53,152000,-1000.000
12/21/2023 01:26:53,153000,-1000.000
12/21/2023 01:26:53,154000,-1000.000
12/21/2023 01:26:53,155000,-1000.000
12/21/2023 01:26:53,156000,-1000.000
12/21/2023 01:26:53,157000,-1000.000
12/21/2023 01:26:53,158000,-1000.000
12/21/2023 01:26:53,159000,-1000.000
12/21/2023 01:26:53,160000,-1000.000
12/21/2023 01:26:53,161000,-1000.000
12/21/2023 01:26:53,162000,-1000.000
12/21/2023 01:26:53,163000,-1000.000
12/21/2023 01:26:53,164000,-1000.000
12/21/2023 01:26:53,165000,-1000.000
12/21/2023 01:26:53,166000,-1000.000
12/21/2023 01:26:53,167000,-1000.000
12/21/2023 01:26:53,168000,-1000.000
12/21/2023 01:26:53,169000,-1000.000
12/21/2023 01:26:53,170000,-1000.000
12/21/2023 01:26:53,171000,-1000.000
12/21/2023 01:26:53,172000,-1000.000
12/21/2023 01:26:53,173000,-1000.000
12/21/2023 01:26:53,174000,-1000.000
12/21/2023 01:26:53,175000,-1000.000
12/21/2023 01:26:53,176000,-1000.000
12/21/2023 01:26:53,177000,-1000.000
12/21/2023 01:26:53,178000,-1000.000
12/21/2023 01:26:53,179000,-1000.000
12/21/2023 01:26:53,180000,-1000.000
12/21/2023 01:26:53,181000,-1000.000
12/21/2023 01:26:53,182000,-1000.000
12/21/2023 01:26:53,183000,-1000.000
12/21/2023 01:26:53,184000,-1000.000
12/21/2023 01:26:53,185000,-1000.000
12/21/2023 01:26:53,186000,-1000.000
12/21/2023 01:26:53,187000,-1000.000
12/21/2023 01:26:53,188000,-1000.000
12/21/2023 01:26:53,189000,-1000.000
12/21/2023 01:26:53,190000,-1000.000
12/21/2023 01:26:53,191000,-1000.000
12/21/2023 01:26:53,192000,-1000.000
12/21/2023 01:26:53,193000,-1000.000
12/21/2023 01:26:53,194000,-1000.000
12/21/2023 01:26:53,195000,-1000.000
12/21/2023 01:26:53,196000,-1000.000
