#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 01:36:08,577000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 01:36:10,577000,-1000.000
12/21/2023 01:36:10,578000,-1000.000
12/21/2023 01:36:10,579000,-1000.000
12/21/2023 01:36:10,580000,-1000.000
12/21/2023 01:36:10,581000,-1000.000
12/21/2023 01:36:10,582000,-1000.000
12/21/2023 01:36:10,583000,-1000.000
12/21/2023 01:36:10,584000,-1000.000
12/21/2023 01:36:10,585000,-1000.000
12/21/2023 01:36:10,586000,-1000.000
12/21/2023 01:36:10,587000,-1000.000
12/21/2023 01:36:10,588000,-1000.000
12/21/2023 01:36:10,589000,-1000.000
12/21/2023 01:36:10,590000,-1000.000
12/21/2023 01:36:10,591000,-1000.000
12/21/2023 01:36:10,592000,-1000.000
12/21/2023 01:36:10,593000,-1000.000
12/21/2023 01:36:10,594000,-1000.000
12/21/2023 01:36:10,595000,-1000.000
12/21/2023 01:36:10,596000,-1000.000
12/21/2023 01:36:10,597000,-1000.000
12/21/2023 01:36:10,598000,-1000.000
12/21/2023 01:36:10,599000,-1000.000
12/21/2023 01:36:10,600000,-1000.000
12/21/2023 01:36:10,601000,-1000.000
12/21/2023 01:36:10,602000,-1000.000
12/21/2023 01:36:10,603000,-1000.000
12/21/2023 01:36:10,604000,-1000.000
12/21/2023 01:36:10,605000,-1000.000
12/21/2023 01:36:10,606000,-1000.000
12/21/2023 01:36:10,607000,-1000.000
12/21/2023 01:36:10,608000,-1000.000
12/21/2023 01:36:10,609000,-1000.000
12/21/2023 01:36:10,610000,-1000.000
12/21/2023 01:36:10,611000,-1000.000
12/21/2023 01:36:10,612000,-1000.000
12/21/2023 01:36:10,613000,-1000.000
12/21/2023 01:36:10,614000,-1000.000
12/21/2023 01:36:10,615000,-1000.000
12/21/2023 01:36:10,616000,-1000.000
12/21/2023 01:36:10,617000,-1000.000
12/21/2023 01:36:10,618000,-1000.000
12/21/2023 01:36:10,619000,-1000.000
12/21/2023 01:36:10,620000,-1000.000
