#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 01:09:53,112000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 01:09:58,612000,-1000.000
12/21/2023 01:09:58,613000,-1000.000
12/21/2023 01:09:58,614000,-1000.000
12/21/2023 01:09:58,615000,-1000.000
12/21/2023 01:09:58,616000,-1000.000
12/21/2023 01:09:58,617000,-1000.000
12/21/2023 01:09:58,618000,-1000.000
12/21/2023 01:09:58,619000,-1000.000
12/21/2023 01:09:58,620000,-1000.000
12/21/2023 01:09:58,621000,-1000.000
12/21/2023 01:09:58,622000,-1000.000
12/21/2023 01:09:58,623000,-1000.000
12/21/2023 01:09:58,624000,-1000.000
12/21/2023 01:09:58,625000,-1000.000
12/21/2023 01:09:58,626000,-1000.000
12/21/2023 01:09:58,627000,-1000.000
12/21/2023 01:09:58,628000,-1000.000
12/21/2023 01:09:58,629000,-1000.000
12/21/2023 01:09:58,630000,-1000.000
12/21/2023 01:09:58,631000,-1000.000
12/21/2023 01:09:58,632000,-1000.000
12/21/2023 01:09:58,633000,-1000.000
12/21/2023 01:09:58,634000,-1000.000
12/21/2023 01:09:58,635000,-1000.000
12/21/2023 01:09:58,636000,-1000.000
12/21/2023 01:09:58,637000,-1000.000
12/21/2023 01:09:58,638000,-1000.000
12/21/2023 01:09:58,639000,-1000.000
12/21/2023 01:09:58,640000,-1000.000
12/21/2023 01:09:58,641000,-1000.000
12/21/2023 01:09:58,642000,-1000.000
12/21/2023 01:09:58,643000,-1000.000
12/21/2023 01:09:58,644000,-1000.000
12/21/2023 01:09:58,645000,-1000.000
12/21/2023 01:09:58,646000,-1000.000
12/21/2023 01:09:58,647000,-1000.000
12/21/2023 01:09:58,648000,-1000.000
12/21/2023 01:09:58,649000,-1000.000
12/21/2023 01:09:58,650000,-1000.000
12/21/2023 01:09:58,651000,-1000.000
12/21/2023 01:09:58,652000,-1000.000
12/21/2023 01:09:58,653000,-1000.000
12/21/2023 01:09:58,654000,-1000.000
12/21/2023 01:09:58,655000,-1000.000
12/21/2023 01:09:58,656000,-1000.000
12/21/2023 01:09:58,657000,-1000.000
12/21/2023 01:09:58,658000,-1000.000
12/21/2023 01:09:58,659000,-1000.000
12/21/2023 01:09:58,660000,-1000.000
12/21/2023 01:09:58,661000,-1000.000
12/21/2023 01:09:58,662000,-1000.000
12/21/2023 01:09:58,663000,-1000.000
12/21/2023 01:09:58,664000,-1000.000
12/21/2023 01:09:58,665000,-1000.000
12/21/2023 01:09:58,666000,-1000.000
12/21/2023 01:09:58,667000,-1000.000
12/21/2023 01:09:58,668000,-1000.000
12/21/2023 01:09:58,669000,-1000.000
12/21/2023 01:09:58,670000,-1000.000
12/21/2023 01:09:58,671000,-1000.000
12/21/2023 01:09:58,672000,-1000.000
12/21/2023 01:09:58,673000,-1000.000
