#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 01:15:59,307000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 01:16:01,707000,-1000.000
12/21/2023 01:16:01,708000,-1000.000
12/21/2023 01:16:01,709000,-1000.000
12/21/2023 01:16:01,710000,-1000.000
12/21/2023 01:16:01,711000,-1000.000
12/21/2023 01:16:01,712000,-1000.000
12/21/2023 01:16:01,713000,-1000.000
12/21/2023 01:16:01,714000,-1000.000
12/21/2023 01:16:01,715000,-1000.000
12/21/2023 01:16:01,716000,-1000.000
12/21/2023 01:16:01,717000,-1000.000
12/21/2023 01:16:01,718000,-1000.000
12/21/2023 01:16:01,719000,-1000.000
12/21/2023 01:16:01,720000,-1000.000
12/21/2023 01:16:01,721000,-1000.000
12/21/2023 01:16:01,722000,-1000.000
12/21/2023 01:16:01,723000,-1000.000
12/21/2023 01:16:01,724000,-1000.000
12/21/2023 01:16:01,725000,-1000.000
12/21/2023 01:16:01,726000,-1000.000
12/21/2023 01:16:01,727000,-1000.000
12/21/2023 01:16:01,728000,-1000.000
12/21/2023 01:16:01,729000,-1000.000
12/21/2023 01:16:01,730000,-1000.000
12/21/2023 01:16:01,731000,-1000.000
12/21/2023 01:16:01,732000,-1000.000
12/21/2023 01:16:01,733000,-1000.000
12/21/2023 01:16:01,734000,-1000.000
12/21/2023 01:16:01,735000,-1000.000
12/21/2023 01:16:01,736000,-1000.000
12/21/2023 01:16:01,737000,-1000.000
12/21/2023 01:16:01,738000,-1000.000
12/21/2023 01:16:01,739000,-1000.000
12/21/2023 01:16:01,740000,-1000.000
12/21/2023 01:16:01,741000,-1000.000
12/21/2023 01:16:01,742000,-1000.000
12/21/2023 01:16:01,743000,-1000.000
12/21/2023 01:16:01,744000,-1000.000
12/21/2023 01:16:01,745000,-1000.000
12/21/2023 01:16:01,746000,-1000.000
12/21/2023 01:16:01,747000,-1000.000
12/21/2023 01:16:01,748000,-1000.000
12/21/2023 01:16:01,749000,-1000.000
12/21/2023 01:16:01,750000,-1000.000
12/21/2023 01:16:01,751000,-1000.000
12/21/2023 01:16:01,752000,-1000.000
12/21/2023 01:16:01,753000,-1000.000
12/21/2023 01:16:01,754000,-1000.000
12/21/2023 01:16:01,755000,-1000.000
12/21/2023 01:16:01,756000,-1000.000
12/21/2023 01:16:01,757000,-1000.000
12/21/2023 01:16:01,758000,-1000.000
12/21/2023 01:16:01,759000,-1000.000
12/21/2023 01:16:01,760000,-1000.000
12/21/2023 01:16:01,761000,-1000.000
12/21/2023 01:16:01,762000,-1000.000
12/21/2023 01:16:01,763000,-1000.000
12/21/2023 01:16:01,764000,-1000.000
12/21/2023 01:16:01,765000,-1000.000
12/21/2023 01:16:01,766000,-1000.000
12/21/2023 01:16:01,767000,-1000.000
12/21/2023 01:16:01,768000,-1000.000
12/21/2023 01:16:01,769000,-1000.000
12/21/2023 01:16:01,770000,-1000.000
12/21/2023 01:16:01,771000,-1000.000
12/21/2023 01:16:01,772000,-1000.000
12/21/2023 01:16:01,773000,-1000.000
