#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/20/2023 20:37:33,311000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/20/2023 20:37:41,111000,-1000.000
12/20/2023 20:37:41,112000,-1000.000
12/20/2023 20:37:41,113000,-1000.000
12/20/2023 20:37:41,114000,-1000.000
12/20/2023 20:37:41,115000,-1000.000
12/20/2023 20:37:41,116000,-1000.000
12/20/2023 20:37:41,117000,-1000.000
12/20/2023 20:37:41,118000,-1000.000
12/20/2023 20:37:41,119000,-1000.000
12/20/2023 20:37:41,120000,-1000.000
12/20/2023 20:37:41,121000,-1000.000
12/20/2023 20:37:41,122000,-1000.000
12/20/2023 20:37:41,123000,-1000.000
12/20/2023 20:37:41,124000,-1000.000
12/20/2023 20:37:41,125000,-1000.000
12/20/2023 20:37:41,126000,-1000.000
12/20/2023 20:37:41,127000,-1000.000
12/20/2023 20:37:41,128000,-1000.000
12/20/2023 20:37:41,129000,-1000.000
12/20/2023 20:37:41,130000,-1000.000
12/20/2023 20:37:41,131000,-1000.000
12/20/2023 20:37:41,132000,-1000.000
12/20/2023 20:37:41,133000,-1000.000
12/20/2023 20:37:41,134000,-1000.000
12/20/2023 20:37:41,135000,-1000.000
12/20/2023 20:37:41,136000,-1000.000
12/20/2023 20:37:41,137000,-1000.000
12/20/2023 20:37:41,138000,-1000.000
12/20/2023 20:37:41,139000,-1000.000
12/20/2023 20:37:41,140000,-1000.000
12/20/2023 20:37:41,141000,-1000.000
12/20/2023 20:37:41,142000,-1000.000
12/20/2023 20:37:41,143000,-1000.000
12/20/2023 20:37:41,144000,-1000.000
12/20/2023 20:37:41,145000,-1000.000
12/20/2023 20:37:41,146000,-1000.000
12/20/2023 20:37:41,147000,-1000.000
12/20/2023 20:37:41,148000,-1000.000
12/20/2023 20:37:41,149000,-1000.000
12/20/2023 20:37:41,150000,-1000.000
12/20/2023 20:37:41,151000,-1000.000
12/20/2023 20:37:41,152000,-1000.000
12/20/2023 20:37:41,153000,-1000.000
12/20/2023 20:37:41,154000,-1000.000
12/20/2023 20:37:41,155000,-1000.000
12/20/2023 20:37:41,156000,-1000.000
12/20/2023 20:37:41,157000,-1000.000
12/20/2023 20:37:41,158000,-1000.000
12/20/2023 20:37:41,159000,-1000.000
12/20/2023 20:37:41,160000,-1000.000
12/20/2023 20:37:41,161000,-1000.000
12/20/2023 20:37:41,162000,-1000.000
12/20/2023 20:37:41,163000,-1000.000
12/20/2023 20:37:41,164000,-1000.000
12/20/2023 20:37:41,165000,-1000.000
12/20/2023 20:37:41,166000,-1000.000
12/20/2023 20:37:41,167000,-1000.000
12/20/2023 20:37:41,168000,-1000.000
12/20/2023 20:37:41,169000,-1000.000
12/20/2023 20:37:41,170000,-1000.000
12/20/2023 20:37:41,171000,-1000.000
12/20/2023 20:37:41,172000,-1000.000
12/20/2023 20:37:41,173000,-1000.000
12/20/2023 20:37:41,174000,-1000.000
12/20/2023 20:37:41,175000,-1000.000
12/20/2023 20:37:41,176000,-1000.000
12/20/2023 20:37:41,177000,-1000.000
12/20/2023 20:37:41,178000,-1000.000
12/20/2023 20:37:41,179000,-1000.000
12/20/2023 20:37:41,180000,-1000.000
12/20/2023 20:37:41,181000,-1000.000
12/20/2023 20:37:41,182000,-1000.000
12/20/2023 20:37:41,183000,-1000.000
12/20/2023 20:37:41,184000,-1000.000
12/20/2023 20:37:41,185000,-1000.000
12/20/2023 20:37:41,186000,-1000.000
12/20/2023 20:37:41,187000,-1000.000
12/20/2023 20:37:41,188000,-1000.000
12/20/2023 20:37:41,189000,-1000.000
12/20/2023 20:37:41,190000,-1000.000
12/20/2023 20:37:41,191000,-1000.000
12/20/2023 20:37:41,192000,-1000.000
12/20/2023 20:37:41,193000,-1000.000
12/20/2023 20:37:41,194000,-1000.000
12/20/2023 20:37:41,195000,-1000.000
12/20/2023 20:37:41,196000,-1000.000
12/20/2023 20:37:41,197000,-1000.000
12/20/2023 20:37:41,198000,-1000.000
12/20/2023 20:37:41,199000,-1000.000
12/20/2023 20:37:41,200000,-1000.000
12/20/2023 20:37:41,201000,-1000.000
12/20/2023 20:37:41,202000,-1000.000
12/20/2023 20:37:41,203000,-1000.000
12/20/2023 20:37:41,204000,-1000.000
12/20/2023 20:37:41,205000,-1000.000
12/20/2023 20:37:41,206000,-1000.000
12/20/2023 20:37:41,207000,-1000.000
12/20/2023 20:37:41,208000,-1000.000
12/20/2023 20:37:41,209000,-1000.000
12/20/2023 20:37:41,210000,-1000.000
12/20/2023 20:37:41,211000,-1000.000
12/20/2023 20:37:41,212000,-1000.000
12/20/2023 20:37:41,213000,-1000.000
12/20/2023 20:37:41,214000,-1000.000
12/20/2023 20:37:41,215000,-1000.000
12/20/2023 20:37:41,216000,-1000.000
12/20/2023 20:37:41,217000,-1000.000
12/20/2023 20:37:41,218000,-1000.000
12/20/2023 20:37:41,219000,-1000.000
12/20/2023 20:37:41,220000,-1000.000
12/20/2023 20:37:41,221000,-1000.000
12/20/2023 20:37:41,222000,-1000.000
12/20/2023 20:37:41,223000,-1000.000
