#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/20/2023 18:25:44,590000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/20/2023 18:25:49,990000,-1000.000
12/20/2023 18:25:49,991000,-1000.000
12/20/2023 18:25:49,992000,-1000.000
12/20/2023 18:25:49,993000,-1000.000
12/20/2023 18:25:49,994000,-1000.000
12/20/2023 18:25:49,995000,-1000.000
12/20/2023 18:25:49,996000,-1000.000
12/20/2023 18:25:49,997000,-1000.000
12/20/2023 18:25:49,998000,-1000.000
12/20/2023 18:25:49,999000,-1000.000
12/20/2023 18:25:50,000000,-1000.000
12/20/2023 18:25:50,001000,-1000.000
12/20/2023 18:25:50,002000,-1000.000
12/20/2023 18:25:50,003000,-1000.000
12/20/2023 18:25:50,004000,-1000.000
12/20/2023 18:25:50,005000,-1000.000
12/20/2023 18:25:50,006000,-1000.000
12/20/2023 18:25:50,007000,-1000.000
12/20/2023 18:25:50,008000,-1000.000
12/20/2023 18:25:50,009000,-1000.000
12/20/2023 18:25:50,010000,-1000.000
12/20/2023 18:25:50,011000,-1000.000
12/20/2023 18:25:50,012000,-1000.000
12/20/2023 18:25:50,013000,-1000.000
12/20/2023 18:25:50,014000,-1000.000
12/20/2023 18:25:50,015000,-1000.000
12/20/2023 18:25:50,016000,-1000.000
12/20/2023 18:25:50,017000,-1000.000
12/20/2023 18:25:50,018000,-1000.000
12/20/2023 18:25:50,019000,-1000.000
12/20/2023 18:25:50,020000,-1000.000
12/20/2023 18:25:50,021000,-1000.000
12/20/2023 18:25:50,022000,-1000.000
12/20/2023 18:25:50,023000,-1000.000
12/20/2023 18:25:50,024000,-1000.000
12/20/2023 18:25:50,025000,-1000.000
12/20/2023 18:25:50,026000,-1000.000
12/20/2023 18:25:50,027000,-1000.000
12/20/2023 18:25:50,028000,-1000.000
12/20/2023 18:25:50,029000,-1000.000
12/20/2023 18:25:50,030000,-1000.000
12/20/2023 18:25:50,031000,-1000.000
12/20/2023 18:25:50,032000,-1000.000
12/20/2023 18:25:50,033000,-1000.000
12/20/2023 18:25:50,034000,-1000.000
12/20/2023 18:25:50,035000,-1000.000
12/20/2023 18:25:50,036000,-1000.000
12/20/2023 18:25:50,037000,-1000.000
12/20/2023 18:25:50,038000,-1000.000
12/20/2023 18:25:50,039000,-1000.000
12/20/2023 18:25:50,040000,-1000.000
12/20/2023 18:25:50,041000,-1000.000
12/20/2023 18:25:50,042000,-1000.000
12/20/2023 18:25:50,043000,-1000.000
12/20/2023 18:25:50,044000,-1000.000
12/20/2023 18:25:50,045000,-1000.000
12/20/2023 18:25:50,046000,-1000.000
12/20/2023 18:25:50,047000,-1000.000
12/20/2023 18:25:50,048000,-1000.000
12/20/2023 18:25:50,049000,-1000.000
12/20/2023 18:25:50,050000,-1000.000
12/20/2023 18:25:50,051000,-1000.000
12/20/2023 18:25:50,052000,-1000.000
12/20/2023 18:25:50,053000,-1000.000
12/20/2023 18:25:50,054000,-1000.000
12/20/2023 18:25:50,055000,-1000.000
12/20/2023 18:25:50,056000,-1000.000
12/20/2023 18:25:50,057000,-1000.000
12/20/2023 18:25:50,058000,-1000.000
12/20/2023 18:25:50,059000,-1000.000
12/20/2023 18:25:50,060000,-1000.000
12/20/2023 18:25:50,061000,-1000.000
12/20/2023 18:25:50,062000,-1000.000
12/20/2023 18:25:50,063000,-1000.000
12/20/2023 18:25:50,064000,-1000.000
12/20/2023 18:25:50,065000,-1000.000
12/20/2023 18:25:50,066000,-1000.000
12/20/2023 18:25:50,067000,-1000.000
12/20/2023 18:25:50,068000,-1000.000
12/20/2023 18:25:50,069000,-1000.000
12/20/2023 18:25:50,070000,-1000.000
12/20/2023 18:25:50,071000,-1000.000
12/20/2023 18:25:50,072000,-1000.000
12/20/2023 18:25:50,073000,-1000.000
12/20/2023 18:25:50,074000,-1000.000
12/20/2023 18:25:50,075000,-1000.000
12/20/2023 18:25:50,076000,-1000.000
12/20/2023 18:25:50,077000,-1000.000
12/20/2023 18:25:50,078000,-1000.000
12/20/2023 18:25:50,079000,-1000.000
12/20/2023 18:25:50,080000,-1000.000
12/20/2023 18:25:50,081000,-1000.000
12/20/2023 18:25:50,082000,-1000.000
12/20/2023 18:25:50,083000,-1000.000
12/20/2023 18:25:50,084000,-1000.000
12/20/2023 18:25:50,085000,-1000.000
12/20/2023 18:25:50,086000,-1000.000
12/20/2023 18:25:50,087000,-1000.000
12/20/2023 18:25:50,088000,-1000.000
