#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 20:09:24,784000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 20:09:57,284000,-0.731
12/21/2023 20:09:57,285000,-0.731
12/21/2023 20:09:57,286000,-0.731
12/21/2023 20:09:57,287000,-0.731
12/21/2023 20:09:57,288000,-0.731
12/21/2023 20:09:57,289000,-0.731
12/21/2023 20:09:57,290000,-0.731
12/21/2023 20:09:57,291000,-0.731
12/21/2023 20:09:57,292000,-0.731
12/21/2023 20:09:57,293000,-0.731
12/21/2023 20:09:57,294000,-0.731
12/21/2023 20:09:57,295000,-0.731
12/21/2023 20:09:57,296000,-0.731
12/21/2023 20:09:57,297000,-0.731
12/21/2023 20:09:57,298000,-0.731
12/21/2023 20:09:57,299000,-0.731
12/21/2023 20:09:57,300000,-0.731
12/21/2023 20:09:57,301000,-0.731
12/21/2023 20:09:57,302000,-0.731
12/21/2023 20:09:57,303000,-0.731
12/21/2023 20:09:57,304000,-0.731
12/21/2023 20:09:57,305000,-0.731
12/21/2023 20:09:57,306000,-0.732
12/21/2023 20:09:57,307000,-0.732
12/21/2023 20:09:57,308000,-0.732
12/21/2023 20:09:57,309000,-0.732
12/21/2023 20:09:57,310000,-0.733
12/21/2023 20:09:57,311000,-0.733
12/21/2023 20:09:57,312000,-0.734
12/21/2023 20:09:57,313000,-0.734
12/21/2023 20:09:57,314000,-0.735
12/21/2023 20:09:57,315000,-0.735
12/21/2023 20:09:57,316000,-0.737
12/21/2023 20:09:57,317000,-0.737
12/21/2023 20:09:57,318000,-0.739
12/21/2023 20:09:57,319000,-0.739
12/21/2023 20:09:57,320000,-0.741
12/21/2023 20:09:57,321000,-0.741
12/21/2023 20:09:57,322000,-0.745
12/21/2023 20:09:57,323000,-0.745
12/21/2023 20:09:57,324000,-0.750
12/21/2023 20:09:57,325000,-0.750
12/21/2023 20:09:57,326000,-0.755
12/21/2023 20:09:57,327000,-0.755
12/21/2023 20:09:57,328000,-0.762
12/21/2023 20:09:57,329000,-0.762
12/21/2023 20:09:57,330000,-0.762
12/21/2023 20:09:57,331000,-0.769
12/21/2023 20:09:57,332000,-0.769
12/21/2023 20:09:57,333000,-0.778
12/21/2023 20:09:57,334000,-0.778
12/21/2023 20:09:57,335000,-0.789
12/21/2023 20:09:57,336000,-0.789
12/21/2023 20:09:57,337000,-0.800
12/21/2023 20:09:57,338000,-0.800
12/21/2023 20:09:57,339000,-0.814
12/21/2023 20:09:57,340000,-0.814
12/21/2023 20:09:57,341000,-0.814
12/21/2023 20:09:57,342000,-0.836
12/21/2023 20:09:57,343000,-0.836
12/21/2023 20:09:57,344000,-0.856
12/21/2023 20:09:57,345000,-0.856
12/21/2023 20:09:57,346000,-0.880
12/21/2023 20:09:57,347000,-0.880
12/21/2023 20:09:57,348000,-0.904
12/21/2023 20:09:57,349000,-0.904
