#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 18:21:07,903000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 18:21:11,903000,-1000.000
12/21/2023 18:21:11,904000,-1000.000
12/21/2023 18:21:11,905000,-1000.000
12/21/2023 18:21:11,906000,-1000.000
12/21/2023 18:21:11,907000,-1000.000
12/21/2023 18:21:11,908000,-1000.000
12/21/2023 18:21:11,909000,-1000.000
12/21/2023 18:21:11,910000,-1000.000
12/21/2023 18:21:11,911000,-1000.000
12/21/2023 18:21:11,912000,-1000.000
12/21/2023 18:21:11,913000,-1000.000
12/21/2023 18:21:11,914000,-1000.000
12/21/2023 18:21:11,915000,-1000.000
12/21/2023 18:21:11,916000,-1000.000
12/21/2023 18:21:11,917000,-1000.000
12/21/2023 18:21:11,918000,-1000.000
12/21/2023 18:21:11,919000,-1000.000
12/21/2023 18:21:11,920000,-1000.000
12/21/2023 18:21:11,921000,-1000.000
12/21/2023 18:21:11,922000,-1000.000
12/21/2023 18:21:11,923000,-1000.000
12/21/2023 18:21:11,924000,-1000.000
12/21/2023 18:21:11,925000,-1000.000
12/21/2023 18:21:11,926000,-1000.000
12/21/2023 18:21:11,927000,-1000.000
12/21/2023 18:21:11,928000,-1000.000
12/21/2023 18:21:11,929000,-1000.000
12/21/2023 18:21:11,930000,-1000.000
12/21/2023 18:21:11,931000,-1000.000
12/21/2023 18:21:11,932000,-1000.000
12/21/2023 18:21:11,933000,-1000.000
12/21/2023 18:21:11,934000,-1000.000
12/21/2023 18:21:11,935000,-1000.000
12/21/2023 18:21:11,936000,-1000.000
12/21/2023 18:21:11,937000,-1000.000
12/21/2023 18:21:11,938000,-1000.000
12/21/2023 18:21:11,939000,-1000.000
12/21/2023 18:21:11,940000,-1000.000
12/21/2023 18:21:11,941000,-1000.000
12/21/2023 18:21:11,942000,-1000.000
12/21/2023 18:21:11,943000,-1000.000
12/21/2023 18:21:11,944000,-1000.000
12/21/2023 18:21:11,945000,-1000.000
12/21/2023 18:21:11,946000,-1000.000
12/21/2023 18:21:11,947000,-1000.000
12/21/2023 18:21:11,948000,-1000.000
12/21/2023 18:21:11,949000,-1000.000
12/21/2023 18:21:11,950000,-1000.000
12/21/2023 18:21:11,951000,-1000.000
12/21/2023 18:21:11,952000,-1000.000
12/21/2023 18:21:11,953000,-1000.000
12/21/2023 18:21:11,954000,-1000.000
12/21/2023 18:21:11,955000,-1000.000
12/21/2023 18:21:11,956000,-1000.000
12/21/2023 18:21:11,957000,-1000.000
12/21/2023 18:21:11,958000,-1000.000
12/21/2023 18:21:11,959000,-1000.000
12/21/2023 18:21:11,960000,-1000.000
12/21/2023 18:21:11,961000,-1000.000
12/21/2023 18:21:11,962000,-1000.000
12/21/2023 18:21:11,963000,-1000.000
12/21/2023 18:21:11,964000,-1000.000
12/21/2023 18:21:11,965000,-1000.000
12/21/2023 18:21:11,966000,-1000.000
12/21/2023 18:21:11,967000,-1000.000
12/21/2023 18:21:11,968000,-1000.000
12/21/2023 18:21:11,969000,-1000.000
12/21/2023 18:21:11,970000,-1000.000
12/21/2023 18:21:11,971000,-1000.000
12/21/2023 18:21:11,972000,-1000.000
12/21/2023 18:21:11,973000,-1000.000
12/21/2023 18:21:11,974000,-1000.000
12/21/2023 18:21:11,975000,-1000.000
12/21/2023 18:21:11,976000,-1000.000
12/21/2023 18:21:11,977000,-1000.000
12/21/2023 18:21:11,978000,-1000.000
12/21/2023 18:21:11,979000,-1000.000
12/21/2023 18:21:11,980000,-1000.000
12/21/2023 18:21:11,981000,-1000.000
12/21/2023 18:21:11,982000,-1000.000
12/21/2023 18:21:11,983000,-1000.000
12/21/2023 18:21:11,984000,-1000.000
12/21/2023 18:21:11,985000,-1000.000
12/21/2023 18:21:11,986000,-1000.000
12/21/2023 18:21:11,987000,-1000.000
12/21/2023 18:21:11,988000,-1000.000
12/21/2023 18:21:11,989000,-1000.000
12/21/2023 18:21:11,990000,-1000.000
12/21/2023 18:21:11,991000,-1000.000
12/21/2023 18:21:11,992000,-1000.000
12/21/2023 18:21:11,993000,-1000.000
12/21/2023 18:21:11,994000,-1000.000
12/21/2023 18:21:11,995000,-1000.000
12/21/2023 18:21:11,996000,-1000.000
12/21/2023 18:21:11,997000,-1000.000
12/21/2023 18:21:11,998000,-1000.000
12/21/2023 18:21:11,999000,-1000.000
12/21/2023 18:21:12,000000,-1000.000
12/21/2023 18:21:12,001000,-1000.000
12/21/2023 18:21:12,002000,-1000.000
12/21/2023 18:21:12,003000,-1000.000
12/21/2023 18:21:12,004000,-1000.000
12/21/2023 18:21:12,005000,-1000.000
12/21/2023 18:21:12,006000,-1000.000
12/21/2023 18:21:12,007000,-1000.000
12/21/2023 18:21:12,008000,-1000.000
12/21/2023 18:21:12,009000,-1000.000
12/21/2023 18:21:12,010000,-1000.000
12/21/2023 18:21:12,011000,-1000.000
12/21/2023 18:21:12,012000,-1000.000
12/21/2023 18:21:12,013000,-1000.000
12/21/2023 18:21:12,014000,-1000.000
12/21/2023 18:21:12,015000,-1000.000
12/21/2023 18:21:12,016000,-1000.000
12/21/2023 18:21:12,017000,-1000.000
12/21/2023 18:21:12,018000,-1000.000
12/21/2023 18:21:12,019000,-1000.000
12/21/2023 18:21:12,020000,-1000.000
12/21/2023 18:21:12,021000,-1000.000
12/21/2023 18:21:12,022000,-1000.000
12/21/2023 18:21:12,023000,-1000.000
12/21/2023 18:21:12,024000,-1000.000
12/21/2023 18:21:12,025000,-1000.000
12/21/2023 18:21:12,026000,-1000.000
12/21/2023 18:21:12,027000,-1000.000
12/21/2023 18:21:12,028000,-1000.000
12/21/2023 18:21:12,029000,-1000.000
12/21/2023 18:21:12,030000,-1000.000
12/21/2023 18:21:12,031000,-1000.000
12/21/2023 18:21:12,032000,-1000.000
12/21/2023 18:21:12,033000,-1000.000
12/21/2023 18:21:12,034000,-1000.000
12/21/2023 18:21:12,035000,-1000.000
12/21/2023 18:21:12,036000,-1000.000
12/21/2023 18:21:12,037000,-1000.000
12/21/2023 18:21:12,038000,-1000.000
12/21/2023 18:21:12,039000,-1000.000
12/21/2023 18:21:12,040000,-1000.000
12/21/2023 18:21:12,041000,-1000.000
12/21/2023 18:21:12,042000,-1000.000
12/21/2023 18:21:12,043000,-1000.000
12/21/2023 18:21:12,044000,-1000.000
12/21/2023 18:21:12,045000,-1000.000
12/21/2023 18:21:12,046000,-1000.000
12/21/2023 18:21:12,047000,-1000.000
12/21/2023 18:21:12,048000,-1000.000
12/21/2023 18:21:12,049000,-1000.000
12/21/2023 18:21:12,050000,-1000.000
12/21/2023 18:21:12,051000,-1000.000
12/21/2023 18:21:12,052000,-1000.000
12/21/2023 18:21:12,053000,-1000.000
12/21/2023 18:21:12,054000,-1000.000
12/21/2023 18:21:12,055000,-1000.000
12/21/2023 18:21:12,056000,-1000.000
12/21/2023 18:21:12,057000,-1000.000
12/21/2023 18:21:12,058000,-1000.000
12/21/2023 18:21:12,059000,-1000.000
12/21/2023 18:21:12,060000,-1000.000
12/21/2023 18:21:12,061000,-1000.000
12/21/2023 18:21:12,062000,-1000.000
12/21/2023 18:21:12,063000,-1000.000
12/21/2023 18:21:12,064000,-1000.000
12/21/2023 18:21:12,065000,-1000.000
12/21/2023 18:21:12,066000,-1000.000
12/21/2023 18:21:12,067000,-1000.000
12/21/2023 18:21:12,068000,-1000.000
12/21/2023 18:21:12,069000,-1000.000
12/21/2023 18:21:12,070000,-1000.000
12/21/2023 18:21:12,071000,-1000.000
12/21/2023 18:21:12,072000,-1000.000
12/21/2023 18:21:12,073000,-1000.000
12/21/2023 18:21:12,074000,-1000.000
12/21/2023 18:21:12,075000,-1000.000
12/21/2023 18:21:12,076000,-1000.000
12/21/2023 18:21:12,077000,-1000.000
12/21/2023 18:21:12,078000,-1000.000
12/21/2023 18:21:12,079000,-1000.000
12/21/2023 18:21:12,080000,-1000.000
12/21/2023 18:21:12,081000,-1000.000
12/21/2023 18:21:12,082000,-1000.000
12/21/2023 18:21:12,083000,-1000.000
12/21/2023 18:21:12,084000,-1000.000
12/21/2023 18:21:12,085000,-1000.000
12/21/2023 18:21:12,086000,-1000.000
12/21/2023 18:21:12,087000,-1000.000
12/21/2023 18:21:12,088000,-1000.000
12/21/2023 18:21:12,089000,-1000.000
12/21/2023 18:21:12,090000,-1000.000
12/21/2023 18:21:12,091000,-1000.000
12/21/2023 18:21:12,092000,-1000.000
12/21/2023 18:21:12,093000,-1000.000
12/21/2023 18:21:12,094000,-1000.000
12/21/2023 18:21:12,095000,-1000.000
12/21/2023 18:21:12,096000,-1000.000
12/21/2023 18:21:12,097000,-1000.000
12/21/2023 18:21:12,098000,-1000.000
12/21/2023 18:21:12,099000,-1000.000
12/21/2023 18:21:12,100000,-1000.000
12/21/2023 18:21:12,101000,-1000.000
12/21/2023 18:21:12,102000,-1000.000
12/21/2023 18:21:12,103000,-1000.000
12/21/2023 18:21:12,104000,-1000.000
12/21/2023 18:21:12,105000,-1000.000
12/21/2023 18:21:12,106000,-1000.000
12/21/2023 18:21:12,107000,-1000.000
12/21/2023 18:21:12,108000,-1000.000
12/21/2023 18:21:12,109000,-1000.000
12/21/2023 18:21:12,110000,-1000.000
12/21/2023 18:21:12,111000,-1000.000
12/21/2023 18:21:12,112000,-1000.000
12/21/2023 18:21:12,113000,-1000.000
12/21/2023 18:21:12,114000,-1000.000
12/21/2023 18:21:12,115000,-1000.000
12/21/2023 18:21:12,116000,-1000.000
12/21/2023 18:21:12,117000,-1000.000
12/21/2023 18:21:12,118000,-1000.000
12/21/2023 18:21:12,119000,-1000.000
12/21/2023 18:21:12,120000,-1000.000
12/21/2023 18:21:12,121000,-1000.000
12/21/2023 18:21:12,122000,-1000.000
12/21/2023 18:21:12,123000,-1000.000
12/21/2023 18:21:12,124000,-1000.000
12/21/2023 18:21:12,125000,-1000.000
12/21/2023 18:21:12,126000,-1000.000
12/21/2023 18:21:12,127000,-1000.000
12/21/2023 18:21:12,128000,-1000.000
12/21/2023 18:21:12,129000,-1000.000
12/21/2023 18:21:12,130000,-1000.000
12/21/2023 18:21:12,131000,-1000.000
12/21/2023 18:21:12,132000,-1000.000
12/21/2023 18:21:12,133000,-1000.000
12/21/2023 18:21:12,134000,-1000.000
12/21/2023 18:21:12,135000,-1000.000
12/21/2023 18:21:12,136000,-1000.000
12/21/2023 18:21:12,137000,-1000.000
12/21/2023 18:21:12,138000,-1000.000
12/21/2023 18:21:12,139000,-1000.000
12/21/2023 18:21:12,140000,-1000.000
12/21/2023 18:21:12,141000,-1000.000
12/21/2023 18:21:12,142000,-1000.000
12/21/2023 18:21:12,143000,-1000.000
12/21/2023 18:21:12,144000,-1000.000
12/21/2023 18:21:12,145000,-1000.000
12/21/2023 18:21:12,146000,-1000.000
12/21/2023 18:21:12,147000,-1000.000
12/21/2023 18:21:12,148000,-1000.000
12/21/2023 18:21:12,149000,-1000.000
12/21/2023 18:21:12,150000,-1000.000
12/21/2023 18:21:12,151000,-1000.000
12/21/2023 18:21:12,152000,-1000.000
12/21/2023 18:21:12,153000,-1000.000
12/21/2023 18:21:12,154000,-1000.000
12/21/2023 18:21:12,155000,-1000.000
12/21/2023 18:21:12,156000,-1000.000
12/21/2023 18:21:12,157000,-1000.000
12/21/2023 18:21:12,158000,-1000.000
12/21/2023 18:21:12,159000,-1000.000
12/21/2023 18:21:12,160000,-1000.000
12/21/2023 18:21:12,161000,-1000.000
12/21/2023 18:21:12,162000,-1000.000
12/21/2023 18:21:12,163000,-1000.000
12/21/2023 18:21:12,164000,-1000.000
12/21/2023 18:21:12,165000,-1000.000
12/21/2023 18:21:12,166000,-1000.000
12/21/2023 18:21:12,167000,-1000.000
12/21/2023 18:21:12,168000,-1000.000
12/21/2023 18:21:12,169000,-1000.000
12/21/2023 18:21:12,170000,-1000.000
12/21/2023 18:21:12,171000,-1000.000
12/21/2023 18:21:12,172000,-1000.000
12/21/2023 18:21:12,173000,-1000.000
12/21/2023 18:21:12,174000,-1000.000
12/21/2023 18:21:12,175000,-1000.000
12/21/2023 18:21:12,176000,-1000.000
12/21/2023 18:21:12,177000,-1000.000
12/21/2023 18:21:12,178000,-1000.000
12/21/2023 18:21:12,179000,-1000.000
12/21/2023 18:21:12,180000,-1000.000
12/21/2023 18:21:12,181000,-1000.000
12/21/2023 18:21:12,182000,-1000.000
12/21/2023 18:21:12,183000,-1000.000
12/21/2023 18:21:12,184000,-1000.000
12/21/2023 18:21:12,185000,-1000.000
12/21/2023 18:21:12,186000,-1000.000
12/21/2023 18:21:12,187000,-1000.000
12/21/2023 18:21:12,188000,-1000.000
12/21/2023 18:21:12,189000,-1000.000
12/21/2023 18:21:12,190000,-1000.000
12/21/2023 18:21:12,191000,-1000.000
12/21/2023 18:21:12,192000,-1000.000
12/21/2023 18:21:12,193000,-1000.000
12/21/2023 18:21:12,194000,-1000.000
12/21/2023 18:21:12,195000,-1000.000
12/21/2023 18:21:12,196000,-1000.000
12/21/2023 18:21:12,197000,-1000.000
12/21/2023 18:21:12,198000,-1000.000
12/21/2023 18:21:12,199000,-1000.000
12/21/2023 18:21:12,200000,-1000.000
12/21/2023 18:21:12,201000,-1000.000
12/21/2023 18:21:12,202000,-1000.000
12/21/2023 18:21:12,203000,-1000.000
12/21/2023 18:21:12,204000,-1000.000
12/21/2023 18:21:12,205000,-1000.000
12/21/2023 18:21:12,206000,-1000.000
12/21/2023 18:21:12,207000,-1000.000
12/21/2023 18:21:12,208000,-1000.000
12/21/2023 18:21:12,209000,-1000.000
12/21/2023 18:21:12,210000,-1000.000
12/21/2023 18:21:12,211000,-1000.000
12/21/2023 18:21:12,212000,-1000.000
12/21/2023 18:21:12,213000,-1000.000
12/21/2023 18:21:12,214000,-1000.000
12/21/2023 18:21:12,215000,-1000.000
12/21/2023 18:21:12,216000,-1000.000
12/21/2023 18:21:12,217000,-1000.000
12/21/2023 18:21:12,218000,-1000.000
12/21/2023 18:21:12,219000,-1000.000
12/21/2023 18:21:12,220000,-1000.000
12/21/2023 18:21:12,221000,-1000.000
12/21/2023 18:21:12,222000,-1000.000
12/21/2023 18:21:12,223000,-1000.000
12/21/2023 18:21:12,224000,-1000.000
12/21/2023 18:21:12,225000,-1000.000
12/21/2023 18:21:12,226000,-1000.000
12/21/2023 18:21:12,227000,-1000.000
12/21/2023 18:21:12,228000,-1000.000
12/21/2023 18:21:12,229000,-1000.000
12/21/2023 18:21:12,230000,-1000.000
12/21/2023 18:21:12,231000,-1000.000
12/21/2023 18:21:12,232000,-1000.000
12/21/2023 18:21:12,233000,-1000.000
12/21/2023 18:21:12,234000,-1000.000
12/21/2023 18:21:12,235000,-1000.000
12/21/2023 18:21:12,236000,-1000.000
12/21/2023 18:21:12,237000,-1000.000
12/21/2023 18:21:12,238000,-1000.000
12/21/2023 18:21:12,239000,-1000.000
12/21/2023 18:21:12,240000,-1000.000
12/21/2023 18:21:12,241000,-1000.000
12/21/2023 18:21:12,242000,-1000.000
12/21/2023 18:21:12,243000,-1000.000
12/21/2023 18:21:12,244000,-1000.000
12/21/2023 18:21:12,245000,-1000.000
12/21/2023 18:21:12,246000,-1000.000
12/21/2023 18:21:12,247000,-1000.000
12/21/2023 18:21:12,248000,-1000.000
12/21/2023 18:21:12,249000,-1000.000
12/21/2023 18:21:12,250000,-1000.000
12/21/2023 18:21:12,251000,-1000.000
12/21/2023 18:21:12,252000,-1000.000
12/21/2023 18:21:12,253000,-1000.000
12/21/2023 18:21:12,254000,-1000.000
