#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 18:20:27,740000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 18:20:31,040000,-1000.000
12/21/2023 18:20:31,041000,-1000.000
12/21/2023 18:20:31,042000,-1000.000
12/21/2023 18:20:31,043000,-1000.000
12/21/2023 18:20:31,044000,-1000.000
12/21/2023 18:20:31,045000,-1000.000
12/21/2023 18:20:31,046000,-1000.000
12/21/2023 18:20:31,047000,-1000.000
12/21/2023 18:20:31,048000,-1000.000
12/21/2023 18:20:31,049000,-1000.000
12/21/2023 18:20:31,050000,-1000.000
12/21/2023 18:20:31,051000,-1000.000
12/21/2023 18:20:31,052000,-1000.000
12/21/2023 18:20:31,053000,-1000.000
12/21/2023 18:20:31,054000,-1000.000
12/21/2023 18:20:31,055000,-1000.000
12/21/2023 18:20:31,056000,-1000.000
12/21/2023 18:20:31,057000,-1000.000
12/21/2023 18:20:31,058000,-1000.000
12/21/2023 18:20:31,059000,-1000.000
12/21/2023 18:20:31,060000,-1000.000
12/21/2023 18:20:31,061000,-1000.000
12/21/2023 18:20:31,062000,-1000.000
12/21/2023 18:20:31,063000,-1000.000
12/21/2023 18:20:31,064000,-1000.000
12/21/2023 18:20:31,065000,-1000.000
12/21/2023 18:20:31,066000,-1000.000
12/21/2023 18:20:31,067000,-1000.000
12/21/2023 18:20:31,068000,-1000.000
12/21/2023 18:20:31,069000,-1000.000
12/21/2023 18:20:31,070000,-1000.000
12/21/2023 18:20:31,071000,-1000.000
12/21/2023 18:20:31,072000,-1000.000
12/21/2023 18:20:31,073000,-1000.000
12/21/2023 18:20:31,074000,-1000.000
12/21/2023 18:20:31,075000,-1000.000
12/21/2023 18:20:31,076000,-1000.000
12/21/2023 18:20:31,077000,-1000.000
12/21/2023 18:20:31,078000,-1000.000
12/21/2023 18:20:31,079000,-1000.000
12/21/2023 18:20:31,080000,-1000.000
12/21/2023 18:20:31,081000,-1000.000
12/21/2023 18:20:31,082000,-1000.000
12/21/2023 18:20:31,083000,-1000.000
12/21/2023 18:20:31,084000,-1000.000
12/21/2023 18:20:31,085000,-1000.000
12/21/2023 18:20:31,086000,-1000.000
12/21/2023 18:20:31,087000,-1000.000
12/21/2023 18:20:31,088000,-1000.000
12/21/2023 18:20:31,089000,-1000.000
12/21/2023 18:20:31,090000,-1000.000
12/21/2023 18:20:31,091000,-1000.000
12/21/2023 18:20:31,092000,-1000.000
12/21/2023 18:20:31,093000,-1000.000
12/21/2023 18:20:31,094000,-1000.000
12/21/2023 18:20:31,095000,-1000.000
12/21/2023 18:20:31,096000,-1000.000
12/21/2023 18:20:31,097000,-1000.000
12/21/2023 18:20:31,098000,-1000.000
12/21/2023 18:20:31,099000,-1000.000
12/21/2023 18:20:31,100000,-1000.000
12/21/2023 18:20:31,101000,-1000.000
12/21/2023 18:20:31,102000,-1000.000
12/21/2023 18:20:31,103000,-1000.000
