#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 18:17:53,371000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 18:18:00,671000,-1000.000
12/21/2023 18:18:00,672000,-1000.000
12/21/2023 18:18:00,673000,-1000.000
12/21/2023 18:18:00,674000,-1000.000
12/21/2023 18:18:00,675000,-1000.000
12/21/2023 18:18:00,676000,-1000.000
12/21/2023 18:18:00,677000,-1000.000
12/21/2023 18:18:00,678000,-1000.000
12/21/2023 18:18:00,679000,-1000.000
12/21/2023 18:18:00,680000,-1000.000
12/21/2023 18:18:00,681000,-1000.000
12/21/2023 18:18:00,682000,-1000.000
12/21/2023 18:18:00,683000,-1000.000
12/21/2023 18:18:00,684000,-1000.000
12/21/2023 18:18:00,685000,-1000.000
12/21/2023 18:18:00,686000,-1000.000
12/21/2023 18:18:00,687000,-1000.000
12/21/2023 18:18:00,688000,-1000.000
12/21/2023 18:18:00,689000,-1000.000
12/21/2023 18:18:00,690000,-1000.000
12/21/2023 18:18:00,691000,-1000.000
12/21/2023 18:18:00,692000,-1000.000
12/21/2023 18:18:00,693000,-1000.000
12/21/2023 18:18:00,694000,-1000.000
12/21/2023 18:18:00,695000,-1000.000
12/21/2023 18:18:00,696000,-1000.000
12/21/2023 18:18:00,697000,-1000.000
12/21/2023 18:18:00,698000,-1000.000
12/21/2023 18:18:00,699000,-1000.000
12/21/2023 18:18:00,700000,-1000.000
12/21/2023 18:18:00,701000,-1000.000
12/21/2023 18:18:00,702000,-1000.000
12/21/2023 18:18:00,703000,-1000.000
12/21/2023 18:18:00,704000,-1000.000
12/21/2023 18:18:00,705000,-1000.000
12/21/2023 18:18:00,706000,-1000.000
12/21/2023 18:18:00,707000,-1000.000
12/21/2023 18:18:00,708000,-1000.000
12/21/2023 18:18:00,709000,-1000.000
12/21/2023 18:18:00,710000,-1000.000
12/21/2023 18:18:00,711000,-1000.000
12/21/2023 18:18:00,712000,-1000.000
12/21/2023 18:18:00,713000,-1000.000
12/21/2023 18:18:00,714000,-1000.000
12/21/2023 18:18:00,715000,-1000.000
12/21/2023 18:18:00,716000,-1000.000
12/21/2023 18:18:00,717000,-1000.000
12/21/2023 18:18:00,718000,-1000.000
12/21/2023 18:18:00,719000,-1000.000
12/21/2023 18:18:00,720000,-1000.000
12/21/2023 18:18:00,721000,-1000.000
12/21/2023 18:18:00,722000,-1000.000
12/21/2023 18:18:00,723000,-1000.000
12/21/2023 18:18:00,724000,-1000.000
12/21/2023 18:18:00,725000,-1000.000
12/21/2023 18:18:00,726000,-1000.000
12/21/2023 18:18:00,727000,-1000.000
12/21/2023 18:18:00,728000,-1000.000
12/21/2023 18:18:00,729000,-1000.000
12/21/2023 18:18:00,730000,-1000.000
12/21/2023 18:18:00,731000,-1000.000
12/21/2023 18:18:00,732000,-1000.000
12/21/2023 18:18:00,733000,-1000.000
12/21/2023 18:18:00,734000,-1000.000
12/21/2023 18:18:00,735000,-1000.000
12/21/2023 18:18:00,736000,-1000.000
12/21/2023 18:18:00,737000,-1000.000
12/21/2023 18:18:00,738000,-1000.000
12/21/2023 18:18:00,739000,-1000.000
12/21/2023 18:18:00,740000,-1000.000
12/21/2023 18:18:00,741000,-1000.000
12/21/2023 18:18:00,742000,-1000.000
12/21/2023 18:18:00,743000,-1000.000
12/21/2023 18:18:00,744000,-1000.000
12/21/2023 18:18:00,745000,-1000.000
12/21/2023 18:18:00,746000,-1000.000
12/21/2023 18:18:00,747000,-1000.000
12/21/2023 18:18:00,748000,-1000.000
12/21/2023 18:18:00,749000,-1000.000
12/21/2023 18:18:00,750000,-1000.000
12/21/2023 18:18:00,751000,-1000.000
12/21/2023 18:18:00,752000,-1000.000
12/21/2023 18:18:00,753000,-1000.000
12/21/2023 18:18:00,754000,-1000.000
12/21/2023 18:18:00,755000,-1000.000
12/21/2023 18:18:00,756000,-1000.000
12/21/2023 18:18:00,757000,-1000.000
12/21/2023 18:18:00,758000,-1000.000
12/21/2023 18:18:00,759000,-1000.000
12/21/2023 18:18:00,760000,-1000.000
12/21/2023 18:18:00,761000,-1000.000
12/21/2023 18:18:00,762000,-1000.000
12/21/2023 18:18:00,763000,-1000.000
12/21/2023 18:18:00,764000,-1000.000
12/21/2023 18:18:00,765000,-1000.000
12/21/2023 18:18:00,766000,-1000.000
12/21/2023 18:18:00,767000,-1000.000
12/21/2023 18:18:00,768000,-1000.000
12/21/2023 18:18:00,769000,-1000.000
12/21/2023 18:18:00,770000,-1000.000
12/21/2023 18:18:00,771000,-1000.000
12/21/2023 18:18:00,772000,-1000.000
12/21/2023 18:18:00,773000,-1000.000
12/21/2023 18:18:00,774000,-1000.000
12/21/2023 18:18:00,775000,-1000.000
12/21/2023 18:18:00,776000,-1000.000
12/21/2023 18:18:00,777000,-1000.000
12/21/2023 18:18:00,778000,-1000.000
12/21/2023 18:18:00,779000,-1000.000
12/21/2023 18:18:00,780000,-1000.000
12/21/2023 18:18:00,781000,-1000.000
12/21/2023 18:18:00,782000,-1000.000
12/21/2023 18:18:00,783000,-1000.000
12/21/2023 18:18:00,784000,-1000.000
12/21/2023 18:18:00,785000,-1000.000
12/21/2023 18:18:00,786000,-1000.000
12/21/2023 18:18:00,787000,-1000.000
12/21/2023 18:18:00,788000,-1000.000
12/21/2023 18:18:00,789000,-1000.000
12/21/2023 18:18:00,790000,-1000.000
12/21/2023 18:18:00,791000,-1000.000
12/21/2023 18:18:00,792000,-1000.000
12/21/2023 18:18:00,793000,-1000.000
12/21/2023 18:18:00,794000,-1000.000
12/21/2023 18:18:00,795000,-1000.000
12/21/2023 18:18:00,796000,-1000.000
12/21/2023 18:18:00,797000,-1000.000
12/21/2023 18:18:00,798000,-1000.000
12/21/2023 18:18:00,799000,-1000.000
12/21/2023 18:18:00,800000,-1000.000
12/21/2023 18:18:00,801000,-1000.000
12/21/2023 18:18:00,802000,-1000.000
12/21/2023 18:18:00,803000,-1000.000
12/21/2023 18:18:00,804000,-1000.000
12/21/2023 18:18:00,805000,-1000.000
12/21/2023 18:18:00,806000,-1000.000
12/21/2023 18:18:00,807000,-1000.000
12/21/2023 18:18:00,808000,-1000.000
12/21/2023 18:18:00,809000,-1000.000
12/21/2023 18:18:00,810000,-1000.000
12/21/2023 18:18:00,811000,-1000.000
12/21/2023 18:18:00,812000,-1000.000
12/21/2023 18:18:00,813000,-1000.000
12/21/2023 18:18:00,814000,-1000.000
12/21/2023 18:18:00,815000,-1000.000
12/21/2023 18:18:00,816000,-1000.000
12/21/2023 18:18:00,817000,-1000.000
12/21/2023 18:18:00,818000,-1000.000
12/21/2023 18:18:00,819000,-1000.000
12/21/2023 18:18:00,820000,-1000.000
12/21/2023 18:18:00,821000,-1000.000
12/21/2023 18:18:00,822000,-1000.000
12/21/2023 18:18:00,823000,-1000.000
12/21/2023 18:18:00,824000,-1000.000
12/21/2023 18:18:00,825000,-1000.000
12/21/2023 18:18:00,826000,-1000.000
12/21/2023 18:18:00,827000,-1000.000
12/21/2023 18:18:00,828000,-1000.000
12/21/2023 18:18:00,829000,-1000.000
12/21/2023 18:18:00,830000,-1000.000
12/21/2023 18:18:00,831000,-1000.000
12/21/2023 18:18:00,832000,-1000.000
12/21/2023 18:18:00,833000,-1000.000
12/21/2023 18:18:00,834000,-1000.000
12/21/2023 18:18:00,835000,-1000.000
12/21/2023 18:18:00,836000,-1000.000
12/21/2023 18:18:00,837000,-1000.000
12/21/2023 18:18:00,838000,-1000.000
12/21/2023 18:18:00,839000,-1000.000
12/21/2023 18:18:00,840000,-1000.000
12/21/2023 18:18:00,841000,-1000.000
12/21/2023 18:18:00,842000,-1000.000
12/21/2023 18:18:00,843000,-1000.000
12/21/2023 18:18:00,844000,-1000.000
12/21/2023 18:18:00,845000,-1000.000
12/21/2023 18:18:00,846000,-1000.000
12/21/2023 18:18:00,847000,-1000.000
12/21/2023 18:18:00,848000,-1000.000
12/21/2023 18:18:00,849000,-1000.000
12/21/2023 18:18:00,850000,-1000.000
12/21/2023 18:18:00,851000,-1000.000
12/21/2023 18:18:00,852000,-1000.000
12/21/2023 18:18:00,853000,-1000.000
12/21/2023 18:18:00,854000,-1000.000
12/21/2023 18:18:00,855000,-1000.000
12/21/2023 18:18:00,856000,-1000.000
12/21/2023 18:18:00,857000,-1000.000
12/21/2023 18:18:00,858000,-1000.000
12/21/2023 18:18:00,859000,-1000.000
12/21/2023 18:18:00,860000,-1000.000
12/21/2023 18:18:00,861000,-1000.000
12/21/2023 18:18:00,862000,-1000.000
12/21/2023 18:18:00,863000,-1000.000
12/21/2023 18:18:00,864000,-1000.000
12/21/2023 18:18:00,865000,-1000.000
12/21/2023 18:18:00,866000,-1000.000
12/21/2023 18:18:00,867000,-1000.000
12/21/2023 18:18:00,868000,-1000.000
12/21/2023 18:18:00,869000,-1000.000
12/21/2023 18:18:00,870000,-1000.000
12/21/2023 18:18:00,871000,-1000.000
12/21/2023 18:18:00,872000,-1000.000
12/21/2023 18:18:00,873000,-1000.000
12/21/2023 18:18:00,874000,-1000.000
12/21/2023 18:18:00,875000,-1000.000
12/21/2023 18:18:00,876000,-1000.000
12/21/2023 18:18:00,877000,-1000.000
12/21/2023 18:18:00,878000,-1000.000
12/21/2023 18:18:00,879000,-1000.000
12/21/2023 18:18:00,880000,-1000.000
12/21/2023 18:18:00,881000,-1000.000
12/21/2023 18:18:00,882000,-1000.000
12/21/2023 18:18:00,883000,-1000.000
12/21/2023 18:18:00,884000,-1000.000
12/21/2023 18:18:00,885000,-1000.000
12/21/2023 18:18:00,886000,-1000.000
12/21/2023 18:18:00,887000,-1000.000
12/21/2023 18:18:00,888000,-1000.000
12/21/2023 18:18:00,889000,-1000.000
12/21/2023 18:18:00,890000,-1000.000
12/21/2023 18:18:00,891000,-1000.000
12/21/2023 18:18:00,892000,-1000.000
12/21/2023 18:18:00,893000,-1000.000
12/21/2023 18:18:00,894000,-1000.000
12/21/2023 18:18:00,895000,-1000.000
12/21/2023 18:18:00,896000,-1000.000
12/21/2023 18:18:00,897000,-1000.000
12/21/2023 18:18:00,898000,-1000.000
12/21/2023 18:18:00,899000,-1000.000
12/21/2023 18:18:00,900000,-1000.000
12/21/2023 18:18:00,901000,-1000.000
12/21/2023 18:18:00,902000,-1000.000
12/21/2023 18:18:00,903000,-1000.000
12/21/2023 18:18:00,904000,-1000.000
12/21/2023 18:18:00,905000,-1000.000
12/21/2023 18:18:00,906000,-1000.000
12/21/2023 18:18:00,907000,-1000.000
12/21/2023 18:18:00,908000,-1000.000
12/21/2023 18:18:00,909000,-1000.000
12/21/2023 18:18:00,910000,-1000.000
12/21/2023 18:18:00,911000,-1000.000
12/21/2023 18:18:00,912000,-1000.000
12/21/2023 18:18:00,913000,-1000.000
12/21/2023 18:18:00,914000,-1000.000
12/21/2023 18:18:00,915000,-1000.000
12/21/2023 18:18:00,916000,-1000.000
12/21/2023 18:18:00,917000,-1000.000
12/21/2023 18:18:00,918000,-1000.000
12/21/2023 18:18:00,919000,-1000.000
12/21/2023 18:18:00,920000,-1000.000
12/21/2023 18:18:00,921000,-1000.000
12/21/2023 18:18:00,922000,-1000.000
12/21/2023 18:18:00,923000,-1000.000
12/21/2023 18:18:00,924000,-1000.000
12/21/2023 18:18:00,925000,-1000.000
12/21/2023 18:18:00,926000,-1000.000
12/21/2023 18:18:00,927000,-1000.000
12/21/2023 18:18:00,928000,-1000.000
12/21/2023 18:18:00,929000,-1000.000
12/21/2023 18:18:00,930000,-1000.000
12/21/2023 18:18:00,931000,-1000.000
12/21/2023 18:18:00,932000,-1000.000
12/21/2023 18:18:00,933000,-1000.000
12/21/2023 18:18:00,934000,-1000.000
12/21/2023 18:18:00,935000,-1000.000
12/21/2023 18:18:00,936000,-1000.000
12/21/2023 18:18:00,937000,-1000.000
12/21/2023 18:18:00,938000,-1000.000
12/21/2023 18:18:00,939000,-1000.000
12/21/2023 18:18:00,940000,-1000.000
12/21/2023 18:18:00,941000,-1000.000
12/21/2023 18:18:00,942000,-1000.000
12/21/2023 18:18:00,943000,-1000.000
12/21/2023 18:18:00,944000,-1000.000
12/21/2023 18:18:00,945000,-1000.000
12/21/2023 18:18:00,946000,-1000.000
12/21/2023 18:18:00,947000,-1000.000
12/21/2023 18:18:00,948000,-1000.000
12/21/2023 18:18:00,949000,-1000.000
12/21/2023 18:18:00,950000,-1000.000
12/21/2023 18:18:00,951000,-1000.000
12/21/2023 18:18:00,952000,-1000.000
12/21/2023 18:18:00,953000,-1000.000
12/21/2023 18:18:00,954000,-1000.000
12/21/2023 18:18:00,955000,-1000.000
12/21/2023 18:18:00,956000,-1000.000
12/21/2023 18:18:00,957000,-1000.000
12/21/2023 18:18:00,958000,-1000.000
12/21/2023 18:18:00,959000,-1000.000
12/21/2023 18:18:00,960000,-1000.000
12/21/2023 18:18:00,961000,-1000.000
12/21/2023 18:18:00,962000,-1000.000
12/21/2023 18:18:00,963000,-1000.000
12/21/2023 18:18:00,964000,-1000.000
12/21/2023 18:18:00,965000,-1000.000
12/21/2023 18:18:00,966000,-1000.000
12/21/2023 18:18:00,967000,-1000.000
12/21/2023 18:18:00,968000,-1000.000
12/21/2023 18:18:00,969000,-1000.000
12/21/2023 18:18:00,970000,-1000.000
12/21/2023 18:18:00,971000,-1000.000
12/21/2023 18:18:00,972000,-1000.000
12/21/2023 18:18:00,973000,-1000.000
12/21/2023 18:18:00,974000,-1000.000
12/21/2023 18:18:00,975000,-1000.000
12/21/2023 18:18:00,976000,-1000.000
12/21/2023 18:18:00,977000,-1000.000
12/21/2023 18:18:00,978000,-1000.000
12/21/2023 18:18:00,979000,-1000.000
12/21/2023 18:18:00,980000,-1000.000
12/21/2023 18:18:00,981000,-1000.000
12/21/2023 18:18:00,982000,-1000.000
12/21/2023 18:18:00,983000,-1000.000
12/21/2023 18:18:00,984000,-1000.000
12/21/2023 18:18:00,985000,-1000.000
12/21/2023 18:18:00,986000,-1000.000
12/21/2023 18:18:00,987000,-1000.000
12/21/2023 18:18:00,988000,-1000.000
12/21/2023 18:18:00,989000,-1000.000
12/21/2023 18:18:00,990000,-1000.000
12/21/2023 18:18:00,991000,-1000.000
12/21/2023 18:18:00,992000,-1000.000
12/21/2023 18:18:00,993000,-1000.000
12/21/2023 18:18:00,994000,-1000.000
12/21/2023 18:18:00,995000,-1000.000
12/21/2023 18:18:00,996000,-1000.000
12/21/2023 18:18:00,997000,-1000.000
12/21/2023 18:18:00,998000,-1000.000
12/21/2023 18:18:00,999000,-1000.000
12/21/2023 18:18:01,000000,-1000.000
12/21/2023 18:18:01,001000,-1000.000
12/21/2023 18:18:01,002000,-1000.000
12/21/2023 18:18:01,003000,-1000.000
12/21/2023 18:18:01,004000,-1000.000
12/21/2023 18:18:01,005000,-1000.000
12/21/2023 18:18:01,006000,-1000.000
12/21/2023 18:18:01,007000,-1000.000
12/21/2023 18:18:01,008000,-1000.000
12/21/2023 18:18:01,009000,-1000.000
12/21/2023 18:18:01,010000,-1000.000
12/21/2023 18:18:01,011000,-1000.000
12/21/2023 18:18:01,012000,-1000.000
12/21/2023 18:18:01,013000,-1000.000
12/21/2023 18:18:01,014000,-1000.000
12/21/2023 18:18:01,015000,-1000.000
12/21/2023 18:18:01,016000,-1000.000
12/21/2023 18:18:01,017000,-1000.000
12/21/2023 18:18:01,018000,-1000.000
12/21/2023 18:18:01,019000,-1000.000
12/21/2023 18:18:01,020000,-1000.000
12/21/2023 18:18:01,021000,-1000.000
12/21/2023 18:18:01,022000,-1000.000
12/21/2023 18:18:01,023000,-1000.000
12/21/2023 18:18:01,024000,-1000.000
12/21/2023 18:18:01,025000,-1000.000
12/21/2023 18:18:01,026000,-1000.000
12/21/2023 18:18:01,027000,-1000.000
12/21/2023 18:18:01,028000,-1000.000
12/21/2023 18:18:01,029000,-1000.000
12/21/2023 18:18:01,030000,-1000.000
12/21/2023 18:18:01,031000,-1000.000
12/21/2023 18:18:01,032000,-1000.000
12/21/2023 18:18:01,033000,-1000.000
12/21/2023 18:18:01,034000,-1000.000
12/21/2023 18:18:01,035000,-1000.000
12/21/2023 18:18:01,036000,-1000.000
12/21/2023 18:18:01,037000,-1000.000
12/21/2023 18:18:01,038000,-1000.000
12/21/2023 18:18:01,039000,-1000.000
12/21/2023 18:18:01,040000,-1000.000
12/21/2023 18:18:01,041000,-1000.000
12/21/2023 18:18:01,042000,-1000.000
12/21/2023 18:18:01,043000,-1000.000
12/21/2023 18:18:01,044000,-1000.000
12/21/2023 18:18:01,045000,-1000.000
12/21/2023 18:18:01,046000,-1000.000
12/21/2023 18:18:01,047000,-1000.000
12/21/2023 18:18:01,048000,-1000.000
12/21/2023 18:18:01,049000,-1000.000
12/21/2023 18:18:01,050000,-1000.000
12/21/2023 18:18:01,051000,-1000.000
12/21/2023 18:18:01,052000,-1000.000
12/21/2023 18:18:01,053000,-1000.000
12/21/2023 18:18:01,054000,-1000.000
12/21/2023 18:18:01,055000,-1000.000
12/21/2023 18:18:01,056000,-1000.000
12/21/2023 18:18:01,057000,-1000.000
12/21/2023 18:18:01,058000,-1000.000
12/21/2023 18:18:01,059000,-1000.000
12/21/2023 18:18:01,060000,-1000.000
12/21/2023 18:18:01,061000,-1000.000
12/21/2023 18:18:01,062000,-1000.000
12/21/2023 18:18:01,063000,-1000.000
12/21/2023 18:18:01,064000,-1000.000
12/21/2023 18:18:01,065000,-1000.000
12/21/2023 18:18:01,066000,-1000.000
12/21/2023 18:18:01,067000,-1000.000
12/21/2023 18:18:01,068000,-1000.000
12/21/2023 18:18:01,069000,-1000.000
12/21/2023 18:18:01,070000,-1000.000
12/21/2023 18:18:01,071000,-1000.000
12/21/2023 18:18:01,072000,-1000.000
12/21/2023 18:18:01,073000,-1000.000
12/21/2023 18:18:01,074000,-1000.000
12/21/2023 18:18:01,075000,-1000.000
12/21/2023 18:18:01,076000,-1000.000
12/21/2023 18:18:01,077000,-1000.000
12/21/2023 18:18:01,078000,-1000.000
12/21/2023 18:18:01,079000,-1000.000
