#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 21:29:10,346000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 21:29:17,546000,-1000.000
12/21/2023 21:29:17,547000,-1000.000
12/21/2023 21:29:17,548000,-1000.000
12/21/2023 21:29:17,549000,-1000.000
12/21/2023 21:29:17,550000,-1000.000
12/21/2023 21:29:17,551000,-1000.000
12/21/2023 21:29:17,552000,-1000.000
12/21/2023 21:29:17,553000,-1000.000
12/21/2023 21:29:17,554000,-1000.000
12/21/2023 21:29:17,555000,-1000.000
12/21/2023 21:29:17,556000,-1000.000
12/21/2023 21:29:17,557000,-1000.000
12/21/2023 21:29:17,558000,-1000.000
12/21/2023 21:29:17,559000,-1000.000
12/21/2023 21:29:17,560000,-1000.000
12/21/2023 21:29:17,561000,-1000.000
12/21/2023 21:29:17,562000,-1000.000
12/21/2023 21:29:17,563000,-1000.000
12/21/2023 21:29:17,564000,-1000.000
12/21/2023 21:29:17,565000,-1000.000
12/21/2023 21:29:17,566000,-1000.000
12/21/2023 21:29:17,567000,-1000.000
12/21/2023 21:29:17,568000,-1000.000
12/21/2023 21:29:17,569000,-1000.000
12/21/2023 21:29:17,570000,-1000.000
12/21/2023 21:29:17,571000,-1000.000
12/21/2023 21:29:17,572000,-1000.000
12/21/2023 21:29:17,573000,-1000.000
12/21/2023 21:29:17,574000,-1000.000
12/21/2023 21:29:17,575000,-1000.000
12/21/2023 21:29:17,576000,-1000.000
12/21/2023 21:29:17,577000,-1000.000
12/21/2023 21:29:17,578000,-1000.000
12/21/2023 21:29:17,579000,-1000.000
12/21/2023 21:29:17,580000,-1000.000
12/21/2023 21:29:17,581000,-1000.000
12/21/2023 21:29:17,582000,-1000.000
12/21/2023 21:29:17,583000,-1000.000
12/21/2023 21:29:17,584000,-1000.000
12/21/2023 21:29:17,585000,-1000.000
12/21/2023 21:29:17,586000,-1000.000
12/21/2023 21:29:17,587000,-1000.000
12/21/2023 21:29:17,588000,-1000.000
12/21/2023 21:29:17,589000,-1000.000
12/21/2023 21:29:17,590000,-1000.000
12/21/2023 21:29:17,591000,-1000.000
12/21/2023 21:29:17,592000,-1000.000
12/21/2023 21:29:17,593000,-1000.000
12/21/2023 21:29:17,594000,-1000.000
12/21/2023 21:29:17,595000,-1000.000
12/21/2023 21:29:17,596000,-1000.000
12/21/2023 21:29:17,597000,-1000.000
12/21/2023 21:29:17,598000,-1000.000
12/21/2023 21:29:17,599000,-1000.000
12/21/2023 21:29:17,600000,-1000.000
12/21/2023 21:29:17,601000,-1000.000
12/21/2023 21:29:17,602000,-1000.000
12/21/2023 21:29:17,603000,-1000.000
12/21/2023 21:29:17,604000,-1000.000
12/21/2023 21:29:17,605000,-1000.000
12/21/2023 21:29:17,606000,-1000.000
12/21/2023 21:29:17,607000,-1000.000
12/21/2023 21:29:17,608000,-1000.000
12/21/2023 21:29:17,609000,-1000.000
12/21/2023 21:29:17,610000,-1000.000
12/21/2023 21:29:17,611000,-1000.000
12/21/2023 21:29:17,612000,-1000.000
12/21/2023 21:29:17,613000,-1000.000
12/21/2023 21:29:17,614000,-1000.000
12/21/2023 21:29:17,615000,-1000.000
12/21/2023 21:29:17,616000,-1000.000
12/21/2023 21:29:17,617000,-1000.000
12/21/2023 21:29:17,618000,-1000.000
12/21/2023 21:29:17,619000,-1000.000
12/21/2023 21:29:17,620000,-1000.000
12/21/2023 21:29:17,621000,-1000.000
12/21/2023 21:29:17,622000,-1000.000
12/21/2023 21:29:17,623000,-1000.000
12/21/2023 21:29:17,624000,-1000.000
12/21/2023 21:29:17,625000,-1000.000
12/21/2023 21:29:17,626000,-1000.000
12/21/2023 21:29:17,627000,-1000.000
12/21/2023 21:29:17,628000,-1000.000
12/21/2023 21:29:17,629000,-1000.000
12/21/2023 21:29:17,630000,-1000.000
12/21/2023 21:29:17,631000,-1000.000
12/21/2023 21:29:17,632000,-1000.000
12/21/2023 21:29:17,633000,-1000.000
12/21/2023 21:29:17,634000,-1000.000
12/21/2023 21:29:17,635000,-1000.000
12/21/2023 21:29:17,636000,-1000.000
12/21/2023 21:29:17,637000,-1000.000
12/21/2023 21:29:17,638000,-1000.000
12/21/2023 21:29:17,639000,-1000.000
12/21/2023 21:29:17,640000,-1000.000
12/21/2023 21:29:17,641000,-1000.000
12/21/2023 21:29:17,642000,-1000.000
12/21/2023 21:29:17,643000,-1000.000
12/21/2023 21:29:17,644000,-1000.000
12/21/2023 21:29:17,645000,-1000.000
12/21/2023 21:29:17,646000,-1000.000
12/21/2023 21:29:17,647000,-1000.000
12/21/2023 21:29:17,648000,-1000.000
12/21/2023 21:29:17,649000,-1000.000
12/21/2023 21:29:17,650000,-1000.000
12/21/2023 21:29:17,651000,-1000.000
12/21/2023 21:29:17,652000,-1000.000
12/21/2023 21:29:17,653000,-1000.000
12/21/2023 21:29:17,654000,-1000.000
12/21/2023 21:29:17,655000,-1000.000
12/21/2023 21:29:17,656000,-1000.000
12/21/2023 21:29:17,657000,-1000.000
12/21/2023 21:29:17,658000,-1000.000
12/21/2023 21:29:17,659000,-1000.000
12/21/2023 21:29:17,660000,-1000.000
12/21/2023 21:29:17,661000,-1000.000
12/21/2023 21:29:17,662000,-1000.000
12/21/2023 21:29:17,663000,-1000.000
12/21/2023 21:29:17,664000,-1000.000
12/21/2023 21:29:17,665000,-1000.000
12/21/2023 21:29:17,666000,-1000.000
12/21/2023 21:29:17,667000,-1000.000
12/21/2023 21:29:17,668000,-1000.000
12/21/2023 21:29:17,669000,-1000.000
12/21/2023 21:29:17,670000,-1000.000
12/21/2023 21:29:17,671000,-1000.000
12/21/2023 21:29:17,672000,-1000.000
12/21/2023 21:29:17,673000,-1000.000
12/21/2023 21:29:17,674000,-1000.000
12/21/2023 21:29:17,675000,-1000.000
12/21/2023 21:29:17,676000,-1000.000
12/21/2023 21:29:17,677000,-1000.000
12/21/2023 21:29:17,678000,-1000.000
12/21/2023 21:29:17,679000,-1000.000
12/21/2023 21:29:17,680000,-1000.000
12/21/2023 21:29:17,681000,-1000.000
12/21/2023 21:29:17,682000,-1000.000
12/21/2023 21:29:17,683000,-1000.000
12/21/2023 21:29:17,684000,-1000.000
12/21/2023 21:29:17,685000,-1000.000
12/21/2023 21:29:17,686000,-1000.000
12/21/2023 21:29:17,687000,-1000.000
12/21/2023 21:29:17,688000,-1000.000
12/21/2023 21:29:17,689000,-1000.000
12/21/2023 21:29:17,690000,-1000.000
12/21/2023 21:29:17,691000,-1000.000
12/21/2023 21:29:17,692000,-1000.000
12/21/2023 21:29:17,693000,-1000.000
12/21/2023 21:29:17,694000,-1000.000
12/21/2023 21:29:17,695000,-1000.000
12/21/2023 21:29:17,696000,-1000.000
12/21/2023 21:29:17,697000,-1000.000
12/21/2023 21:29:17,698000,-1000.000
12/21/2023 21:29:17,699000,-1000.000
12/21/2023 21:29:17,700000,-1000.000
12/21/2023 21:29:17,701000,-1000.000
12/21/2023 21:29:17,702000,-1000.000
12/21/2023 21:29:17,703000,-1000.000
12/21/2023 21:29:17,704000,-1000.000
12/21/2023 21:29:17,705000,-1000.000
12/21/2023 21:29:17,706000,-1000.000
12/21/2023 21:29:17,707000,-1000.000
12/21/2023 21:29:17,708000,-1000.000
12/21/2023 21:29:17,709000,-1000.000
12/21/2023 21:29:17,710000,-1000.000
12/21/2023 21:29:17,711000,-1000.000
12/21/2023 21:29:17,712000,-1000.000
12/21/2023 21:29:17,713000,-1000.000
12/21/2023 21:29:17,714000,-1000.000
12/21/2023 21:29:17,715000,-1000.000
12/21/2023 21:29:17,716000,-1000.000
12/21/2023 21:29:17,717000,-1000.000
12/21/2023 21:29:17,718000,-1000.000
12/21/2023 21:29:17,719000,-1000.000
12/21/2023 21:29:17,720000,-1000.000
12/21/2023 21:29:17,721000,-1000.000
12/21/2023 21:29:17,722000,-1000.000
12/21/2023 21:29:17,723000,-1000.000
12/21/2023 21:29:17,724000,-1000.000
12/21/2023 21:29:17,725000,-1000.000
12/21/2023 21:29:17,726000,-1000.000
12/21/2023 21:29:17,727000,-1000.000
12/21/2023 21:29:17,728000,-1000.000
12/21/2023 21:29:17,729000,-1000.000
12/21/2023 21:29:17,730000,-1000.000
12/21/2023 21:29:17,731000,-1000.000
12/21/2023 21:29:17,732000,-1000.000
12/21/2023 21:29:17,733000,-1000.000
12/21/2023 21:29:17,734000,-1000.000
12/21/2023 21:29:17,735000,-1000.000
12/21/2023 21:29:17,736000,-1000.000
12/21/2023 21:29:17,737000,-1000.000
12/21/2023 21:29:17,738000,-1000.000
12/21/2023 21:29:17,739000,-1000.000
12/21/2023 21:29:17,740000,-1000.000
12/21/2023 21:29:17,741000,-1000.000
12/21/2023 21:29:17,742000,-1000.000
12/21/2023 21:29:17,743000,-1000.000
12/21/2023 21:29:17,744000,-1000.000
12/21/2023 21:29:17,745000,-1000.000
12/21/2023 21:29:17,746000,-1000.000
12/21/2023 21:29:17,747000,-1000.000
12/21/2023 21:29:17,748000,-1000.000
12/21/2023 21:29:17,749000,-1000.000
12/21/2023 21:29:17,750000,-1000.000
12/21/2023 21:29:17,751000,-1000.000
12/21/2023 21:29:17,752000,-1000.000
12/21/2023 21:29:17,753000,-1000.000
12/21/2023 21:29:17,754000,-1000.000
12/21/2023 21:29:17,755000,-1000.000
12/21/2023 21:29:17,756000,-1000.000
12/21/2023 21:29:17,757000,-1000.000
12/21/2023 21:29:17,758000,-1000.000
12/21/2023 21:29:17,759000,-1000.000
12/21/2023 21:29:17,760000,-1000.000
12/21/2023 21:29:17,761000,-1000.000
12/21/2023 21:29:17,762000,-1000.000
12/21/2023 21:29:17,763000,-1000.000
12/21/2023 21:29:17,764000,-1000.000
12/21/2023 21:29:17,765000,-1000.000
12/21/2023 21:29:17,766000,-1000.000
12/21/2023 21:29:17,767000,-1000.000
12/21/2023 21:29:17,768000,-1000.000
12/21/2023 21:29:17,769000,-1000.000
12/21/2023 21:29:17,770000,-1000.000
12/21/2023 21:29:17,771000,-1000.000
12/21/2023 21:29:17,772000,-1000.000
12/21/2023 21:29:17,773000,-1000.000
12/21/2023 21:29:17,774000,-1000.000
12/21/2023 21:29:17,775000,-1000.000
12/21/2023 21:29:17,776000,-1000.000
12/21/2023 21:29:17,777000,-1000.000
12/21/2023 21:29:17,778000,-1000.000
12/21/2023 21:29:17,779000,-1000.000
12/21/2023 21:29:17,780000,-1000.000
12/21/2023 21:29:17,781000,-1000.000
12/21/2023 21:29:17,782000,-1000.000
12/21/2023 21:29:17,783000,-1000.000
12/21/2023 21:29:17,784000,-1000.000
12/21/2023 21:29:17,785000,-1000.000
12/21/2023 21:29:17,786000,-1000.000
12/21/2023 21:29:17,787000,-1000.000
12/21/2023 21:29:17,788000,-1000.000
12/21/2023 21:29:17,789000,-1000.000
12/21/2023 21:29:17,790000,-1000.000
12/21/2023 21:29:17,791000,-1000.000
12/21/2023 21:29:17,792000,-1000.000
12/21/2023 21:29:17,793000,-1000.000
12/21/2023 21:29:17,794000,-1000.000
12/21/2023 21:29:17,795000,-1000.000
12/21/2023 21:29:17,796000,-1000.000
12/21/2023 21:29:17,797000,-1000.000
12/21/2023 21:29:17,798000,-1000.000
12/21/2023 21:29:17,799000,-1000.000
12/21/2023 21:29:17,800000,-1000.000
12/21/2023 21:29:17,801000,-1000.000
12/21/2023 21:29:17,802000,-1000.000
12/21/2023 21:29:17,803000,-1000.000
12/21/2023 21:29:17,804000,-1000.000
12/21/2023 21:29:17,805000,-1000.000
12/21/2023 21:29:17,806000,-1000.000
12/21/2023 21:29:17,807000,-1000.000
12/21/2023 21:29:17,808000,-1000.000
12/21/2023 21:29:17,809000,-1000.000
12/21/2023 21:29:17,810000,-1000.000
12/21/2023 21:29:17,811000,-1000.000
12/21/2023 21:29:17,812000,-1000.000
12/21/2023 21:29:17,813000,-1000.000
12/21/2023 21:29:17,814000,-1000.000
12/21/2023 21:29:17,815000,-1000.000
12/21/2023 21:29:17,816000,-1000.000
12/21/2023 21:29:17,817000,-1000.000
12/21/2023 21:29:17,818000,-1000.000
12/21/2023 21:29:17,819000,-1000.000
12/21/2023 21:29:17,820000,-1000.000
12/21/2023 21:29:17,821000,-1000.000
12/21/2023 21:29:17,822000,-1000.000
12/21/2023 21:29:17,823000,-1000.000
12/21/2023 21:29:17,824000,-1000.000
12/21/2023 21:29:17,825000,-1000.000
12/21/2023 21:29:17,826000,-1000.000
12/21/2023 21:29:17,827000,-1000.000
12/21/2023 21:29:17,828000,-1000.000
12/21/2023 21:29:17,829000,-1000.000
12/21/2023 21:29:17,830000,-1000.000
12/21/2023 21:29:17,831000,-1000.000
12/21/2023 21:29:17,832000,-1000.000
12/21/2023 21:29:17,833000,-1000.000
12/21/2023 21:29:17,834000,-1000.000
12/21/2023 21:29:17,835000,-1000.000
12/21/2023 21:29:17,836000,-1000.000
12/21/2023 21:29:17,837000,-1000.000
12/21/2023 21:29:17,838000,-1000.000
12/21/2023 21:29:17,839000,-1000.000
12/21/2023 21:29:17,840000,-1000.000
12/21/2023 21:29:17,841000,-1000.000
12/21/2023 21:29:17,842000,-1000.000
12/21/2023 21:29:17,843000,-1000.000
12/21/2023 21:29:17,844000,-1000.000
12/21/2023 21:29:17,845000,-1000.000
12/21/2023 21:29:17,846000,-1000.000
12/21/2023 21:29:17,847000,-1000.000
12/21/2023 21:29:17,848000,-1000.000
12/21/2023 21:29:17,849000,-1000.000
12/21/2023 21:29:17,850000,-1000.000
12/21/2023 21:29:17,851000,-1000.000
12/21/2023 21:29:17,852000,-1000.000
12/21/2023 21:29:17,853000,-1000.000
12/21/2023 21:29:17,854000,-1000.000
12/21/2023 21:29:17,855000,-1000.000
12/21/2023 21:29:17,856000,-1000.000
12/21/2023 21:29:17,857000,-1000.000
12/21/2023 21:29:17,858000,-1000.000
12/21/2023 21:29:17,859000,-1000.000
12/21/2023 21:29:17,860000,-1000.000
12/21/2023 21:29:17,861000,-1000.000
12/21/2023 21:29:17,862000,-1000.000
12/21/2023 21:29:17,863000,-1000.000
12/21/2023 21:29:17,864000,-1000.000
12/21/2023 21:29:17,865000,-1000.000
12/21/2023 21:29:17,866000,-1000.000
12/21/2023 21:29:17,867000,-1000.000
12/21/2023 21:29:17,868000,-1000.000
12/21/2023 21:29:17,869000,-1000.000
12/21/2023 21:29:17,870000,-1000.000
12/21/2023 21:29:17,871000,-1000.000
12/21/2023 21:29:17,872000,-1000.000
12/21/2023 21:29:17,873000,-1000.000
12/21/2023 21:29:17,874000,-1000.000
12/21/2023 21:29:17,875000,-1000.000
12/21/2023 21:29:17,876000,-1000.000
12/21/2023 21:29:17,877000,-1000.000
12/21/2023 21:29:17,878000,-1000.000
12/21/2023 21:29:17,879000,-1000.000
12/21/2023 21:29:17,880000,-1000.000
12/21/2023 21:29:17,881000,-1000.000
12/21/2023 21:29:17,882000,-1000.000
12/21/2023 21:29:17,883000,-1000.000
12/21/2023 21:29:17,884000,-1000.000
12/21/2023 21:29:17,885000,-1000.000
12/21/2023 21:29:17,886000,-1000.000
12/21/2023 21:29:17,887000,-1000.000
12/21/2023 21:29:17,888000,-1000.000
12/21/2023 21:29:17,889000,-1000.000
12/21/2023 21:29:17,890000,-1000.000
12/21/2023 21:29:17,891000,-1000.000
12/21/2023 21:29:17,892000,-1000.000
12/21/2023 21:29:17,893000,-1000.000
12/21/2023 21:29:17,894000,-1000.000
12/21/2023 21:29:17,895000,-1000.000
12/21/2023 21:29:17,896000,-1000.000
12/21/2023 21:29:17,897000,-1000.000
12/21/2023 21:29:17,898000,-1000.000
12/21/2023 21:29:17,899000,-1000.000
12/21/2023 21:29:17,900000,-1000.000
12/21/2023 21:29:17,901000,-1000.000
12/21/2023 21:29:17,902000,-1000.000
12/21/2023 21:29:17,903000,-1000.000
