#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 22:06:17,647000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 22:06:19,947000,-1000.000
12/21/2023 22:06:19,948000,-1000.000
12/21/2023 22:06:19,949000,-1000.000
12/21/2023 22:06:19,950000,-1000.000
12/21/2023 22:06:19,951000,-1000.000
12/21/2023 22:06:19,952000,-1000.000
12/21/2023 22:06:19,953000,-1000.000
12/21/2023 22:06:19,954000,-1000.000
12/21/2023 22:06:19,955000,-1000.000
12/21/2023 22:06:19,956000,-1000.000
12/21/2023 22:06:19,957000,-1000.000
12/21/2023 22:06:19,958000,-1000.000
12/21/2023 22:06:19,959000,-1000.000
12/21/2023 22:06:19,960000,-1000.000
12/21/2023 22:06:19,961000,-1000.000
12/21/2023 22:06:19,962000,-1000.000
12/21/2023 22:06:19,963000,-1000.000
12/21/2023 22:06:19,964000,-1000.000
12/21/2023 22:06:19,965000,-1000.000
12/21/2023 22:06:19,966000,-1000.000
12/21/2023 22:06:19,967000,-1000.000
12/21/2023 22:06:19,968000,-1000.000
12/21/2023 22:06:19,969000,-1000.000
12/21/2023 22:06:19,970000,-1000.000
12/21/2023 22:06:19,971000,-1000.000
12/21/2023 22:06:19,972000,-1000.000
12/21/2023 22:06:19,973000,-1000.000
12/21/2023 22:06:19,974000,-1000.000
12/21/2023 22:06:19,975000,-1000.000
12/21/2023 22:06:19,976000,-1000.000
12/21/2023 22:06:19,977000,-1000.000
12/21/2023 22:06:19,978000,-1000.000
12/21/2023 22:06:19,979000,-1000.000
12/21/2023 22:06:19,980000,-1000.000
12/21/2023 22:06:19,981000,-1000.000
12/21/2023 22:06:19,982000,-1000.000
12/21/2023 22:06:19,983000,-1000.000
12/21/2023 22:06:19,984000,-1000.000
12/21/2023 22:06:19,985000,-1000.000
12/21/2023 22:06:19,986000,-1000.000
12/21/2023 22:06:19,987000,-1000.000
12/21/2023 22:06:19,988000,-1000.000
12/21/2023 22:06:19,989000,-1000.000
12/21/2023 22:06:19,990000,-1000.000
12/21/2023 22:06:19,991000,-1000.000
12/21/2023 22:06:19,992000,-1000.000
12/21/2023 22:06:19,993000,-1000.000
12/21/2023 22:06:19,994000,-1000.000
12/21/2023 22:06:19,995000,-1000.000
12/21/2023 22:06:19,996000,-1000.000
12/21/2023 22:06:19,997000,-1000.000
12/21/2023 22:06:19,998000,-1000.000
12/21/2023 22:06:19,999000,-1000.000
12/21/2023 22:06:20,000000,-1000.000
12/21/2023 22:06:20,001000,-1000.000
12/21/2023 22:06:20,002000,-1000.000
12/21/2023 22:06:20,003000,-1000.000
12/21/2023 22:06:20,004000,-1000.000
12/21/2023 22:06:20,005000,-1000.000
12/21/2023 22:06:20,006000,-1000.000
12/21/2023 22:06:20,007000,-1000.000
12/21/2023 22:06:20,008000,-1000.000
12/21/2023 22:06:20,009000,-1000.000
12/21/2023 22:06:20,010000,-1000.000
12/21/2023 22:06:20,011000,-1000.000
12/21/2023 22:06:20,012000,-1000.000
12/21/2023 22:06:20,013000,-1000.000
12/21/2023 22:06:20,014000,-1000.000
12/21/2023 22:06:20,015000,-1000.000
12/21/2023 22:06:20,016000,-1000.000
12/21/2023 22:06:20,017000,-1000.000
12/21/2023 22:06:20,018000,-1000.000
12/21/2023 22:06:20,019000,-1000.000
12/21/2023 22:06:20,020000,-1000.000
12/21/2023 22:06:20,021000,-1000.000
12/21/2023 22:06:20,022000,-1000.000
12/21/2023 22:06:20,023000,-1000.000
12/21/2023 22:06:20,024000,-1000.000
12/21/2023 22:06:20,025000,-1000.000
12/21/2023 22:06:20,026000,-1000.000
12/21/2023 22:06:20,027000,-1000.000
12/21/2023 22:06:20,028000,-1000.000
12/21/2023 22:06:20,029000,-1000.000
12/21/2023 22:06:20,030000,-1000.000
12/21/2023 22:06:20,031000,-1000.000
12/21/2023 22:06:20,032000,-1000.000
12/21/2023 22:06:20,033000,-1000.000
12/21/2023 22:06:20,034000,-1000.000
12/21/2023 22:06:20,035000,-1000.000
12/21/2023 22:06:20,036000,-1000.000
12/21/2023 22:06:20,037000,-1000.000
12/21/2023 22:06:20,038000,-1000.000
12/21/2023 22:06:20,039000,-1000.000
12/21/2023 22:06:20,040000,-1000.000
12/21/2023 22:06:20,041000,-1000.000
12/21/2023 22:06:20,042000,-1000.000
12/21/2023 22:06:20,043000,-1000.000
12/21/2023 22:06:20,044000,-1000.000
12/21/2023 22:06:20,045000,-1000.000
12/21/2023 22:06:20,046000,-1000.000
12/21/2023 22:06:20,047000,-1000.000
12/21/2023 22:06:20,048000,-1000.000
12/21/2023 22:06:20,049000,-1000.000
12/21/2023 22:06:20,050000,-1000.000
12/21/2023 22:06:20,051000,-1000.000
12/21/2023 22:06:20,052000,-1000.000
12/21/2023 22:06:20,053000,-1000.000
12/21/2023 22:06:20,054000,-1000.000
12/21/2023 22:06:20,055000,-1000.000
12/21/2023 22:06:20,056000,-1000.000
12/21/2023 22:06:20,057000,-1000.000
12/21/2023 22:06:20,058000,-1000.000
12/21/2023 22:06:20,059000,-1000.000
12/21/2023 22:06:20,060000,-1000.000
12/21/2023 22:06:20,061000,-1000.000
12/21/2023 22:06:20,062000,-1000.000
12/21/2023 22:06:20,063000,-1000.000
12/21/2023 22:06:20,064000,-1000.000
12/21/2023 22:06:20,065000,-1000.000
12/21/2023 22:06:20,066000,-1000.000
12/21/2023 22:06:20,067000,-1000.000
12/21/2023 22:06:20,068000,-1000.000
12/21/2023 22:06:20,069000,-1000.000
12/21/2023 22:06:20,070000,-1000.000
12/21/2023 22:06:20,071000,-1000.000
12/21/2023 22:06:20,072000,-1000.000
12/21/2023 22:06:20,073000,-1000.000
12/21/2023 22:06:20,074000,-1000.000
12/21/2023 22:06:20,075000,-1000.000
12/21/2023 22:06:20,076000,-1000.000
12/21/2023 22:06:20,077000,-1000.000
12/21/2023 22:06:20,078000,-1000.000
12/21/2023 22:06:20,079000,-1000.000
12/21/2023 22:06:20,080000,-1000.000
12/21/2023 22:06:20,081000,-1000.000
12/21/2023 22:06:20,082000,-1000.000
12/21/2023 22:06:20,083000,-1000.000
12/21/2023 22:06:20,084000,-1000.000
12/21/2023 22:06:20,085000,-1000.000
12/21/2023 22:06:20,086000,-1000.000
12/21/2023 22:06:20,087000,-1000.000
12/21/2023 22:06:20,088000,-1000.000
12/21/2023 22:06:20,089000,-1000.000
12/21/2023 22:06:20,090000,-1000.000
12/21/2023 22:06:20,091000,-1000.000
12/21/2023 22:06:20,092000,-1000.000
12/21/2023 22:06:20,093000,-1000.000
12/21/2023 22:06:20,094000,-1000.000
12/21/2023 22:06:20,095000,-1000.000
12/21/2023 22:06:20,096000,-1000.000
12/21/2023 22:06:20,097000,-1000.000
12/21/2023 22:06:20,098000,-1000.000
12/21/2023 22:06:20,099000,-1000.000
12/21/2023 22:06:20,100000,-1000.000
12/21/2023 22:06:20,101000,-1000.000
12/21/2023 22:06:20,102000,-1000.000
12/21/2023 22:06:20,103000,-1000.000
12/21/2023 22:06:20,104000,-1000.000
12/21/2023 22:06:20,105000,-1000.000
12/21/2023 22:06:20,106000,-1000.000
12/21/2023 22:06:20,107000,-1000.000
12/21/2023 22:06:20,108000,-1000.000
12/21/2023 22:06:20,109000,-1000.000
12/21/2023 22:06:20,110000,-1000.000
12/21/2023 22:06:20,111000,-1000.000
12/21/2023 22:06:20,112000,-1000.000
12/21/2023 22:06:20,113000,-1000.000
12/21/2023 22:06:20,114000,-1000.000
12/21/2023 22:06:20,115000,-1000.000
12/21/2023 22:06:20,116000,-1000.000
12/21/2023 22:06:20,117000,-1000.000
12/21/2023 22:06:20,118000,-1000.000
12/21/2023 22:06:20,119000,-1000.000
12/21/2023 22:06:20,120000,-1000.000
12/21/2023 22:06:20,121000,-1000.000
12/21/2023 22:06:20,122000,-1000.000
12/21/2023 22:06:20,123000,-1000.000
12/21/2023 22:06:20,124000,-1000.000
12/21/2023 22:06:20,125000,-1000.000
12/21/2023 22:06:20,126000,-1000.000
12/21/2023 22:06:20,127000,-1000.000
12/21/2023 22:06:20,128000,-1000.000
12/21/2023 22:06:20,129000,-1000.000
12/21/2023 22:06:20,130000,-1000.000
12/21/2023 22:06:20,131000,-1000.000
12/21/2023 22:06:20,132000,-1000.000
12/21/2023 22:06:20,133000,-1000.000
12/21/2023 22:06:20,134000,-1000.000
12/21/2023 22:06:20,135000,-1000.000
12/21/2023 22:06:20,136000,-1000.000
12/21/2023 22:06:20,137000,-1000.000
12/21/2023 22:06:20,138000,-1000.000
12/21/2023 22:06:20,139000,-1000.000
12/21/2023 22:06:20,140000,-1000.000
12/21/2023 22:06:20,141000,-1000.000
12/21/2023 22:06:20,142000,-1000.000
12/21/2023 22:06:20,143000,-1000.000
12/21/2023 22:06:20,144000,-1000.000
12/21/2023 22:06:20,145000,-1000.000
12/21/2023 22:06:20,146000,-1000.000
12/21/2023 22:06:20,147000,-1000.000
12/21/2023 22:06:20,148000,-1000.000
12/21/2023 22:06:20,149000,-1000.000
12/21/2023 22:06:20,150000,-1000.000
12/21/2023 22:06:20,151000,-1000.000
12/21/2023 22:06:20,152000,-1000.000
12/21/2023 22:06:20,153000,-1000.000
12/21/2023 22:06:20,154000,-1000.000
12/21/2023 22:06:20,155000,-1000.000
12/21/2023 22:06:20,156000,-1000.000
12/21/2023 22:06:20,157000,-1000.000
12/21/2023 22:06:20,158000,-1000.000
12/21/2023 22:06:20,159000,-1000.000
12/21/2023 22:06:20,160000,-1000.000
