#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/21/2023 21:25:45,786000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/21/2023 21:25:59,786000,-1000.000
12/21/2023 21:25:59,787000,-1000.000
12/21/2023 21:25:59,788000,-1000.000
12/21/2023 21:25:59,789000,-1000.000
12/21/2023 21:25:59,790000,-1000.000
12/21/2023 21:25:59,791000,-1000.000
12/21/2023 21:25:59,792000,-1000.000
12/21/2023 21:25:59,793000,-1000.000
12/21/2023 21:25:59,794000,-1000.000
12/21/2023 21:25:59,795000,-1000.000
12/21/2023 21:25:59,796000,-1000.000
12/21/2023 21:25:59,797000,-1000.000
12/21/2023 21:25:59,798000,-1000.000
12/21/2023 21:25:59,799000,-1000.000
12/21/2023 21:25:59,800000,-1000.000
12/21/2023 21:25:59,801000,-1000.000
12/21/2023 21:25:59,802000,-1000.000
12/21/2023 21:25:59,803000,-1000.000
12/21/2023 21:25:59,804000,-1000.000
12/21/2023 21:25:59,805000,-1000.000
12/21/2023 21:25:59,806000,-1000.000
12/21/2023 21:25:59,807000,-1000.000
12/21/2023 21:25:59,808000,-1000.000
12/21/2023 21:25:59,809000,-1000.000
12/21/2023 21:25:59,810000,-1000.000
12/21/2023 21:25:59,811000,-1000.000
12/21/2023 21:25:59,812000,-1000.000
12/21/2023 21:25:59,813000,-1000.000
12/21/2023 21:25:59,814000,-1000.000
12/21/2023 21:25:59,815000,-1000.000
12/21/2023 21:25:59,816000,-1000.000
12/21/2023 21:25:59,817000,-1000.000
12/21/2023 21:25:59,818000,-1000.000
12/21/2023 21:25:59,819000,-1000.000
12/21/2023 21:25:59,820000,-1000.000
12/21/2023 21:25:59,821000,-1000.000
12/21/2023 21:25:59,822000,-1000.000
12/21/2023 21:25:59,823000,-1000.000
12/21/2023 21:25:59,824000,-1000.000
12/21/2023 21:25:59,825000,-1000.000
12/21/2023 21:25:59,826000,-1000.000
12/21/2023 21:25:59,827000,-1000.000
12/21/2023 21:25:59,828000,-1000.000
12/21/2023 21:25:59,829000,-1000.000
12/21/2023 21:25:59,830000,-1000.000
12/21/2023 21:25:59,831000,-1000.000
12/21/2023 21:25:59,832000,-1000.000
12/21/2023 21:25:59,833000,-1000.000
12/21/2023 21:25:59,834000,-1000.000
12/21/2023 21:25:59,835000,-1000.000
12/21/2023 21:25:59,836000,-1000.000
12/21/2023 21:25:59,837000,-1000.000
12/21/2023 21:25:59,838000,-1000.000
12/21/2023 21:25:59,839000,-1000.000
12/21/2023 21:25:59,840000,-1000.000
12/21/2023 21:25:59,841000,-1000.000
12/21/2023 21:25:59,842000,-1000.000
12/21/2023 21:25:59,843000,-1000.000
12/21/2023 21:25:59,844000,-1000.000
12/21/2023 21:25:59,845000,-1000.000
12/21/2023 21:25:59,846000,-1000.000
12/21/2023 21:25:59,847000,-1000.000
12/21/2023 21:25:59,848000,-1000.000
12/21/2023 21:25:59,849000,-1000.000
12/21/2023 21:25:59,850000,-1000.000
12/21/2023 21:25:59,851000,-1000.000
12/21/2023 21:25:59,852000,-1000.000
12/21/2023 21:25:59,853000,-1000.000
12/21/2023 21:25:59,854000,-1000.000
12/21/2023 21:25:59,855000,-1000.000
12/21/2023 21:25:59,856000,-1000.000
12/21/2023 21:25:59,857000,-1000.000
12/21/2023 21:25:59,858000,-1000.000
12/21/2023 21:25:59,859000,-1000.000
12/21/2023 21:25:59,860000,-1000.000
12/21/2023 21:25:59,861000,-1000.000
12/21/2023 21:25:59,862000,-1000.000
12/21/2023 21:25:59,863000,-1000.000
12/21/2023 21:25:59,864000,-1000.000
12/21/2023 21:25:59,865000,-1000.000
12/21/2023 21:25:59,866000,-1000.000
12/21/2023 21:25:59,867000,-1000.000
12/21/2023 21:25:59,868000,-1000.000
12/21/2023 21:25:59,869000,-1000.000
12/21/2023 21:25:59,870000,-1000.000
12/21/2023 21:25:59,871000,-1000.000
12/21/2023 21:25:59,872000,-1000.000
12/21/2023 21:25:59,873000,-1000.000
12/21/2023 21:25:59,874000,-1000.000
12/21/2023 21:25:59,875000,-1000.000
12/21/2023 21:25:59,876000,-1000.000
12/21/2023 21:25:59,877000,-1000.000
12/21/2023 21:25:59,878000,-1000.000
12/21/2023 21:25:59,879000,-1000.000
12/21/2023 21:25:59,880000,-1000.000
12/21/2023 21:25:59,881000,-1000.000
12/21/2023 21:25:59,882000,-1000.000
12/21/2023 21:25:59,883000,-1000.000
12/21/2023 21:25:59,884000,-1000.000
12/21/2023 21:25:59,885000,-1000.000
12/21/2023 21:25:59,886000,-1000.000
12/21/2023 21:25:59,887000,-1000.000
12/21/2023 21:25:59,888000,-1000.000
12/21/2023 21:25:59,889000,-1000.000
12/21/2023 21:25:59,890000,-1000.000
12/21/2023 21:25:59,891000,-1000.000
12/21/2023 21:25:59,892000,-1000.000
12/21/2023 21:25:59,893000,-1000.000
12/21/2023 21:25:59,894000,-1000.000
12/21/2023 21:25:59,895000,-1000.000
12/21/2023 21:25:59,896000,-1000.000
12/21/2023 21:25:59,897000,-1000.000
12/21/2023 21:25:59,898000,-1000.000
12/21/2023 21:25:59,899000,-1000.000
12/21/2023 21:25:59,900000,-1000.000
12/21/2023 21:25:59,901000,-1000.000
12/21/2023 21:25:59,902000,-1000.000
12/21/2023 21:25:59,903000,-1000.000
12/21/2023 21:25:59,904000,-1000.000
12/21/2023 21:25:59,905000,-1000.000
12/21/2023 21:25:59,906000,-1000.000
12/21/2023 21:25:59,907000,-1000.000
12/21/2023 21:25:59,908000,-1000.000
12/21/2023 21:25:59,909000,-1000.000
12/21/2023 21:25:59,910000,-1000.000
12/21/2023 21:25:59,911000,-1000.000
12/21/2023 21:25:59,912000,-1000.000
12/21/2023 21:25:59,913000,-1000.000
12/21/2023 21:25:59,914000,-1000.000
12/21/2023 21:25:59,915000,-1000.000
12/21/2023 21:25:59,916000,-1000.000
12/21/2023 21:25:59,917000,-1000.000
12/21/2023 21:25:59,918000,-1000.000
12/21/2023 21:25:59,919000,-1000.000
12/21/2023 21:25:59,920000,-1000.000
12/21/2023 21:25:59,921000,-1000.000
