#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/19/2023 16:51:50,524000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/19/2023 16:51:55,624000,9.132
12/19/2023 16:51:55,625000,9.132
12/19/2023 16:51:55,626000,9.132
12/19/2023 16:51:55,627000,9.132
12/19/2023 16:51:55,628000,9.132
12/19/2023 16:51:55,629000,9.132
12/19/2023 16:51:55,630000,9.132
12/19/2023 16:51:55,631000,9.132
12/19/2023 16:51:55,632000,9.132
12/19/2023 16:51:55,633000,9.132
12/19/2023 16:51:55,634000,9.132
12/19/2023 16:51:55,635000,9.132
12/19/2023 16:51:55,636000,9.132
12/19/2023 16:51:55,637000,9.132
12/19/2023 16:51:55,638000,9.132
12/19/2023 16:51:55,639000,9.132
12/19/2023 16:51:55,640000,9.132
12/19/2023 16:51:55,641000,9.132
12/19/2023 16:51:55,642000,9.132
12/19/2023 16:51:55,643000,9.132
12/19/2023 16:51:55,644000,9.132
12/19/2023 16:51:55,645000,9.132
12/19/2023 16:51:55,646000,9.132
12/19/2023 16:51:55,647000,9.132
12/19/2023 16:51:55,648000,9.132
12/19/2023 16:51:55,649000,9.132
12/19/2023 16:51:55,650000,9.132
12/19/2023 16:51:55,651000,9.132
12/19/2023 16:51:55,652000,9.132
12/19/2023 16:51:55,653000,9.132
12/19/2023 16:51:55,654000,9.132
12/19/2023 16:51:55,655000,9.132
12/19/2023 16:51:55,656000,9.132
12/19/2023 16:51:55,657000,9.132
12/19/2023 16:51:55,658000,9.132
12/19/2023 16:51:55,659000,9.132
12/19/2023 16:51:55,660000,9.132
12/19/2023 16:51:55,661000,9.132
12/19/2023 16:51:55,662000,9.132
12/19/2023 16:51:55,663000,9.132
12/19/2023 16:51:55,664000,9.132
12/19/2023 16:51:55,665000,9.132
12/19/2023 16:51:55,666000,9.132
12/19/2023 16:51:55,667000,9.132
12/19/2023 16:51:55,668000,9.131
12/19/2023 16:51:55,669000,9.131
12/19/2023 16:51:55,670000,9.131
12/19/2023 16:51:55,671000,9.131
12/19/2023 16:51:55,672000,9.131
12/19/2023 16:51:55,673000,9.131
12/19/2023 16:51:55,674000,9.131
12/19/2023 16:51:55,675000,9.131
12/19/2023 16:51:55,676000,9.130
12/19/2023 16:51:55,677000,9.130
12/19/2023 16:51:55,678000,9.130
12/19/2023 16:51:55,679000,9.130
12/19/2023 16:51:55,680000,9.129
12/19/2023 16:51:55,681000,9.129
12/19/2023 16:51:55,682000,9.129
12/19/2023 16:51:55,683000,9.129
12/19/2023 16:51:55,684000,9.128
12/19/2023 16:51:55,685000,9.128
12/19/2023 16:51:55,686000,9.126
12/19/2023 16:51:55,687000,9.126
12/19/2023 16:51:55,688000,9.124
12/19/2023 16:51:55,689000,9.124
12/19/2023 16:51:55,690000,9.124
12/19/2023 16:51:55,691000,9.121
12/19/2023 16:51:55,692000,9.121
12/19/2023 16:51:55,693000,9.118
12/19/2023 16:51:55,694000,9.118
12/19/2023 16:51:55,695000,9.114
12/19/2023 16:51:55,696000,9.114
12/19/2023 16:51:55,697000,9.110
12/19/2023 16:51:55,698000,9.110
12/19/2023 16:51:55,699000,9.104
12/19/2023 16:51:55,700000,9.104
12/19/2023 16:51:55,701000,9.098
12/19/2023 16:51:55,702000,9.098
12/19/2023 16:51:55,703000,9.090
12/19/2023 16:51:55,704000,9.090
12/19/2023 16:51:55,705000,9.081
12/19/2023 16:51:55,706000,9.081
12/19/2023 16:51:55,707000,9.070
12/19/2023 16:51:55,708000,9.070
12/19/2023 16:51:55,709000,9.058
12/19/2023 16:51:55,710000,9.058
12/19/2023 16:51:55,711000,9.044
12/19/2023 16:51:55,712000,9.044
12/19/2023 16:51:55,713000,9.026
12/19/2023 16:51:55,714000,9.026
12/19/2023 16:51:55,715000,9.007
12/19/2023 16:51:55,716000,9.007
12/19/2023 16:51:55,717000,8.986
12/19/2023 16:51:55,718000,8.986
12/19/2023 16:51:55,719000,8.962
12/19/2023 16:51:55,720000,8.962
12/19/2023 16:51:55,721000,8.935
12/19/2023 16:51:55,722000,8.935
12/19/2023 16:51:55,723000,8.906
12/19/2023 16:51:55,724000,8.906
12/19/2023 16:51:55,725000,8.873
12/19/2023 16:51:55,726000,8.873
12/19/2023 16:51:55,727000,8.836
12/19/2023 16:51:55,728000,8.836
12/19/2023 16:51:55,729000,8.796
12/19/2023 16:51:55,730000,8.796
12/19/2023 16:51:55,731000,8.752
12/19/2023 16:51:55,732000,8.752
12/19/2023 16:51:55,733000,8.704
12/19/2023 16:51:55,734000,8.704
12/19/2023 16:51:55,735000,8.651
12/19/2023 16:51:55,736000,8.651
12/19/2023 16:51:55,737000,8.595
12/19/2023 16:51:55,738000,8.595
12/19/2023 16:51:55,739000,8.534
12/19/2023 16:51:55,740000,8.534
12/19/2023 16:51:55,741000,8.468
12/19/2023 16:51:55,742000,8.468
12/19/2023 16:51:55,743000,8.398
12/19/2023 16:51:55,744000,8.398
12/19/2023 16:51:55,745000,8.323
12/19/2023 16:51:55,746000,8.323
12/19/2023 16:51:55,747000,8.243
12/19/2023 16:51:55,748000,8.243
12/19/2023 16:51:55,749000,8.158
12/19/2023 16:51:55,750000,8.158
12/19/2023 16:51:55,751000,8.060
12/19/2023 16:51:55,752000,8.060
12/19/2023 16:51:55,753000,7.975
12/19/2023 16:51:55,754000,7.975
12/19/2023 16:51:55,755000,7.886
12/19/2023 16:51:55,756000,7.886
12/19/2023 16:51:55,757000,7.791
12/19/2023 16:51:55,758000,7.791
12/19/2023 16:51:55,759000,7.680
12/19/2023 16:51:55,760000,7.680
12/19/2023 16:51:55,761000,7.680
12/19/2023 16:51:55,762000,7.531
12/19/2023 16:51:55,763000,7.531
12/19/2023 16:51:55,764000,7.418
12/19/2023 16:51:55,765000,7.418
12/19/2023 16:51:55,766000,7.300
12/19/2023 16:51:55,767000,7.300
12/19/2023 16:51:55,768000,7.177
12/19/2023 16:51:55,769000,7.177
