#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/19/2023 16:55:45,212000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/19/2023 16:55:56,312000,9.142
12/19/2023 16:55:56,313000,9.142
12/19/2023 16:55:56,314000,9.142
12/19/2023 16:55:56,315000,9.142
12/19/2023 16:55:56,316000,9.142
12/19/2023 16:55:56,317000,9.142
12/19/2023 16:55:56,318000,9.142
12/19/2023 16:55:56,319000,9.142
12/19/2023 16:55:56,320000,9.142
12/19/2023 16:55:56,321000,9.142
12/19/2023 16:55:56,322000,9.142
12/19/2023 16:55:56,323000,9.142
12/19/2023 16:55:56,324000,9.142
12/19/2023 16:55:56,325000,9.142
12/19/2023 16:55:56,326000,9.142
12/19/2023 16:55:56,327000,9.142
12/19/2023 16:55:56,328000,9.142
12/19/2023 16:55:56,329000,9.142
12/19/2023 16:55:56,330000,9.142
12/19/2023 16:55:56,331000,9.142
12/19/2023 16:55:56,332000,9.142
12/19/2023 16:55:56,333000,9.142
12/19/2023 16:55:56,334000,9.142
12/19/2023 16:55:56,335000,9.142
12/19/2023 16:55:56,336000,9.142
12/19/2023 16:55:56,337000,9.142
12/19/2023 16:55:56,338000,9.142
12/19/2023 16:55:56,339000,9.142
12/19/2023 16:55:56,340000,9.142
12/19/2023 16:55:56,341000,9.142
12/19/2023 16:55:56,342000,9.142
12/19/2023 16:55:56,343000,9.142
12/19/2023 16:55:56,344000,9.142
12/19/2023 16:55:56,345000,9.142
12/19/2023 16:55:56,346000,9.142
12/19/2023 16:55:56,347000,9.142
12/19/2023 16:55:56,348000,9.142
12/19/2023 16:55:56,349000,9.142
12/19/2023 16:55:56,350000,9.142
12/19/2023 16:55:56,351000,9.142
12/19/2023 16:55:56,352000,9.142
12/19/2023 16:55:56,353000,9.142
12/19/2023 16:55:56,354000,9.142
