#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,12/19/2023 16:59:59,329000
Sampling Rate,1ms
Data amount,5000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
12/19/2023 17:00:05,429000,9.135
12/19/2023 17:00:05,430000,9.135
12/19/2023 17:00:05,431000,9.135
12/19/2023 17:00:05,432000,9.135
12/19/2023 17:00:05,433000,9.135
12/19/2023 17:00:05,434000,9.135
12/19/2023 17:00:05,435000,9.135
12/19/2023 17:00:05,436000,9.135
12/19/2023 17:00:05,437000,9.135
12/19/2023 17:00:05,438000,9.135
12/19/2023 17:00:05,439000,9.135
12/19/2023 17:00:05,440000,9.135
12/19/2023 17:00:05,441000,9.135
12/19/2023 17:00:05,442000,9.135
12/19/2023 17:00:05,443000,9.135
12/19/2023 17:00:05,444000,9.135
12/19/2023 17:00:05,445000,9.135
12/19/2023 17:00:05,446000,9.135
12/19/2023 17:00:05,447000,9.135
12/19/2023 17:00:05,448000,9.135
12/19/2023 17:00:05,449000,9.135
12/19/2023 17:00:05,450000,9.135
12/19/2023 17:00:05,451000,9.135
12/19/2023 17:00:05,452000,9.135
12/19/2023 17:00:05,453000,9.135
12/19/2023 17:00:05,454000,9.135
12/19/2023 17:00:05,455000,9.135
12/19/2023 17:00:05,456000,9.135
12/19/2023 17:00:05,457000,9.135
12/19/2023 17:00:05,458000,9.135
12/19/2023 17:00:05,459000,9.135
12/19/2023 17:00:05,460000,9.135
12/19/2023 17:00:05,461000,9.135
12/19/2023 17:00:05,462000,9.135
12/19/2023 17:00:05,463000,9.135
12/19/2023 17:00:05,464000,9.135
12/19/2023 17:00:05,465000,9.135
12/19/2023 17:00:05,466000,9.135
12/19/2023 17:00:05,467000,9.135
12/19/2023 17:00:05,468000,9.135
12/19/2023 17:00:05,469000,9.135
12/19/2023 17:00:05,470000,9.135
12/19/2023 17:00:05,471000,9.135
12/19/2023 17:00:05,472000,9.135
12/19/2023 17:00:05,473000,9.135
12/19/2023 17:00:05,474000,9.135
12/19/2023 17:00:05,475000,9.135
12/19/2023 17:00:05,476000,9.135
12/19/2023 17:00:05,477000,9.135
12/19/2023 17:00:05,478000,9.135
12/19/2023 17:00:05,479000,9.135
12/19/2023 17:00:05,480000,9.135
12/19/2023 17:00:05,481000,9.135
12/19/2023 17:00:05,482000,9.135
12/19/2023 17:00:05,483000,9.135
12/19/2023 17:00:05,484000,9.135
12/19/2023 17:00:05,485000,9.135
12/19/2023 17:00:05,486000,9.135
12/19/2023 17:00:05,487000,9.134
12/19/2023 17:00:05,488000,9.134
12/19/2023 17:00:05,489000,9.134
12/19/2023 17:00:05,490000,9.134
12/19/2023 17:00:05,491000,9.133
12/19/2023 17:00:05,492000,9.133
12/19/2023 17:00:05,493000,9.132
12/19/2023 17:00:05,494000,9.132
12/19/2023 17:00:05,495000,9.131
12/19/2023 17:00:05,496000,9.131
12/19/2023 17:00:05,497000,9.129
12/19/2023 17:00:05,498000,9.129
12/19/2023 17:00:05,499000,9.127
12/19/2023 17:00:05,500000,9.127
12/19/2023 17:00:05,501000,9.124
12/19/2023 17:00:05,502000,9.124
12/19/2023 17:00:05,503000,9.121
12/19/2023 17:00:05,504000,9.121
12/19/2023 17:00:05,505000,9.117
12/19/2023 17:00:05,506000,9.117
12/19/2023 17:00:05,507000,9.112
12/19/2023 17:00:05,508000,9.112
