#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,01/25/2024 18:02:18,862000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
01/25/2024 18:02:22,562000,-1000.000
01/25/2024 18:02:22,563000,-1000.000
01/25/2024 18:02:22,564000,-1000.000
01/25/2024 18:02:22,565000,-1000.000
01/25/2024 18:02:22,566000,-1000.000
01/25/2024 18:02:22,567000,-1000.000
01/25/2024 18:02:22,568000,-1000.000
01/25/2024 18:02:22,569000,-1000.000
01/25/2024 18:02:22,570000,-1000.000
01/25/2024 18:02:22,571000,-1000.000
01/25/2024 18:02:22,572000,-1000.000
01/25/2024 18:02:22,573000,-1000.000
01/25/2024 18:02:22,574000,-1000.000
01/25/2024 18:02:22,575000,-1000.000
01/25/2024 18:02:22,576000,-1000.000
01/25/2024 18:02:22,577000,-1000.000
01/25/2024 18:02:22,578000,-1000.000
01/25/2024 18:02:22,579000,-1000.000
01/25/2024 18:02:22,580000,-1000.000
01/25/2024 18:02:22,581000,-1000.000
01/25/2024 18:02:22,582000,-1000.000
01/25/2024 18:02:22,583000,-1000.000
01/25/2024 18:02:22,584000,-1000.000
01/25/2024 18:02:22,585000,-1000.000
01/25/2024 18:02:22,586000,-1000.000
01/25/2024 18:02:22,587000,-1000.000
01/25/2024 18:02:22,588000,-1000.000
01/25/2024 18:02:22,589000,-1000.000
01/25/2024 18:02:22,590000,-1000.000
01/25/2024 18:02:22,591000,-1000.000
01/25/2024 18:02:22,592000,-1000.000
01/25/2024 18:02:22,593000,-1000.000
01/25/2024 18:02:22,594000,-1000.000
01/25/2024 18:02:22,595000,-1000.000
01/25/2024 18:02:22,596000,-1000.000
01/25/2024 18:02:22,597000,-1000.000
01/25/2024 18:02:22,598000,-1000.000
01/25/2024 18:02:22,599000,-1000.000
01/25/2024 18:02:22,600000,-1000.000
01/25/2024 18:02:22,601000,-1000.000
01/25/2024 18:02:22,602000,-1000.000
01/25/2024 18:02:22,603000,-1000.000
01/25/2024 18:02:22,604000,-1000.000
01/25/2024 18:02:22,605000,-1000.000
01/25/2024 18:02:22,606000,-1000.000
01/25/2024 18:02:22,607000,-1000.000
01/25/2024 18:02:22,608000,-1000.000
01/25/2024 18:02:22,609000,-1000.000
01/25/2024 18:02:22,610000,-1000.000
01/25/2024 18:02:22,611000,-1000.000
01/25/2024 18:02:22,612000,-1000.000
01/25/2024 18:02:22,613000,-1000.000
01/25/2024 18:02:22,614000,-1000.000
01/25/2024 18:02:22,615000,-1000.000
01/25/2024 18:02:22,616000,-1000.000
01/25/2024 18:02:22,617000,-1000.000
01/25/2024 18:02:22,618000,-1000.000
01/25/2024 18:02:22,619000,-1000.000
01/25/2024 18:02:22,620000,-1000.000
01/25/2024 18:02:22,621000,-1000.000
01/25/2024 18:02:22,622000,-1000.000
01/25/2024 18:02:22,623000,-1000.000
01/25/2024 18:02:22,624000,-1000.000
01/25/2024 18:02:22,625000,-1000.000
01/25/2024 18:02:22,626000,-1000.000
01/25/2024 18:02:22,627000,-1000.000
01/25/2024 18:02:22,628000,-1000.000
01/25/2024 18:02:22,629000,-1000.000
01/25/2024 18:02:22,630000,-1000.000
01/25/2024 18:02:22,631000,-1000.000
01/25/2024 18:02:22,632000,-1000.000
01/25/2024 18:02:22,633000,-1000.000
01/25/2024 18:02:22,634000,-1000.000
01/25/2024 18:02:22,635000,-1000.000
01/25/2024 18:02:22,636000,-1000.000
01/25/2024 18:02:22,637000,-1000.000
01/25/2024 18:02:22,638000,-1000.000
01/25/2024 18:02:22,639000,-1000.000
01/25/2024 18:02:22,640000,-1000.000
01/25/2024 18:02:22,641000,-1000.000
01/25/2024 18:02:22,642000,-1000.000
01/25/2024 18:02:22,643000,-1000.000
01/25/2024 18:02:22,644000,-1000.000
01/25/2024 18:02:22,645000,-1000.000
01/25/2024 18:02:22,646000,-1000.000
01/25/2024 18:02:22,647000,-1000.000
01/25/2024 18:02:22,648000,-1000.000
01/25/2024 18:02:22,649000,-1000.000
01/25/2024 18:02:22,650000,-1000.000
01/25/2024 18:02:22,651000,-1000.000
01/25/2024 18:02:22,652000,-1000.000
01/25/2024 18:02:22,653000,-1000.000
01/25/2024 18:02:22,654000,-1000.000
01/25/2024 18:02:22,655000,-1000.000
01/25/2024 18:02:22,656000,-1000.000
01/25/2024 18:02:22,657000,-1000.000
01/25/2024 18:02:22,658000,-1000.000
01/25/2024 18:02:22,659000,-1000.000
01/25/2024 18:02:22,660000,-1000.000
01/25/2024 18:02:22,661000,-1000.000
01/25/2024 18:02:22,662000,-1000.000
01/25/2024 18:02:22,663000,-1000.000
01/25/2024 18:02:22,664000,-1000.000
01/25/2024 18:02:22,665000,-1000.000
01/25/2024 18:02:22,666000,-1000.000
01/25/2024 18:02:22,667000,-1000.000
01/25/2024 18:02:22,668000,-1000.000
01/25/2024 18:02:22,669000,-1000.000
01/25/2024 18:02:22,670000,-1000.000
01/25/2024 18:02:22,671000,-1000.000
01/25/2024 18:02:22,672000,-1000.000
01/25/2024 18:02:22,673000,-1000.000
01/25/2024 18:02:22,674000,-1000.000
01/25/2024 18:02:22,675000,-1000.000
01/25/2024 18:02:22,676000,-1000.000
01/25/2024 18:02:22,677000,-1000.000
01/25/2024 18:02:22,678000,-1000.000
01/25/2024 18:02:22,679000,-1000.000
01/25/2024 18:02:22,680000,-1000.000
01/25/2024 18:02:22,681000,-1000.000
01/25/2024 18:02:22,682000,-1000.000
01/25/2024 18:02:22,683000,-1000.000
01/25/2024 18:02:22,684000,-1000.000
01/25/2024 18:02:22,685000,-1000.000
01/25/2024 18:02:22,686000,-1000.000
01/25/2024 18:02:22,687000,-1000.000
01/25/2024 18:02:22,688000,-1000.000
01/25/2024 18:02:22,689000,-1000.000
01/25/2024 18:02:22,690000,-1000.000
01/25/2024 18:02:22,691000,-1000.000
01/25/2024 18:02:22,692000,-1000.000
01/25/2024 18:02:22,693000,-1000.000
01/25/2024 18:02:22,694000,-1000.000
01/25/2024 18:02:22,695000,-1000.000
01/25/2024 18:02:22,696000,-1000.000
01/25/2024 18:02:22,697000,-1000.000
01/25/2024 18:02:22,698000,-1000.000
01/25/2024 18:02:22,699000,-1000.000
01/25/2024 18:02:22,700000,-1000.000
01/25/2024 18:02:22,701000,-1000.000
01/25/2024 18:02:22,702000,-1000.000
01/25/2024 18:02:22,703000,-1000.000
01/25/2024 18:02:22,704000,-1000.000
01/25/2024 18:02:22,705000,-1000.000
01/25/2024 18:02:22,706000,-1000.000
01/25/2024 18:02:22,707000,-1000.000
01/25/2024 18:02:22,708000,-1000.000
01/25/2024 18:02:22,709000,-1000.000
01/25/2024 18:02:22,710000,-1000.000
01/25/2024 18:02:22,711000,-1000.000
01/25/2024 18:02:22,712000,-1000.000
01/25/2024 18:02:22,713000,-1000.000
01/25/2024 18:02:22,714000,-1000.000
01/25/2024 18:02:22,715000,-1000.000
01/25/2024 18:02:22,716000,-1000.000
01/25/2024 18:02:22,717000,-1000.000
01/25/2024 18:02:22,718000,-1000.000
01/25/2024 18:02:22,719000,-1000.000
01/25/2024 18:02:22,720000,-1000.000
01/25/2024 18:02:22,721000,-1000.000
01/25/2024 18:02:22,722000,-1000.000
01/25/2024 18:02:22,723000,-1000.000
01/25/2024 18:02:22,724000,-1000.000
01/25/2024 18:02:22,725000,-1000.000
01/25/2024 18:02:22,726000,-1000.000
01/25/2024 18:02:22,727000,-1000.000
01/25/2024 18:02:22,728000,-1000.000
01/25/2024 18:02:22,729000,-1000.000
01/25/2024 18:02:22,730000,-1000.000
01/25/2024 18:02:22,731000,-1000.000
01/25/2024 18:02:22,732000,-1000.000
01/25/2024 18:02:22,733000,-1000.000
01/25/2024 18:02:22,734000,-1000.000
01/25/2024 18:02:22,735000,-1000.000
01/25/2024 18:02:22,736000,-1000.000
01/25/2024 18:02:22,737000,-1000.000
01/25/2024 18:02:22,738000,-1000.000
01/25/2024 18:02:22,739000,-1000.000
01/25/2024 18:02:22,740000,-1000.000
01/25/2024 18:02:22,741000,-1000.000
01/25/2024 18:02:22,742000,-1000.000
01/25/2024 18:02:22,743000,-1000.000
01/25/2024 18:02:22,744000,-1000.000
01/25/2024 18:02:22,745000,-1000.000
01/25/2024 18:02:22,746000,-1000.000
01/25/2024 18:02:22,747000,-1000.000
01/25/2024 18:02:22,748000,-1000.000
01/25/2024 18:02:22,749000,-1000.000
01/25/2024 18:02:22,750000,-1000.000
01/25/2024 18:02:22,751000,-1000.000
01/25/2024 18:02:22,752000,-1000.000
01/25/2024 18:02:22,753000,-1000.000
01/25/2024 18:02:22,754000,-1000.000
01/25/2024 18:02:22,755000,-1000.000
01/25/2024 18:02:22,756000,-1000.000
01/25/2024 18:02:22,757000,-1000.000
01/25/2024 18:02:22,758000,-1000.000
01/25/2024 18:02:22,759000,-1000.000
01/25/2024 18:02:22,760000,-1000.000
01/25/2024 18:02:22,761000,-1000.000
01/25/2024 18:02:22,762000,-1000.000
01/25/2024 18:02:22,763000,-1000.000
01/25/2024 18:02:22,764000,-1000.000
01/25/2024 18:02:22,765000,-1000.000
01/25/2024 18:02:22,766000,-1000.000
01/25/2024 18:02:22,767000,-1000.000
01/25/2024 18:02:22,768000,-1000.000
01/25/2024 18:02:22,769000,-1000.000
01/25/2024 18:02:22,770000,-1000.000
01/25/2024 18:02:22,771000,-1000.000
01/25/2024 18:02:22,772000,-1000.000
01/25/2024 18:02:22,773000,-1000.000
01/25/2024 18:02:22,774000,-1000.000
01/25/2024 18:02:22,775000,-1000.000
01/25/2024 18:02:22,776000,-1000.000
01/25/2024 18:02:22,777000,-1000.000
01/25/2024 18:02:22,778000,-1000.000
01/25/2024 18:02:22,779000,-1000.000
01/25/2024 18:02:22,780000,-1000.000
01/25/2024 18:02:22,781000,-1000.000
01/25/2024 18:02:22,782000,-1000.000
01/25/2024 18:02:22,783000,-1000.000
01/25/2024 18:02:22,784000,-1000.000
01/25/2024 18:02:22,785000,-1000.000
01/25/2024 18:02:22,786000,-1000.000
01/25/2024 18:02:22,787000,-1000.000
01/25/2024 18:02:22,788000,-1000.000
01/25/2024 18:02:22,789000,-1000.000
01/25/2024 18:02:22,790000,-1000.000
01/25/2024 18:02:22,791000,-1000.000
01/25/2024 18:02:22,792000,-1000.000
01/25/2024 18:02:22,793000,-1000.000
01/25/2024 18:02:22,794000,-1000.000
01/25/2024 18:02:22,795000,-1000.000
01/25/2024 18:02:22,796000,-1000.000
01/25/2024 18:02:22,797000,-1000.000
01/25/2024 18:02:22,798000,-1000.000
01/25/2024 18:02:22,799000,-1000.000
01/25/2024 18:02:22,800000,-1000.000
01/25/2024 18:02:22,801000,-1000.000
01/25/2024 18:02:22,802000,-1000.000
01/25/2024 18:02:22,803000,-1000.000
